qid,label
Q178136,Sololá Department
Q466061,Petén Department
Q504637,Alta Verapaz Department
Q504647,Baja Verapaz Department
Q508804,Sacatepéquez Department
Q669802,Quiché Department
Q693658,Izabal Department
Q695660,Guatemala Department
Q753037,Chiquimula Department
Q765975,Chimaltenango Department
Q765984,Jutiapa Department
Q780784,Zacapa Department
Q795441,Jalapa Department
Q795587,Escuintla Department
Q795591,El Progreso Department
Q842266,Huehuetenango Department
Q844502,Quetzaltenango Department
Q883734,Suchitepéquez Department
Q883907,San Marcos Department
Q885644,Totonicapán Department
Q885656,Santa Rosa Department
Q888307,Retalhuleu Department
