subdomain,mx
kitab.affairesislamiques.gov.mr,none
kitab.agriculture.gov.mr,none
kitab.cncmp.gov.mr,none
kitab.commerce.gov.mr,none
kitab.culture.gov.mr,none
kitab.defense.gov.mr,none
kitab.diplomatie.gov.mr,none
kitab.economie.gov.mr,none
kitab.education.gov.mr,none
kitab.elevage.gov.mr,none
kitab.emploi.gov.mr,none
kitab.environnement.gov.mr,none
kitab.finances.gov.mr,none
kitab.fonctionpublique.gov.mr,none
kitab.habitat.gov.mr,none
kitab.hydraulique.gov.mr,none
kitab.interieur.gov.mr,none
kitab.justice.gov.mr,none
kitab.majessc.gov.mr,none
kitab.majssc.gov.mr,none
kitab.masef.gov.mr,none
kitab.mdcme.gov.mr,none
kitab.mesrs.gov.mr,none
kitab.mtnima.gov.mr,none
kitab.peches.gov.mr,none
kitab.petrole.gov.mr,none
kitab.primature.gov.mr,none
kitab.sante.gov.mr,none
kitab.transports.gov.mr,none
kitabdass.mtnima.gov.mr,none
kitabddi.mtnima.gov.mr,none
logements.iskan.gov.mr,none
logicieldpl.gov.mr,none
maecme-ged.gov.mr,none
mail.elearning.gov.mr,none
mail.monecole.gov.mr,none
mail.prs-mesrs.gov.mr,none
mail.tekwini.gov.mr,none
maj.taazour.gov.mr,none
majessc.gov.mr,none
majlis.gov.mr,none
marches.gov.mr,none
marchespublics.gov.mr,10 marchespublics-gov-mr.mail.protection.outlook.com.
masef.gov.mr,10 masef-gov-mr.mail.protection.outlook.com.
maslaha.gov.mr,none
mattermost.khidmaty.gov.mr,none
mdcme.gov.mr,none
mdr.gov.mr,none
mesrs.gov.mr,none
mesrstic.gov.mr,none
mfpam.gov.mr,0 mfpam-gov-mr.mail.protection.outlook.com.
miradala.justice.gov.mr,none
missions.mtnima.gov.mr,none
mmi.gov.mr,0 mmi-gov-mr.mail.protection.outlook.com.
mnp.gov.mr,none
monecole.gov.mr,none
monitoring.khidmaty.gov.mr,none
mousseyir.anesp.gov.mr,none
mousseyir.cncmp.gov.mr,none
mousseyir.majessc.gov.mr,none
mousseyir.mtnima.gov.mr,none
msgg.gov.mr,10 msgg-gov-mr.mail.protection.outlook.com.
mtnima.gov.mr,none
mtnima2.gov.mr,none
nouakchott2023.gov.mr,none
observability.dev.tax-pay.impots.gov.mr,none
observability.stt-pp.e-tax.impots.gov.mr,none
observability.stt.e-tax.impots.gov.mr,none
observatoire.gov.mr,none
oidc.khidmaty.gov.mr,none
oidcapi.khidmaty.gov.mr,none
ondff.gov.mr,none
osa.csa.gov.mr,none
pa.demo.e-tax.impots.gov.mr,none
pa.stt-demo.e-tax.impots.gov.mr,none
pa.stt-pp.e-tax.impots.gov.mr,none
pa.stt-uat.stt-dev.impots.gov.mr,none
pa.stt.e-tax.impots.gov.mr,none
partis.interieur.gov.mr,none
peches.gov.mr,none
permis.transports.gov.mr,none
petrole-mines-energie.gov.mr,none
petrole-mines-energies.gov.mr,none
petrole.gov.mr,none
pf.primature.gov.mr,none
portailpbf.gov.mr,none
ppp.gov.mr,none
primature-test.gov.mr,none
primature.gov.mr,10 primature-gov-mr.mail.protection.outlook.com.
procedures.gov.mr,none
propep.gov.mr,none
prs-mesrs.gov.mr,0 mail.prs-mesrs.gov.mr.
qce-training.gov.mr,none
qce.gov.mr,0 qce-gov-mr.mail.protection.outlook.com.
qr-code.digital.gov.mr,none
qrcheck.digital.gov.mr,none
quittance.dev.tax-pay.impots.gov.mr,none
quittance.staging.tax-pay.impots.gov.mr,none
quittance.tax-pay.impots.gov.mr,none
rachad.finances.gov.mr,none
rancher.tax-pay.impots.gov.mr,none
recrutement.mtnima.gov.mr,none
recrutements.gov.mr,none
recrutements.mtnima.gov.mr,none
redmine.mtnima.gov.mr,none
registresuretesmobilieres.gov.mr,none
registry.khidmaty.gov.mr,none
retraite.defense.gov.mr,none
rocketchat.mtnima.gov.mr,none
rokhsa.emploi.gov.mr,none
sante.gov.mr,none
sc.majessc.gov.mr,none
scapp-odd.gov.mr,none
sentry.khidmaty.gov.mr,none
services.anetat.gov.mr,none
services.consulatrimcasa.diplomatie.gov.mr,none
si.taazour.gov.mr,none
si.tekavoul.gov.mr,none
sigehcr.education.gov.mr,none
sigerh.education.gov.mr,none
sigrh.masef.gov.mr,none
sites-dev.gov.mr,none
snppdh.gov.mr,none
sonarqube.khidmaty.gov.mr,none
srv-partis.interieur.gov.mr,none
sso.snppdh.gov.mr,none
ssr.gov.mr,none
staging.tax-pay.impots.gov.mr,none
stambia.demo.e-tax.impots.gov.mr,none
stambia.stt-demo.e-tax.impots.gov.mr,none
stambia.stt-pp.e-tax.impots.gov.mr,none
stambia.stt-uat.stt-dev.impots.gov.mr,none
stambia.stt.e-tax.impots.gov.mr,none
stt-demo.e-tax.impots.gov.mr,none
stt-dev1.stt-pp.e-tax.impots.gov.mr,none
stt-pp.e-tax.impots.gov.mr,none
stt-uat.stt-dev.impots.gov.mr,none
stt.e-tax.impots.gov.mr,none
suivi.elevage.gov.mr,none
supervision.khidmaty.gov.mr,none
support.gov.mr,none
sync.dev.tax-pay.impots.gov.mr,none
sync.staging.tax-pay.impots.gov.mr,none
sync.tax-pay.impots.gov.mr,none
taazour.gov.mr,none
tax-pay.impots.gov.mr,none
taxview.impots.gov.mr,none
techawour.gov.mr,none
teftich.gov.mr,none
tekavoul.gov.mr,none
tekwini.gov.mr,none
tele-services.gov.mr,none
temwin.csa.gov.mr,none
test.dev.tax-pay.impots.gov.mr,none
test.tax-pay.impots.gov.mr,none
testlets.gov.mr,none
tools.dev.tax-pay.impots.gov.mr,none
tools.tax-pay.impots.gov.mr,none
toumouhi.masef.gov.mr,none
transports.gov.mr,none
tz.tekavoul.gov.mr,none
vaccin.sante.gov.mr,none
vaccination.sante.gov.mr,none
verif-diplomes.gov.mr,none
wathik.interieur.gov.mr,none
webdisk.elearning.gov.mr,none
webdisk.monecole.gov.mr,none
webdisk.prs-mesrs.gov.mr,none
webdisk.tekwini.gov.mr,none
webmail.elearning.gov.mr,none
webmail.monecole.gov.mr,none
