field,text
country_name,"Democratic Republic of Timor-Leste"
government_type,"semi-presidential republic"
capital,"Dili"
chief_of_state,"President José RAMOS-HORTA (since 20 May 2022)"
head_of_government,"Prime Minister Kay Rala Xanana GUSMAO (since 1 July 2023)"
judicial_highest_courts,"Court of Appeals (consists of the court president and NA judges)"
constitution_history,"drafted 2001, approved 22 March 2002, entered into force 20 May 2002"
