domain,label,level,name
gov.my,johor,central-1,Johor
gov.my,kedah,central-1,Kedah
gov.my,kelantan,central-1,Kelantan
gov.my,melaka,central-1,Malacca
gov.my,ns,central-1,Negeri Sembilan
gov.my,pahang,central-1,Pahang
gov.my,penang,central-1,Penang
gov.my,perak,central-1,Perak
gov.my,perlis,central-1,Perlis
gov.my,sabah,central-1,Sabah
gov.my,sarawak,central-1,Sarawak
gov.my,selangor,central-1,Selangor
gov.my,terengganu,central-1,Terengganu
