subdomain,mx
ipv6.nfc.gov.bt,none
ipv6.phpa.gov.bt,none
ipv6.phpa1.gov.bt,none
ipv6.phpa2.gov.bt,none
ipv6.redcl.gov.bt,none
ipv6.rldczhemgang.gov.bt,none
ipv6.sarpangsherig.gov.bt,none
ipv6.toweroftrongsa.gov.bt,none
ipv6.zilukhamss.education.gov.bt,dig error
jab.judiciary.gov.bt,none
jdwnrh.gov.bt,5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
judiciary.gov.bt,none
kems-dgrk.covid19.gov.bt,none
lfs.rcsc.gov.bt,none
lims.bafra.gov.bt,dig error
link.covid19.gov.bt,none
mail.bea.gov.bt,none
mail.bicma.gov.bt,none
mail.bmhc.gov.bt,none
mail.changrigphelps.education.gov.bt,none
mail.cra.gov.bt,none
mail.cro.gov.bt,none
mail.dcsi.gov.bt,none
mail.dra.gov.bt,none
mail.ecob.gov.bt,none
mail.highcourt.gov.bt,none
mail.judiciary.gov.bt,none
mail.mediacouncil.gov.bt,none
mail.mhpa.gov.bt,none
mail.mongaredu.gov.bt,none
mail.nationalmuseum.gov.bt,none
mail.nca.gov.bt,none
mail.neyduetewa.gov.bt,none
mail.nfc.gov.bt,none
mail.nfdc.gov.bt,none
mail.nppc.gov.bt,none
mail.nppc.gov.bt.cp-51.webhostbox.net,none
mail.nssc.gov.bt,0 nssc.gov.bt.
mail.phpa.gov.bt,none
mail.phpa1.gov.bt,none
mail.phpa2.gov.bt,none
mail.rcbajo.gov.bt,none
mail.rdtc.gov.bt,none
mail.redcl.gov.bt,none
mail.rldczhemgang.gov.bt,none
mail.sarpangsherig.gov.bt,none
mail.thimphu.gov.bt,none
mail.toweroftrongsa.gov.bt,none
mail.wangduedzong.gov.bt,none
mail.zilukhamss.education.gov.bt,none
max.rcsc.gov.bt,none
mediacouncil.gov.bt,5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
mfa.gov.bt,10 ALT4.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
mhpa.gov.bt,none
mhs.covid19.gov.bt,none
mof.gov.bt,1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
moh.gov.bt,10 ALT4.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
moic.gov.bt,5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 20 moic-gov-bt.mail.protection.outlook.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
molhr.gov.bt,none
mongaredu.gov.bt,none
mowhs.gov.bt,10 ASPMX2.GOOGLEMAIL.COM.; 10 ASPMX3.GOOGLEMAIL.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
myapp.boic.gov.bt,none
myapp.redcl.gov.bt,none
nationalmuseum.gov.bt,5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
nbc.gov.bt,none
nca.gov.bt,none
ncah.gov.bt,none
ncwc.gov.bt,none
ndrc.gov.bt,none
neyduetewa.gov.bt,none
nfc.gov.bt,none
nfdc.gov.bt,none
