domain,level,name
auswaertiges-amt.de,central,
bmas.de,central,
bmbf.de,central,
bmbfsfj.bund.de,central,
bmds.bund.de,central,
bmftr.bund.de,central,
bmi.bund.de,central,
bmjv.de,central,
bmleh.de,central,
bmv.de,central,
bmvg.de,central,
bmwsb.bund.de,central,
bmz.de,central,
bund.de,central,
bundesfinanzministerium.de,central,
bundesgesundheitsministerium.de,central,
bundesregierung.de,central,
bundestag.de,central,
bundesumweltministerium.de,central,
bundeswirtschaftsministerium.de,central,
