domain,level,source
auswaertiges-amt.de,central,manual
bmas.de,central,manual
bmbf.de,central,manual
bmbfsfj.bund.de,central,manual
bmds.bund.de,central,manual
bmftr.bund.de,central,manual
bmi.bund.de,central,manual
bmjv.de,central,manual
bmleh.de,central,manual
bmv.de,central,manual
bmvg.de,central,manual
bmwsb.bund.de,central,manual
bmz.de,central,manual
bund.de,central,manual
bundesfinanzministerium.de,central,manual
bundesgesundheitsministerium.de,central,manual
bundesregierung.de,central,manual
bundestag.de,central,manual
bundesumweltministerium.de,central,manual
bundeswirtschaftsministerium.de,central,manual
