domain,level,name
cp.gov.lk,central-1,Central Province
ep.gov.lk,central-1,Eastern Province
gov.lk,central,
mc.gov.lk,local,Municipal councils
nc.gov.lk,central-1,North Central Province
np.gov.lk,central-1,Northern Province
nw.gov.lk,central-1,North Western Province
ps.gov.lk,local,Pradeshiya sabhas (conseils de division)
sg.gov.lk,central-1,Sabaragamuwa Province
sp.gov.lk,central-1,Southern Province
uc.gov.lk,local,Urban councils
up.gov.lk,central-1,Uva Province
wp.gov.lk,central-1,Western Province
