subdomain,parent_domain,http_status,mx
cdda.gov.lk,gov.lk,SSL: no alternative certificate subject name matches target hostname 'cdda.gov.lk',10 mx2.gov.lk.; 30 mx1.gov.lk.; 20 mx5.gov.lk.
cedc.health.gov.lk,gov.lk,Connection timed out after 3001 milliseconds,none
cep.rda.gov.lk,gov.lk,Could not resolve host: cep.rda.gov.lk,none
ceynor.gov.lk,gov.lk,200,0 mail.ceynor.gov.lk.
cfc.gov.lk,gov.lk,200,20 mx5.gov.lk.; 30 mx1.gov.lk.; 10 mx2.gov.lk.
cfhc.gov.lk,gov.lk,302,20 mx5.gov.lk.; 30 mx1.gov.lk.; 10 mx2.gov.lk.
childsec.gov.lk,gov.lk,SSL certificate problem: certificate has expired,none
ciaboc.gov.lk,gov.lk,403,10 mx1.emailsrvr.com.; 20 mx2.emailsrvr.com.
clean.energy.gov.lk,gov.lk,SSL: no alternative certificate subject name matches target hostname 'clean.energy.gov.lk',none
cm.cp.gov.lk,gov.lk,Operation timed out after 3000 milliseconds with 0 bytes received,none
cm.nc.gov.lk,gov.lk,Operation timed out after 3001 milliseconds with 0 bytes received,10 mx1.gov.lk.; 20 mx2.gov.lk.
cmc.elg.gov.lk,gov.lk,403,none
coconut.gov.lk,gov.lk,Failed to connect to coconut.gov.lk port 443 after 2018 ms: Could not connect to server,10 mx2.gov.lk.; 20 mx5.gov.lk.; 30 mx1.gov.lk.
compensation.gov.lk,gov.lk,200,none
content.lankagate.gov.lk,gov.lk,Could not resolve host: content.lankagate.gov.lk,dig error
coop.gov.lk,gov.lk,200,0 coop.gov.lk.
coopdept.cp.gov.lk,gov.lk,Operation timed out after 3001 milliseconds with 0 bytes received,dig error
coopemp.cp.gov.lk,gov.lk,200,none
coopmin.nc.gov.lk,gov.lk,SSL certificate problem: certificate has expired,10 gator3241.hostgator.com.
costi.gov.lk,gov.lk,200,10 biz25.lankahost.net.
costing.health.gov.lk,gov.lk,200,none
cp.gov.lk,gov.lk,302,10 mail.supremecluster.com.
cpanel.aeb.gov.lk,gov.lk,Resolving timed out after 3002 milliseconds,none
cpanel.aerc.gov.lk,gov.lk,Could not resolve host: cpanel.aerc.gov.lk,none
cpanel.agri.cp.gov.lk,gov.lk,Resolving timed out after 3002 milliseconds,none
cpanel.ayagama.ps.gov.lk,gov.lk,Could not resolve host: cpanel.ayagama.ps.gov.lk,none
cpanel.badulla-hospital.health.gov.lk,gov.lk,Resolving timed out after 3001 milliseconds,none
cpanel.balangoda.uc.gov.lk,gov.lk,200,none
