domain,level,source
cp.gov.lk,central-1,manual
ep.gov.lk,central-1,manual
gov.lk,central,manual
nc.gov.lk,central-1,manual
np.gov.lk,central-1,manual
nw.gov.lk,central-1,manual
sg.gov.lk,central-1,manual
sp.gov.lk,central-1,manual
up.gov.lk,central-1,manual
wp.gov.lk,central-1,manual
