subdomain,parent_domain,http_status
5879551668.ibtikaar.gov.af,gov.af,"Connection timed out after 3000 milliseconds"
aaehc.gov.af,gov.af,"Could not resolve host: aaehc.gov.af"
aais.gov.af,gov.af,"Could not resolve host: aais.gov.af"
acbrip.gov.af,gov.af,"Connection timed out after 3002 milliseconds"
acc.gov.af,gov.af,"308"
accra.gov.af,gov.af,"Could not resolve host: accra.gov.af"
acjc.gov.af,gov.af,"Could not resolve host: acjc.gov.af"
acss.dab.gov.af,gov.af,"Connection timed out after 3002 milliseconds"
ads.arazi.gov.af,gov.af,"Could not resolve host: ads.arazi.gov.af"
afams.mod.gov.af,gov.af,"Connection timed out after 3000 milliseconds"
afcert.gov.af,gov.af,"Resolving timed out after 3002 milliseconds"
afghanpost.gov.af,gov.af,"200"
agcho.gov.af,gov.af,"Could not resolve host: agcho.gov.af"
agfair.gov.af,gov.af,"Could not resolve host: agfair.gov.af"
aglibrary.gov.af,gov.af,"Could not resolve host: aglibrary.gov.af"
ago.gov.af,gov.af,"Could not resolve host: ago.gov.af"
aic.gov.af,gov.af,"Could not resolve host: aic.gov.af"
akbis.gov.af,gov.af,"Could not resolve host: akbis.gov.af"
alpis.mudl.gov.af,gov.af,"Could not resolve host: alpis.mudl.gov.af"
amc.gov.af,gov.af,"301"
amd.budgetmof.gov.af,gov.af,"Could not resolve host: amd.budgetmof.gov.af"
ams.moph.gov.af,gov.af,"Could not resolve host: ams.moph.gov.af"
andc.gov.af,gov.af,"200"
andma.gov.af,gov.af,"200"
anic.gov.af,gov.af,"200"
anis.dailies.gov.af,gov.af,"200"
ansa.gov.af,gov.af,"Resolving timed out after 3000 milliseconds"
ansc.gov.af,gov.af,"Could not resolve host: ansc.gov.af"
anti-corruption.gov.af,gov.af,"Could not resolve host: anti-corruption.gov.af"
antsgeis.mod.gov.af,gov.af,"Connection timed out after 3000 milliseconds"
antsgeis2.mod.gov.af,gov.af,"Connection timed out after 3001 milliseconds"
