domain,label,level,name
gov.cn,12333sh,central-1,Shanghai 12333 social security hotline
gov.cn,ah,central-1,Anhui
gov.cn,ahga,central-1,Anhui Public Security Department
gov.cn,ahnw,central-1,Anhui Agriculture Network
gov.cn,ahwjw,central-1,Anhui Health and Family Planning Commission
gov.cn,ahzwfw,central-1,Anhui Government Services
gov.cn,baic,central-1,Beijing Administration for Industry and Commerce
gov.cn,beijing,central-1,Beijing
gov.cn,bjcg,central-1,Beijing Urban Management Law Enforcement Bureau
gov.cn,bjchfp,central-1,Beijing Health and Family Planning Commission
gov.cn,bjcourt,central-1,Beijing Courts
gov.cn,bjdfz,central-1,Beijing Local Chronicles Office
gov.cn,bjedu,central-1,Beijing Education Commission
gov.cn,bjeit,central-1,Beijing Economy and Information Technology Commission
gov.cn,bjfao,central-1,Beijing Foreign Affairs Office
gov.cn,bjggzyfw,central-1,Beijing Public Resources Trading Service
gov.cn,bjgjj,central-1,Beijing Housing Provident Fund
gov.cn,bjgzw,central-1,Beijing SASAC
gov.cn,bjipo,central-1,Beijing Intellectual Property Office
gov.cn,bjjtgl,central-1,Beijing Traffic Management Bureau
gov.cn,bjjtw,central-1,Beijing Commission of Transport
gov.cn,bjkw,central-1,Beijing Science and Technology Commission
gov.cn,bjld,central-1,Beijing Labor and Social Security Bureau
gov.cn,bjlsj,central-1,Beijing Grain Bureau
gov.cn,bjmzj,central-1,Beijing Civil Affairs Bureau
gov.cn,bjpta,central-1,Beijing Personnel Testing Authority
gov.cn,bjrbj,central-1,Beijing Human Resources and Social Security Bureau
gov.cn,bjrd,central-1,Beijing Municipal People's Congress
gov.cn,bjrs,central-1,Beijing Personnel Bureau
gov.cn,bjsports,central-1,Beijing Sports Bureau
gov.cn,bjwh,central-1,Beijing Culture Bureau
gov.cn,bjwmb,central-1,Capital Civilization Office (Beijing)
gov.cn,cq,central-1,Chongqing
gov.cn,cq-l-tax,central-1,Chongqing Local Taxation
gov.cn,cqdx,central-1,Chongqing Local Taxation Bureau
gov.cn,cqga,central-1,Chongqing Public Security Bureau
gov.cn,cqhrss,central-1,Chongqing Human Resources and Social Security Bureau
gov.cn,cqjcy,central-1,Chongqing People's Procuratorate
gov.cn,cqwater,central-1,Chongqing Water Resources Bureau
gov.cn,fj,central-1,Fujian (former portal domain)
gov.cn,fj12345,central-1,Fujian 12345 service hotline
gov.cn,fjdrc,central-1,Fujian Development and Reform Commission
gov.cn,fjhfpc,central-1,Fujian Health and Family Planning Commission
gov.cn,fjrs,central-1,Fujian Personnel Department
gov.cn,fjsf,central-1,Fujian Department of Justice
gov.cn,fjxf,central-1,Fujian Petition (Xinfang) Bureau
gov.cn,fjylbz,central-1,Fujian Medical Security Bureau
gov.cn,fujian,central-1,Fujian
gov.cn,gansu,central-1,Gansu
gov.cn,gd,central-1,Guangdong
gov.cn,gdczt,central-1,Guangdong Department of Finance
gov.cn,gdda,central-1,Guangdong Archives
gov.cn,gdei,central-1,Guangdong Economy and Information Commission
gov.cn,gdep,central-1,Guangdong Environmental Protection Department
gov.cn,gdepb,central-1,Guangdong Environmental Protection Bureau
gov.cn,gdfda,central-1,Guangdong Food and Drug Administration
gov.cn,gdga,central-1,Guangdong Public Security Department
