hostname,mentions,evidence
acn.gov.it,1,Agenzia per la Cybersicurezza Nazionale
adm.gov.it,1,Agenzia delle Dogane e dei Monopoli
agcm.it,1,Autorita Garante della Concorrenza e del Mercato
agcom.it,1,Autorita' per le Garanzie nelle Comunicazioni - AGCOM
agenziademanio.it,1,Agenzia del Demanio
agenziaentrate.gov.it,1,Agenzia delle Entrate
agenziaentrateriscossione.gov.it,1,Agenzia delle Entrate - Riscossione
agenziaitaliameteo.it,1,Agenzia Nazionale per la Meteorologia e Climatologia - ItaliaMeteo
agenziaumbriaricerche.it,1,Agenzia Umbria Ricerche
agritechcenter.it,1,CENTRO NAZIONALE DI RICERCA PER LE TECNOLOGIE DELL'AGRICOLTURA - AGRITECH
altamatematica.it,1,"Istituto Nazionale di Alta Matematica ""Francesco Severi"""
anticorruzione.it,1,Autorita' Nazionale Anticorruzione - A.N.AC.
anvur.it,1,Agenzia Nazionale di Valutazione del Sistema Universitario e della Ricerca
areasciencepark.it,1,Area Science Park
arera.it,1,Autorita' di Regolazione per Energia Reti e Ambiente
asi.it,1,AGENZIA SPAZIALE ITALIANA
autorita-trasporti.it,1,Autorita' di Regolazione Dei Trasporti
avvocaturastato.it,1,Avvocatura dello Stato
bancaditalia.it,1,Banca D'Italia
biotecnopolo.it,1,Fondazione Biotecnopolo di Siena
camera.it,1,Camera dei Deputati
carabinieri.it,1,Arma dei Carabinieri
cedrav.org,1,Centro per La Documentazione e La Ricerca Antropologica in Valnerina e nella Dorsale Appenninica Umbra
centroricerchemarine.it,1,Fondazione Centro Ricerche Marine
centrostudi.alumbria.it,1,Centro Studi Giuridici e Politici
cgsse.it,1,Commissione di Garanzia dell'Attuazione della Legge sullo Sciopero nei Servizi Pubblici Essenziali - CGS
cirps.it,1,CENTRO INTERUNIVERSITARIO DI RICERCA PER LO SVILUPPO SOSTENIBILE
cmcc.it,1,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici
cnel.it,1,Consiglio Nazionale dell'Economia e del Lavoro - CNEL
cnr.it,1,Consiglio Nazionale delle Ricerche - CNR
consob.it,1,Commissione Nazionale per Le Societa' e La Borsa
consorziofabre.it,1,"FABRE - CONSORZIO DI RICERCA PER LA VALUTAZIONE ED IL MONITORAGGIO DI PONTI, VIADOTTI E ALTRE STRUTTURE"
corteconti.it,1,Corte dei Conti
cortecostituzionale.it,1,Corte Costituzionale
covip.it,1,Commissione di Vigilanza Sui Fondi Pensione
crea.gov.it,1,Consiglio per la ricerca in agricoltura e l'analisi dell'economia agraria
cref.it,1,Museo Storico della Fisica e Centro Studi e Ricerche Enrico Fermi
csm.it,1,Consiglio Superiore della Magistratura
cultura.gov.it,1,Ministero della Cultura
difesa.it,1,Ministero della Difesa
domusmazziniana.it,1,Istituto Domus Mazziniana
enea.it,1,"Enea Agenzia Nazionale per Le Nuove Tecnologie, L'Energia e Lo Sviluppo Economico Sostenibile"
entegeopaleontologico.it,1,Ente Geopaleontologico di Pietraroja
esteri.it,1,Ministero degli Affari Esteri e della Cooperazione Internazionale
fondazionechanges.org,1,Fondazione CHANGES - Cultural Heritage Active Innovation for Next-Gen Sustainable Society
frrb.it,1,Fondazione Regionale per la Ricerca Biomedica
garantedisabilita.it,1,AUTORITA GARANTE NAZIONALE DEI DIRITTI DELLE PERSONE CON DISABILITA
garanteinfanzia.org,1,Autorita Garante per L'Infanzia e L'Adolescenza
garantenazionaleprivatiliberta.it,1,Garante nazionale dei diritti delle persone private della liberta' personale
gcss.it,1,Giunta storica nazionale
gdf.gov.it,1,Guardia di Finanza
giustizia-amministrativa.it,1,Uffici Amministrativi del Consiglio di Stato e dei Tribunali Amministrativi Regionali 'non abilitato a ricevere atti giurisdizionali e ricorsi stra...
giustizia.it,1,Ministero della Giustizia
governo.it,1,Presidenza del Consiglio dei Ministri
gpdp.it,1,Garante per la protezione dei dati personali - GP
granicoltura.it,1,Stazione Consorziale Sperimentale di Granicoltura per La Sicilia
humantechnopole.it,1,Fondazione Human Technopole
iit.it,1,Fondazione Istituto Italiano di Tecnologia
inaf.it,1,Istituto Nazionale di Astrofisica - INAF
inail.it,1,Istituto Nazionale per l'Assicurazione contro gli Infortuni sul Lavoro - INAIL
inapp.gov.it,1,Istituto Nazionale per l'Analisi delle Politiche Pubbliche (INAPP)
indire.it,1,"Istituto Nazionale di documentazione, Innovazione e Ricerca Educativa"
infn.it,1,Istituto Nazionale di Fisica Nucleare
ingv.it,1,Istituto Nazionale di Geofisica e Vulcanologia - INGV
inps.it,1,Istituto Nazionale Previdenza Sociale - INPS
inrim.it,1,Istituto Nazionale di Ricerca Metrologica - INRIM
interno.gov.it,1,Ministero dell'Interno
invalsi.it,1,Istituto Nazionale per la Valutazione del Sistema Educativo di Istruzione e di Formazione - INVALSI
iprase.tn.it,1,Istituto Provinciale di Ricerca e Sperimentazione Educativa
ires.piemonte.it,1,Istituto Ricerche Economico Sociali del Piemonte
iresmo.it,1,Istituto per Gli Studi Storici del Molise Vincenzo Cuoco Iresmo
isprambiente.gov.it,1,Istituto Superiore per la Protezione e la Ricerca Ambientale
isresardegna.org,1,Istituto Superiore Regionale Etnografico
iss.it,1,Istituto Superiore di Sanita' - ISS
istat.it,1,Istituto Nazionale di Statistica - ISTAT
istitutocimbro.it,1,Istituto Cimbro Kulturinstitut Lusern
istitutoitalianonumismatica.it,1,ISTITUTO ITALIANO DI NUMISMATICA
iststor.it,1,Istituto Storico Italiano per L'Eta' Moderna e Contemporanea
isuc.alumbria.it,1,Istituto per La Storia dell'Umbria Contemporanea
iszsicilia.it,1,Istituto Sperimentale Zootecnico per La Sicilia
ivass.it,1,IVASS - Istituto per la Vigilanza sulle Assicurazioni
lavoro.gov.it,1,Ministero del Lavoro e delle Politiche Sociali
lens.unifi.it,1,Laboratorio Europeo di Spettroscopie non Lineari
masaf.gov.it,1,"Ministero dell'agricoltura, della sovranità alimentare e delle foreste"
mase.gov.it,1,Ministero dell'Ambiente e della Sicurezza Energetica
mef.gov.it,1,Ministero dell'Economia e delle Finanze
mim.gov.it,1,Ministero dell'istruzione e del merito
mimit.gov.it,2,FONDAZIONE IMPRESE E COMPETENZE PER IL MADE IN ITALY | MIMIT - Ministero delle Imprese e del Made in Italy
ministeroturismo.gov.it,1,Ministero del turismo
mit.gov.it,1,Ministero delle infrastrutture e dei trasporti
mur.gov.it,1,MINISTERO DELL'UNIVERSITA' E DELLA RICERCA
ogs.it,1,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS
poliziadistato.it,1,Ministero dell'Interno - Dipartimento della Pubblica Sicurezza - Polizia di Stato
quirinale.it,1,Segretariato Generale della Presidenza della Repubblica
regflor.it,1,Istituto Regionale per La Floricoltura
risorgimento.it,1,Istituto per La Storia del Risorgimento Italiano
salute.gov.it,1,Ministero della Salute
sardegnaagricoltura.it,1,Agenzia Regionale per La Ricerca in Agricoltura - Agris
sardegnaricerche.it,1,Sardegna Ricerche
senato.it,1,Senato della Repubblica
storiaantica.eu,1,Istituto Italiano per La Storia Antica
studigermanici.it,1,Istituto Italiano di Studi Germanici
szn.it,1,Stazione Zoologica
uan.it,1,Unione Accademica Nazionale
upbilancio.it,1,Ufficio Parlamentare di Bilancio
vigilanzasport.it,1,Commissione indipendente per la verifica dell'equilibrio economico e finanziario delle società sportive professionistiche
