subdomain,http_status
www.protocollo.governo.it,Could not resolve host: www.protocollo.governo.it
www.qliksvilpcm-dfp.governo.it,Could not resolve host: www.qliksvilpcm-dfp.governo.it
www.reg-cppm-sub-01.governo.it,Could not resolve host: www.reg-cppm-sub-01.governo.it
www.rm-cppm-pub-01.governo.it,Could not resolve host: www.rm-cppm-pub-01.governo.it
www.serviziesterni-intrapcm.governo.it,Could not resolve host: www.serviziesterni-intrapcm.governo.it
www.serviziesterniprod-inpcm.governo.it,Could not resolve host: www.serviziesterniprod-inpcm.governo.it
www.servizigp.governo.it,Could not resolve host: www.servizigp.governo.it
www.settantesimo.governo.it,200
www.sisma2009.governo.it,Could not resolve host: www.sisma2009.governo.it
www.sp.governo.it,Could not resolve host: www.sp.governo.it
www.spid.governo.it,Could not resolve host: www.spid.governo.it
www.spidval.int.governo.it,Could not resolve host: www.spidval.int.governo.it
www.sport.governo.it,302
www.sportegiovani.governo.it,302
www.sportgiovani.governo.it,Could not resolve host: www.sportgiovani.governo.it
www.territoriegrandeguerra.governo.it,Could not resolve host: www.territoriegrandeguerra.governo.it
www.uc.governo.it,Could not resolve host: www.uc.governo.it
