hostname,http_status,mx
aipi.or.id,200,5 mx1.hostinger.com.; 10 mx2.hostinger.com.
bdembassyjakarta.org,526,1200 ghs.google.com.
bdi-kejatijambi.id,301,none
bpdp.or.id,404,0 bpdp-or-id.mail.protection.outlook.com.
cubadiplomatica.cu,ConnectException,none
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
emb-algeria.org,HttpConnectTimeoutException: HTTP connect timed out,none
embamoc-indonesia.com,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,0 embamoc-indonesia.com.
fijiembajak.com,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
finlandabroad.fi,301,10 mail.valtori.fi.
id.ambafrance.org,301,none
id.china-embassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching id.china-embassy.org found.,none
id.mvep.hr,ConnectException,none
indonesia.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
indonesien.um.dk,301,none
jakarta.diplo.de,200,10 mx1.bund.de.; 10 mx2.bund.de.
jakarta.embassy.qa,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
jakarta.mae.ro,503,none
jakarta.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
jclec.org,200,10 jclec-org.mail.protection.outlook.com.
jordanembassy.or.id,200,none
lldikti9.id,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 ALT1.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.
lmkn.id,301,10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
mfa.bg,302,0 mfa-bg.mail.protection.outlook.com.
mfa.gr,403,10 mailhost.mfa.gr.
mkri.id,302,10 mail.mkri.id.
mzv.cz,302,10 mzvczemta06.mzv.cz.; 50 mzvczemta05.mzv.cz.
mzv.sk,301,10 mail.gov.sk.
norway.no,301,0 mx.domeneshop.no.
nunciatureindonesia.org,200,0 nunciatureindonesia.org.
pakembjakarta.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching pakembjakarta.org found.,10 mx2-hosting.jellyfish.systems.; 20 mx3-hosting.jellyfish.systems.; 5 mx1-hosting.jellyfish.systems.
pn-cianjur.info,301,54 route2.mx.cloudflare.net.; 94 route1.mx.cloudflare.net.; 17 route3.mx.cloudflare.net.
pn-kotamobagu.info,ConnectException,none
pn-painan.info,ConnectException,none
pn-solok.info,200,none
pn-tais.info,301,none
pn-ternate.info,ConnectException,none
roc-taiwan.org,302,none
rri.co.id,200,5 mailgateway.rri.co.id.
rsm-indonesia.com,200,0 rsm-indonesia.com.
rvipolice.com,403,none
sejarah-tni.mil.id,200,0 sejarah-tni.mil.id.
srilankaembassyjakarta.com,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mail.srilankaembassyjakarta.com.
swedenabroad.se,301,none
thaiembassyjakarta.com,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
uzembassy.id,200,0 uzembassy.id.
vietnamembassy-indonesia.org,200,0 mail.vietnamembassy-indonesia.org.
