hostname,http_status,mx
abhbc.com,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
abhdon.ma,HttpConnectTimeoutException: HTTP connect timed out,0 abhdon-ma.mail.protection.outlook.com.
abhgzr.ma,200,10 mail.abhgzr.ma.
abhl.ma,200,1 SMTP.GOOGLE.COM.
abhsebou.ma,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,0 abhsebou-ma.mail.protection.outlook.com.
abhshod.ma,200,0 abhshod.ma.
abht.ma,200,0 abht-ma.mail.protection.outlook.com.
aderfes.com,ConnectException,none
adm.co.ma,HttpConnectTimeoutException: HTTP connect timed out,10 msg.adm.co.ma.
ads.ma,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching ads.ma found.,10 mail.ads.ma.
agadirinvest.com,200,0 agadirinvest-com.mail.protection.outlook.com.
ambalg.ma,HttpConnectTimeoutException: HTTP connect timed out,0 mail.ambalg.ma.
amee.ma,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 amee-ma.mail.protection.outlook.com.
ammc.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mx12.ammc.ma.; 5 mx11.ammc.ma.; 100 mx1.ammc.ma.
amssnur.org.ma,403,0 amssnur-org-ma.mail.protection.outlook.com.
anam.ma,302,10 mail.anam.ma.
anapec.org,HttpConnectTimeoutException: HTTP connect timed out,0 anapec-org.mail.protection.outlook.com.
andzoa.ma,HttpConnectTimeoutException: HTTP connect timed out,0 andzoa-ma.mail.protection.outlook.com.
aneaq.ma,301,0 aneaq-ma.mail.protection.outlook.com.
anep.ma,ConnectException,0 mail.anep.ma.
angspe.ma,HttpConnectTimeoutException: HTTP connect timed out,0 angspe-ma.mail.protection.outlook.com.
anlca.ma,ConnectException,0 anlca-ma.mail.protection.outlook.com.
anp.org.ma,302,20 mail3.anp.org.ma.; 15 mail2.anp.org.ma.
anpma.ma,ConnectException,none
anre.ma,200,0 anre-ma.mail.protection.outlook.com.
anrt.ma,200,40 mx2.anrt.ma.; 30 mx1.anrt.ma.
apdn.ma,200,10 asl.apdn.ma.
archivesdumaroc.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mail.archivesdumaroc.ma.
aua.ma,200,0 zaua.heberdomaine.net.
auah.ma,HttpConnectTimeoutException: HTTP connect timed out,1 auah.ma.; 0 auah-ma.mail.protection.outlook.com.
aub.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mail.aub.ma.
aubm.ma,HttpConnectTimeoutException: HTTP connect timed out,10 vps-662abeda.vps.ovh.net.
audakhla.ma,200,10 mail.audakhla.ma.
aueks.org.ma,HttpConnectTimeoutException: HTTP connect timed out,none
auessaouira.ma,HttpConnectTimeoutException: HTTP connect timed out,none
aufes.org,200,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.
augon.ma,HttpConnectTimeoutException: HTTP connect timed out,0 augon.ma.
aujadida.ma,HttpConnectTimeoutException: HTTP connect timed out,none
aukh.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mail.aukh.ma.
aukhemi7.ma,HttpConnectTimeoutException: HTTP connect timed out,none
auks.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.menara.ma.; 30 mx3.menara.ma.; 10 auks-ma.mail.protection.outlook.com.; 20 mx2.menara.ma.
aulaayoune.ma,HttpConnectTimeoutException: HTTP connect timed out,10 mail.aulaayoune.ma.
aularache.ma,HttpConnectTimeoutException: HTTP connect timed out,none
aumarrakech.ma,200,10 mail.aumarrakech.ma.
aumk.ma,503,0 aumk.ma.
aunador.ma,200,0 aunador.ma.
auo.org.ma,302,10 mail.auo.org.ma.
auozt.ma,200,0 auozt.ma.
aurs.org.ma,302,0 mail.aurs.org.ma.
ausafi.ma,ConnectException,none
ausettat.org,200,0 ausettat.org.
aust.ma,301,32767 ms10786557.msv1.invalid.; 10 _dc-mx.5625fdfd0152.aust.ma.
autar.ma,301,0 mail.autar.ma.
autaza.ma,302,0 autaza.ma.
