qid,label
Q1033855,Harari Region
Q1070673,Sidama Region
Q109788993,Southwest Ethiopia Regional State
Q122148951,South Ethiopia Regional State
Q122415622,Central Ethiopia Regional State
Q193486,Dire Dawa
Q193494,Afar Region
Q200127,Tigray Region
Q202107,Oromia Region
Q202800,Somali Region
Q203009,Amhara Region
Q207635,Benishangul-Gumuz Region
Q207638,Gambela Region
Q3624,Addis Ababa
