subdomain,http_status
mail.dsw.gov.mm,"302"
mail.industry.gov.mm,"SSL: no alternative certificate subject name matches target hostname 'mail.industry.gov.mm'"
mail.moee.gov.mm,"Could not resolve host: mail.moee.gov.mm"
mail.moe-st.gov.mm,"Could not resolve host: mail.moe-st.gov.mm"
forestdepartment.gov.mm,"200"
autodiscover.energy.gov.mm,"Could not resolve host: autodiscover.energy.gov.mm"
magway.gov.mm,"200"
mail.rrdhrplan.gov.mm,"Could not resolve host: mail.rrdhrplan.gov.mm"
ferd.gov.mm,"Could not resolve host: ferd.gov.mm"
app.ayarwadydevelopment.gov.mm,"404"
accm.gov.mm,"302"
maccs.gov.mm,"200"
mail.mcdc.gov.mm,"SSL: no alternative certificate subject name matches target hostname 'mail.mcdc.gov.mm'"
mail.forest.gov.mm,"200"
dedc.gov.mm,"301"
mail.qcrs.gov.mm,"302"
mdn.gov.mm,"403"
mail.ssdsw.gov.mm,"Failed to connect to mail.ssdsw.gov.mm port 443 after 309 ms: Could not connect to server"
mail.pyithuhluttaw.gov.mm,"Could not resolve host: mail.pyithuhluttaw.gov.mm"
chinstate.gov.mm,"200"
mandalayregion.gov.mm,"Could not resolve host: mandalayregion.gov.mm"
lmis.hrms-mohs.gov.mm,"SSL certificate problem: self-signed certificate in certificate chain"
law.pyithuhluttaw.gov.mm,"Could not resolve host: law.pyithuhluttaw.gov.mm"
mailadmin.nptdc.gov.mm,"Could not resolve host: mailadmin.nptdc.gov.mm"
mfiu.gov.mm,"Could not resolve host: mfiu.gov.mm"
mba.gov.mm,"Could not resolve host: mba.gov.mm"
mmftb.gov.mm,"Could not resolve host: mmftb.gov.mm"
mm.tourism.gov.mm,"Could not resolve host: mm.tourism.gov.mm"
mail.ulab.gov.mm,"200"
meter.moee.gov.mm,"Could not resolve host: meter.moee.gov.mm"
moee.gov.mm,"Could not resolve host: moee.gov.mm"
dmr-polb.gov.mm,"200"
dar.gov.mm,"200"
admin.ipd.gov.mm,"Connection timed out after 3001 milliseconds"
adminybps.ycdc.gov.mm,"Connection timed out after 3001 milliseconds"
api.ipd.gov.mm,"Connection timed out after 3001 milliseconds"
asset.mcdc.gov.mm,"Connection timed out after 3001 milliseconds"
asean2014.gov.mm,"Connection timed out after 3001 milliseconds"
autodiscover.magwayparliament.gov.mm,"Resolving timed out after 3000 milliseconds"
autodiscover.mohs.gov.mm,"Connection timed out after 3001 milliseconds"
bsi.gov.mm,"Connection timed out after 3002 milliseconds"
cincds.gov.mm,"Connection timed out after 3001 milliseconds"
constitutionaltribunal.gov.mm,"Connection timed out after 3002 milliseconds"
cp.mapps.gov.mm,"Connection timed out after 3001 milliseconds"
cpanel.ais.gov.mm,"Operation timed out after 3002 milliseconds with 0 bytes received"
motc.gov.mm,"307"
mric.gov.mm,"Could not resolve host: mric.gov.mm"
