hostname,indegree,indegree_tech
portugal.gov.pt,113,0
parlamento.pt,75,0
presidencia.pt,74,0
eportugal.gov.pt,34,0
acessibilidade.gov.pt,28,0
recuperarportugal.gov.pt,16,0
autenticacao.gov.pt,15,0
www.gov.pt,14,0
usabilidade.gov.pt,13,0
www2.gov.pt,13,1
base.gov.pt,12,0
livroamarelo.gov.pt,10,0
ama.gov.pt,9,0
cm-abrantes.pt,9,0
cm-ourem.pt,9,0
cm-vnbarquinha.pt,9,0
dglab.gov.pt,9,0
cm-alcanena.pt,8,0
cm-constancia.pt,8,0
cm-entroncamento.pt,8,0
cm-ferreiradozezere.pt,8,0
cm-macao.pt,8,0
cm-sardoal.pt,8,0
cm-serta.pt,8,0
cm-tomar.pt,8,0
cm-viladerei.pt,8,0
pnl2027.gov.pt,7,0
portaldasfinancas.gov.pt,7,1
compete2020.gov.pt,6,0
ipdj.gov.pt,6,0
patrimoniocultural.gov.pt,6,0
portalmunicipal.gov.pt,6,0
azores.gov.pt,5,0
bep.gov.pt,5,0
biblioled.gov.pt,5,0
bupi.gov.pt,5,0
dados.gov.pt,5,0
dgterritorio.gov.pt,5,0
mai.gov.pt,5,0
simplex.gov.pt,5,0
act.gov.pt,4,0
arte.gov.pt,4,0
bnportugal.gov.pt,4,0
cite.gov.pt,4,0
eeagrants.gov.pt,4,0
gnr.pt,4,0
justica.gov.pt,4,0
juventude.gov.pt,4,0
sns.gov.pt,4,0
acesso.gov.pt,3,0
anqep.gov.pt,3,0
ccdr-a.gov.pt,3,0
dgaep.gov.pt,3,0
dgal.gov.pt,3,0
dgert.gov.pt,3,0
espap.gov.pt,3,0
madeira.gov.pt,3,0
mne.gov.pt,3,0
mosaico.gov.pt,3,0
pgdlisboa.pt,3,0
planonacionaldeleitura.gov.pt,3,0
sgu.gov.pt,3,0
snq.gov.pt,3,0
transparencia.gov.pt,3,0
acm.gov.pt,2,0
agricultura.gov.pt,2,0
bud.gov.pt,2,0
cm-evora.pt,2,0
consumidor.gov.pt,2,0
culturanorte.gov.pt,2,0
dgae.gov.pt,2,0
digital.gov.pt,2,2
gpeari.gov.pt,2,0
iap.gov.pt,2,0
igac.gov.pt,2,0
pcm.gov.pt,2,0
pessoas2030.gov.pt,2,0
planapp.gov.pt,2,0
pna.gov.pt,2,0
portugaldigital.gov.pt,2,0
portugalforukraine.gov.pt,2,0
qualifica.gov.pt,2,0
rederural.gov.pt,2,0
tic.gov.pt,2,0
ansr.pt,1,0
anti-contrafacao.gov.pt,1,0
apcvd.gov.pt,1,0
b2ap.gov.pt,1,0
bussola.gov.pt,1,0
cig.gov.pt,1,0
cm-alenquer.pt,1,0
cm-aljezur.pt,1,0
cm-aveiro.pt,1,0
cm-castromarim.pt,1,0
cm-idanhanova.pt,1,0
cm-lisboa.pt,1,0
cm-odemira.pt,1,1
cm-porto.pt,1,0
cm-portosanto.pt,1,0
cm-ribeiragrande.pt,1,0
cm-silves.pt,1,0
cnpdpcj.gov.pt,1,0
comerciocomhistoria.gov.pt,1,0
comunicarconsumidor.gov.pt,1,0
covid19estamoson.gov.pt,1,0
culturaportugal.gov.pt,1,0
defesa.gov.pt,1,0
dgadr.gov.pt,1,0
dgap.gov.pt,1,0
dgartes.gov.pt,1,0
dges.gov.pt,1,0
dgpm.gov.pt,1,0
dgrdn.gov.pt,1,0
drapalentejo.gov.pt,1,0
draponline.gov.pt,1,0
edu.gov.pt,1,0
empregopublico.gov.pt,1,0
eo.gov.pt,1,0
etf.gov.pt,1,0
feap.gov.pt,1,0
filmespnc.gov.pt,1,0
geadap.gov.pt,1,0
gepac.gov.pt,1,0
gns.gov.pt,1,0
gov.pt,1,0
ia.gov.pt,1,0
igf.gov.pt,1,0
ipq.pt,1,0
labx.gov.pt,1,0
luisdecamoes500.gov.pt,1,0
mamaot.gov.pt,1,0
mj.gov.pt,1,0
mm.gov.pt,1,0
monumentos.gov.pt,1,0
msess.gov.pt,1,0
opjovem.gov.pt,1,0
participa.gov.pt,1,0
pec.gov.pt,1,0
prociv.gov.pt,1,0
programaregressar.gov.pt,1,0
programasaberfazer.gov.pt,1,0
promar.gov.pt,1,0
saf.gov.pt,1,0
scee.gov.pt,1,0
sgambiente.gov.pt,1,0
sgifr.gov.pt,1,0
sgmf.gov.pt,1,0
sigo.gov.pt,1,0
sigoraa.gov.pt,1,0
sigoram.gov.pt,1,0
sustentavel2030.gov.pt,1,0
territoriosinteligentes.gov.pt,1,0
ticapp.gov.pt,1,0
tongobriga.gov.pt,1,0
ucma.gov.pt,1,0
sns24-mfe.gov.pt,0,1
