field,text
country_name,"Republic of Cabo Verde"
government_type,"parliamentary republic"
capital,"Praia"
chief_of_state,"President Jose Maria Pereira NEVES (since 9 November 2021)"
head_of_government,"Prime Minister Jose Ulisses CORREIA e SILVA (since 22 April 2016)"
judicial_highest_courts,"Supreme Court of Justice (consists of the chief justice and at least 7 judges and organized into civil, criminal, and administrative sections)"
constitution_history,"previous 1981; latest effective 25 September 1992"
