subdomain,http_status
webmail.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'webmail.ntf.gov.sb'
webmail.reddplussolomonislands.gov.sb,200
webmail.sieiti.gov.sb,200
webmail.sima.gov.sb,200
webmail.solomons.gov.sb,SSL: no alternative certificate subject name matches target hostname 'webmail.solomons.gov.sb'
whm.sima.gov.sb,SSL: no alternative certificate subject name matches target hostname 'whm.sima.gov.sb'
www.biosecurity.gov.sb,200
www.caasi.gov.sb,200
www.commerce.gov.sb,301
www.companyhaus.gov.sb,Could not resolve host: www.companyhaus.gov.sb
www.customs.gov.sb,200
www.egate.sima.gov.sb,Could not resolve host: www.egate.sima.gov.sb
www.fisheries.gov.sb,Could not resolve host: www.fisheries.gov.sb
www.gp.sisnet.gov.sb,Could not resolve host: www.gp.sisnet.gov.sb
www.hgw1.sisnet.gov.sb,Could not resolve host: www.hgw1.sisnet.gov.sb
www.investsolomon.gov.sb,Could not resolve host: www.investsolomon.gov.sb
www.iresource.gov.sb,Could not resolve host: www.iresource.gov.sb
www.labour.gov.sb,200
www.lands.gov.sb,301
www.lawreform.gov.sb,301
www.mail.sig.gov.sb,Could not resolve host: www.mail.sig.gov.sb
www.mailserver.mof.gov.sb,Could not resolve host: www.mailserver.mof.gov.sb
www.mca.gov.sb,301
www.mecdm.gov.sb,SSL certificate problem: certificate has expired
www.mecm.gov.sb,Connection timed out after 3002 milliseconds
www.mehrd.gov.sb,200
www.met.gov.sb,301
www.mfaet.gov.sb,Could not resolve host: www.mfaet.gov.sb
www.mmere.gov.sb,SSL certificate problem: certificate has expired
www.mofr.gov.sb,200
www.mpgis.gov.sb,200
www.mwycfa.gov.sb,301
www.ndmo.gov.sb,SSL certificate problem: unable to get local issuer certificate
www.nsc.gov.sb,Could not resolve host: www.nsc.gov.sb
www.ntf.gov.sb,SSL: no alternative certificate subject name matches target hostname 'www.ntf.gov.sb'
www.oag.gov.sb,301
www.ombudsman.gov.sb,200
www.parliament.gov.sb,301
www.pmc.gov.sb,500
www.pso.gov.sb,500
www.reddplussolomonislands.gov.sb,200
www.rsipf.gov.sb,200
www.sicr.gov.sb,Could not resolve host: www.sicr.gov.sb
www.siec.gov.sb,301
www.sieiti.gov.sb,200
www.sima.gov.sb,200
www.simsa.gov.sb,SSL: no alternative certificate subject name matches target hostname 'www.simsa.gov.sb'
www.sitesa.gov.sb,200
www.solomonbusinessregistry.gov.sb,200
www.solomons.gov.sb,Could not resolve host: www.solomons.gov.sb
www.spires.gov.sb,SSL: no alternative certificate subject name matches target hostname 'www.spires.gov.sb'
www.statistics.gov.sb,SSL: no alternative certificate subject name matches target hostname 'www.statistics.gov.sb'
www.vulkanvegasbonus1000.ntf.gov.sb,Could not resolve host: www.vulkanvegasbonus1000.ntf.gov.sb
www.yumifastaem.mehrd.gov.sb,Could not resolve host: www.yumifastaem.mehrd.gov.sb
yumifastaem.mehrd.gov.sb,Could not resolve host: yumifastaem.mehrd.gov.sb
