field,text
country_name,"Socialist Republic of Vietnam"
government_type,"communist party-led state"
capital,"Hanoi (Ha Noi)"
chief_of_state,"President Luong CUONG (since 21 Oct 2024)"
head_of_government,"Prime Minister Pham Minh CHINH (since 26 July 2021)"
judicial_highest_courts,"Supreme People's Court (consists of the chief justice and 13 judges)"
constitution_history,"several previous; latest adopted 28 November 2013, effective 1 January 2014"
