subdomain,mx
nra.gov.ss,10 mx.zoho.com.; 20 mx2.zoho.com.; 50 mx3.zoho.com.
parking.eservices.gov.ss,none
pesaflow.eservices.gov.ss,none
pheoc.moh.gov.ss,none
phi.gov.ss,none
pop.sspf.gov.ss,none
ppc.gov.ss,none
presidency.gov.ss,none
rrc.gov.ss,none
securiport.eservices.gov.ss,none
sentry.etax.nra.gov.ss,none
services.rrc.gov.ss,none
sgt.boss.gov.ss,none
smtp.sspf.gov.ss,none
sscaa.eservices.gov.ss,none
sscaa.gov.ss,none
sscaffa.eservices.gov.ss,none
sscs.gov.ss,none
ssic.gov.ss,none
sslmis.mol.gov.ss,none
ssma.gov.ss,0 ssma.gov.ss.
ssnbs.gov.ss,none
ssnps.gov.ss,none
sspf.gov.ss,none
ssprc.gov.ss,0 ssprc.gov.ss.
ssra.gov.ss,none
stage.boss.gov.ss,none
staging.ecustoms.nra.gov.ss,none
staging.etax.eservices.gov.ss,none
staging.nec.gov.ss,none
staging2.nec.gov.ss,none
statehouse.gov.ss,none
support.eservices.gov.ss,none
test.boss.gov.ss,none
test.brs.eservices.gov.ss,none
test.eservices.gov.ss,none
test.ghris.eservices.gov.ss,none
test.nec.gov.ss,none
test2.nec.gov.ss,none
test3.nec.gov.ss,none
test4.nec.gov.ss,none
test5.nec.gov.ss,none
test6.nec.gov.ss,none
test7.nec.gov.ss,none
trade.eservices.gov.ss,none
transit.customs.nra.gov.ss,none
tvetmis-training.mogei.gov.ss,none
tvetmis.mogei.gov.ss,none
usaf.gov.ss,none
verify.nra.gov.ss,none
warrap.gov.ss,none
webdisk.meaca.gov.ss,none
webdisk.mhadm.gov.ss,none
webdisk.modva.gov.ss,none
webdisk.mohest.gov.ss,none
webdisk.mop.gov.ss,none
webdisk.mopaudits.gov.ss,none
webdisk.nc-ph-3574.boss.gov.ss,none
webdisk.nc-ph-5332.nec.gov.ss,none
webdisk.ssnbs.gov.ss,none
webdisk.sspf.gov.ss,none
webdisk.ssprc.gov.ss,none
webdisk.statehouse.gov.ss,none
webdisk.usaf.gov.ss,none
webmail.ceg.gov.ss,none
webmail.meaca.gov.ss,none
webmail.mhadm.gov.ss,none
webmail.modva.gov.ss,none
webmail.mohest.gov.ss,none
webmail.mop.gov.ss,none
webmail.mopaudits.gov.ss,none
webmail.mwct.gov.ss,none
webmail.mwri.gov.ss,none
webmail.nc-ph-3574.boss.gov.ss,none
webmail.nc-ph-5332.nec.gov.ss,none
webmail.nca.gov.ss,none
webmail.nphl.moh.gov.ss,none
webmail.ssnbs.gov.ss,none
webmail.sspf.gov.ss,none
webmail.ssprc.gov.ss,none
webmail.statehouse.gov.ss,none
webmail.usaf.gov.ss,none
whm.nc-ph-3574.boss.gov.ss,none
whm.nc-ph-5332.nec.gov.ss,none
workpermit.eservices.gov.ss,none
www.access.ssma.gov.ss,none
www.aimsapi.mofp.gov.ss,none
www.api1.aims.mofp.gov.ss,none
www.apply.nca.nca.gov.ss,none
www.bildd.nca.gov.ss,none
www.boss.gov.ss,none
www.brs.eservices.gov.ss,none
www.bsa.boss.gov.ss,none
www.business.eservices.gov.ss,none
www.careers.nca.gov.ss,none
www.ceg.gov.ss,none
www.clean.nec.gov.ss,none
www.customs.eservices.gov.ss,none
www.demo.ssma.gov.ss,none
www.design.mwct.gov.ss,none
www.ec.presidency.gov.ss,none
www.eservices.gov.ss,none
www.etax.ceg.gov.ss,none
www.etax.nra.gov.ss,none
www.evisa.gov.ss,none
www.fiu.gov.ss,none
www.helpdesk.boss.gov.ss,none
www.home1.nec.gov.ss,none
www.investment.eservices.gov.ss,none
www.lakes.gov.ss,none
www.mafs.gov.ss,none
www.meaca.gov.ss,none
www.mgcsw.gov.ss,none
www.mhadm.gov.ss,none
www.mictps.gov.ss,none
www.modva.gov.ss,none
www.mofaic.gov.ss,50 mx3.zoho.com.; 10 mx.zoho.com.; 20 mx2.zoho.com.
www.mofp.gov.ss,0 mofp-gov-ss.mail.protection.outlook.com.
www.moh.gov.ss,0 mail.moh.gov.ss.
www.mohest.gov.ss,none
www.mojca.gov.ss,none
www.mom.gov.ss,none
www.mop.gov.ss,none
www.mop.gov.ss.bastrading.co.uk,none
www.mopaudits.gov.ss,none
www.mopaudits.gov.ss.bastrading.co.uk,none
www.mwct.gov.ss,none
www.mwct.gov.ss.butilitech.com,none
www.mwri.gov.ss,none
www.mys.gov.ss,none
www.nbs.gov.ss,20 alt2.mymailcheap.com.; 1 email.nilotech.com.ss.; 10 alt1.mymailcheap.com.
www.nc-ph-3574.boss.gov.ss,none
www.nc-ph-5332.nec.gov.ss,none
www.nca.gov.ss,none
www.new.mop.gov.ss,none
www.new.nac.gov.ss,none
www.new.ssma.gov.ss,none
www.new.sspf.gov.ss,none
www.neweb.ssma.gov.ss,none
www.newssnbs.ssnbs.gov.ss,none
www.nla.gov.ss,none
www.nphl.moh.gov.ss,none
www.nra.gov.ss,10 mx.zoho.com.; 50 mx3.zoho.com.; 20 mx2.zoho.com.
www.ppc.gov.ss,none
www.presidency.gov.ss,none
www.rrc.gov.ss,none
www.sentry.etax.nra.gov.ss,none
www.sgt.boss.gov.ss,none
www.sscaa.eservices.gov.ss,none
www.sscaa.gov.ss,none
www.sscaffa.eservices.gov.ss,none
www.ssic.gov.ss,none
www.sslmis.mol.gov.ss,none
www.ssnbs.gov.ss,none
www.sspf.gov.ss,none
www.ssprc.gov.ss,0 ssprc.gov.ss.
www.ssra.gov.ss,none
www.stage.boss.gov.ss,none
www.staging.etax.eservices.gov.ss,none
www.staging.nec.gov.ss,none
www.staging2.nec.gov.ss,none
www.statehouse.gov.ss,none
www.test.nec.gov.ss,none
www.test2.nec.gov.ss,none
www.test3.nec.gov.ss,none
www.test4.nec.gov.ss,none
www.test5.nec.gov.ss,none
www.test6.nec.gov.ss,none
www.test7.nec.gov.ss,none
www.trade.eservices.gov.ss,none
www.usaf.gov.ss,none
