hostname,score,sources,label,level
ju.edu.jo,4,wikidata,University of Jordan,university
just.edu.jo,4,wikidata,Jordan University of Science and Technology,university
yu.edu.jo,4,wikidata,Yarmouk University,university
qou.edu,3,wikidata,Al-Quds Open University,university
