subdomain,http_status
cpcalendars.stc.gov.bw,"Could not resolve host: cpcalendars.stc.gov.bw"
cpcontacts.botswanaspeaks.gov.bw,"Could not resolve host: cpcontacts.botswanaspeaks.gov.bw"
baits3admin.gov.bw,"200"
cpanel.cdc.gov.bw,"Could not resolve host: cpanel.cdc.gov.bw"
expe.gov.bw,"Could not resolve host: expe.gov.bw"
eservices.gov.bw,"Could not resolve host: eservices.gov.bw"
gateway-odo.gov.bw,"Could not resolve host: gateway-odo.gov.bw"
gateway-odo-acc.gov.bw,"Could not resolve host: gateway-odo-acc.gov.bw"
crmportal.gov.bw,"301"
crm-admin.gov.bw,"200"
crm.gov.bw,"301"
feedbackauth.gov.bw,"302"
gbe-gbe08-isepsn-01.gov.bw,"Could not resolve host: gbe-gbe08-isepsn-01.gov.bw"
finance.gov.bw,"Could not resolve host: finance.gov.bw"
feedbackhub.gov.bw,"200"
gbe08-gbe-expc-01.gov.bw,"Could not resolve host: gbe08-gbe-expc-01.gov.bw"
ecsrmhelpdesk.gov.bw,"Failed to connect to ecsrmhelpdesk.gov.bw port 443 after 582 ms: Could not connect to server"
dailynews.gov.bw,"404"
gateway-dev-acc.gov.bw,"Could not resolve host: gateway-dev-acc.gov.bw"
baits3-uat.gov.bw,"401"
ethuto.gov.bw,"SSL certificate problem: certificate has expired"
gob.gov.bw,"Could not resolve host: gob.gov.bw"
gateway-dev.gov.bw,"Could not resolve host: gateway-dev.gov.bw"
baits3admin-uat.gov.bw,"401"
gobsmtp.gov.bw,"Could not resolve host: gobsmtp.gov.bw"
dev.cra.gov.bw,"Could not resolve host: dev.cra.gov.bw"
gbe-gbe06-isepsn-02.gov.bw,"Could not resolve host: gbe-gbe06-isepsn-02.gov.bw"
hie-uat.gov.bw,"Could not resolve host: hie-uat.gov.bw"
gbe-gbe06-isepsn-01.gov.bw,"Could not resolve host: gbe-gbe06-isepsn-01.gov.bw"
forms.childprotection.gov.bw,"Could not resolve host: forms.childprotection.gov.bw"
gbe08-gbe-expc-02.gov.bw,"Could not resolve host: gbe08-gbe-expc-02.gov.bw"
idp-api-ems-test.gov.bw,"Could not resolve host: idp-api-ems-test.gov.bw"
dchis.moh.gov.bw,"SSL: no alternative certificate subject name matches target hostname 'dchis.moh.gov.bw'"
gateway-cus-acc.gov.bw,"Failed to connect to gateway-cus-acc.gov.bw port 443 after 595 ms: Could not connect to server"
idp-api-ems.gov.bw,"Could not resolve host: idp-api-ems.gov.bw"
enketo.childprotection.gov.bw,"SSL certificate problem: certificate has expired"
idp-sts-ems-test.gov.bw,"Could not resolve host: idp-sts-ems-test.gov.bw"
gocase.gov.bw,"Could not resolve host: gocase.gov.bw"
gateway-ext-acc.gov.bw,"Could not resolve host: gateway-ext-acc.gov.bw"
help-test.imaap.gov.bw,"Failed to connect to help-test.imaap.gov.bw port 443 after 386 ms: Could not connect to server"
iec.gov.bw,"Could not resolve host: iec.gov.bw"
idverification.gov.bw,"Could not resolve host: idverification.gov.bw"
dhis.tsogojwame.gov.bw,"404"
cra.gov.bw,"Could not resolve host: cra.gov.bw"
hie.gov.bw,"Could not resolve host: hie.gov.bw"
idgateway-acc.gov.bw,"Could not resolve host: idgateway-acc.gov.bw"
iam-acc.gov.bw,"Failed to connect to iam-acc.gov.bw port 443 after 402 ms: Could not connect to server"
iam-admin-acc.gov.bw,"Could not resolve host: iam-admin-acc.gov.bw"
idp-admin-ems-test.gov.bw,"Could not resolve host: idp-admin-ems-test.gov.bw"
bpsmail.bpol.gov.bw,"200"
idp-admin-ems.gov.bw,"Could not resolve host: idp-admin-ems.gov.bw"
imaapcsr.gov.bw,"Could not resolve host: imaapcsr.gov.bw"
gishandler-test.imaap.gov.bw,"Could not resolve host: gishandler-test.imaap.gov.bw"
gateway-cus.gov.bw,"401"
kwena.imaap.gov.bw,"Could not resolve host: kwena.imaap.gov.bw"
ise-gbe06-01.gov.bw,"Could not resolve host: ise-gbe06-01.gov.bw"
idp-sts-ems.gov.bw,"Could not resolve host: idp-sts-ems.gov.bw"
dit-expe1.gov.bw,"303"
ids-test.imaap.gov.bw,"Could not resolve host: ids-test.imaap.gov.bw"
healthfacilities.gov.bw,"SSL certificate problem: unable to get local issuer certificate"
fenyacovid.gov.bw,"302"
imaap-test.gov.bw,"Failed to connect to imaap-test.gov.bw port 443 after 389 ms: Could not connect to server"
evisa.gov.bw,"200"
iseguests-gbe06.gov.bw,"Could not resolve host: iseguests-gbe06.gov.bw"
imaapt-test.gov.bw,"Could not resolve host: imaapt-test.gov.bw"
imaap.gov.bw,"Could not resolve host: imaap.gov.bw"
kgano.gov.bw,"Could not resolve host: kgano.gov.bw"
kib-acc.gov.bw,"Could not resolve host: kib-acc.gov.bw"
kolobe.imaap.gov.bw,"Could not resolve host: kolobe.imaap.gov.bw"
kib.gov.bw,"Could not resolve host: kib.gov.bw"
baits2.gov.bw,"Could not resolve host: baits2.gov.bw"
imex-app.gov.bw,"Could not resolve host: imex-app.gov.bw"
imex-app-acc.gov.bw,"Could not resolve host: imex-app-acc.gov.bw"
irecruit03.bdf.gov.bw,"Could not resolve host: irecruit03.bdf.gov.bw"
landhelpdesk.gov.bw,"Could not resolve host: landhelpdesk.gov.bw"
coms-acc.gov.bw,"Could not resolve host: coms-acc.gov.bw"
ise-gbe08-01.gov.bw,"Could not resolve host: ise-gbe08-01.gov.bw"
lands.gov.bw,"Could not resolve host: lands.gov.bw"
iseguest-gbe06.gov.bw,"Could not resolve host: iseguest-gbe06.gov.bw"
iseguests-gbe08.gov.bw,"Could not resolve host: iseguests-gbe08.gov.bw"
ids-trade-acc.gov.bw,"SSL certificate problem: certificate has expired"
jenkins1.gov.bw,"Could not resolve host: jenkins1.gov.bw"
ikitse.gov.bw,"301"
lisonline.gov.bw,"Could not resolve host: lisonline.gov.bw"
iam-admin.gov.bw,"SSL: no alternative certificate subject name matches target hostname 'iam-admin.gov.bw'"
join.gov.bw,"Failed to connect to join.gov.bw port 443 after 389 ms: Could not connect to server"
justice.gov.bw,"Could not resolve host: justice.gov.bw"
1gov-ext-gateway-acc.gov.bw,"Failed to connect to 1gov-ext-gateway-acc.gov.bw port 443 after 2082 ms: Could not connect to server"
images.childprotection.gov.bw,"SSL certificate problem: certificate has expired"
app-ecsrm.gov.bw,"Could not resolve host: app-ecsrm.gov.bw"
k8s-acc.gov.bw,"Could not resolve host: k8s-acc.gov.bw"
k8s.gov.bw,"Could not resolve host: k8s.gov.bw"
marriages-admin.gov.bw,"Could not resolve host: marriages-admin.gov.bw"
marriages-api-acc.gov.bw,"Could not resolve host: marriages-api-acc.gov.bw"
cms2.gov.bw,"Could not resolve host: cms2.gov.bw"
gov.bw,"301"
laws.gov.bw,"Could not resolve host: laws.gov.bw"
lesedi.gov.bw,"Could not resolve host: lesedi.gov.bw"
lis.gov.bw,"Could not resolve host: lis.gov.bw"
1gov-dev-gateway.gov.bw,"200"
mohwmdm.gov.bw,"Could not resolve host: mohwmdm.gov.bw"
mydevices.gov.bw,"Could not resolve host: mydevices.gov.bw"
iam.gov.bw,"200"
narms.gov.bw,"Could not resolve host: narms.gov.bw"
katse.imaap.gov.bw,"Could not resolve host: katse.imaap.gov.bw"
listraining.gov.bw,"Could not resolve host: listraining.gov.bw"
mail.stc.gov.bw,"Could not resolve host: mail.stc.gov.bw"
marriages-admin-acc.gov.bw,"Could not resolve host: marriages-admin-acc.gov.bw"
miac.gov.bw,"Could not resolve host: miac.gov.bw"
gobmail.gov.bw,"302"
moh.gov.bw,"Could not resolve host: moh.gov.bw"
onlineauction-service-uat.gov.bw,"Could not resolve host: onlineauction-service-uat.gov.bw"
mohw.mdm.gov.bw,"Could not resolve host: mohw.mdm.gov.bw"
mohwsmartwifi.gov.bw,"Could not resolve host: mohwsmartwifi.gov.bw"
mydevice.gov.bw,"Could not resolve host: mydevice.gov.bw"
mail.botswanaspeaks.gov.bw,"Could not resolve host: mail.botswanaspeaks.gov.bw"
narmsdev.gov.bw,"Could not resolve host: narmsdev.gov.bw"
gis.miningcadastre.gov.bw,"302"
mail.cdc.gov.bw,"Could not resolve host: mail.cdc.gov.bw"
narmsuat.gov.bw,"Could not resolve host: narmsuat.gov.bw"
payment-acc.gov.bw,"Could not resolve host: payment-acc.gov.bw"
privatesecurity.gov.bw,"Could not resolve host: privatesecurity.gov.bw"
kutlwano.gov.bw,"Could not resolve host: kutlwano.gov.bw"
