subdomain,parent_domain,http_status
chebaa.gov.lb,gov.lb,"Could not resolve host: chebaa.gov.lb"
chekka.gov.lb,gov.lb,"Could not resolve host: chekka.gov.lb"
clu.gov.lb,gov.lb,"200"
cma.gov.lb,gov.lb,"301"
cnss.gov.lb,gov.lb,"302"
collector.finance.gov.lb,gov.lb,"Connection timed out after 3001 milliseconds"
councilforsouth.gov.lb,gov.lb,"301"
cpanel.abeyaindrafil.gov.lb,gov.lb,"Could not resolve host: cpanel.abeyaindrafil.gov.lb"
cpanel.achache.gov.lb,gov.lb,"Could not resolve host: cpanel.achache.gov.lb"
cpanel.aineldelb.gov.lb,gov.lb,"Could not resolve host: cpanel.aineldelb.gov.lb"
cpanel.antoura.gov.lb,gov.lb,"Could not resolve host: cpanel.antoura.gov.lb"
cpanel.barja.gov.lb,gov.lb,"Could not resolve host: cpanel.barja.gov.lb"
cpanel.bater.gov.lb,gov.lb,"Could not resolve host: cpanel.bater.gov.lb"
cpanel.batha.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'cpanel.batha.gov.lb'"
cpanel.batroun.gov.lb,gov.lb,"Could not resolve host: cpanel.batroun.gov.lb"
cpanel.beirutairport.gov.lb,gov.lb,"Could not resolve host: cpanel.beirutairport.gov.lb"
cpanel.biakout.gov.lb,gov.lb,"Could not resolve host: cpanel.biakout.gov.lb"
cpanel.bourjhammoud.gov.lb,gov.lb,"SSL certificate problem: self-signed certificate"
cpanel.cc.gov.lb,gov.lb,"Could not resolve host: cpanel.cc.gov.lb"
cpanel.ces.gov.lb,gov.lb,"Could not resolve host: cpanel.ces.gov.lb"
cpanel.chatine.gov.lb,gov.lb,"Could not resolve host: cpanel.chatine.gov.lb"
cpanel.clu.gov.lb,gov.lb,"Could not resolve host: cpanel.clu.gov.lb"
cpanel.cma.gov.lb,gov.lb,"Could not resolve host: cpanel.cma.gov.lb"
cpanel.councilforsouth.gov.lb,gov.lb,"200"
cpanel.darelfatwa.gov.lb,gov.lb,"Could not resolve host: cpanel.darelfatwa.gov.lb"
cpanel.dguh.gov.lb,gov.lb,"Could not resolve host: cpanel.dguh.gov.lb"
cpanel.dreibalawsat.gov.lb,gov.lb,"Could not resolve host: cpanel.dreibalawsat.gov.lb"
cpanel.druzecourts.gov.lb,gov.lb,"Could not resolve host: cpanel.druzecourts.gov.lb"
cpanel.eeln.gov.lb,gov.lb,"Could not resolve host: cpanel.eeln.gov.lb"
cpanel.eeway.gov.lb,gov.lb,"Could not resolve host: cpanel.eeway.gov.lb"
cpanel.feytroun.gov.lb,gov.lb,"Could not resolve host: cpanel.feytroun.gov.lb"
cpanel.fnaydek.gov.lb,gov.lb,"Could not resolve host: cpanel.fnaydek.gov.lb"
cpanel.ghalboun.gov.lb,gov.lb,"200"
cpanel.ghazir.gov.lb,gov.lb,"Could not resolve host: cpanel.ghazir.gov.lb"
cpanel.greenplan.gov.lb,gov.lb,"Could not resolve host: cpanel.greenplan.gov.lb"
cpanel.habbouch.gov.lb,gov.lb,"Could not resolve host: cpanel.habbouch.gov.lb"
cpanel.hcp.gov.lb,gov.lb,"Could not resolve host: cpanel.hcp.gov.lb"
cpanel.iranianembassy.gov.lb,gov.lb,"Could not resolve host: cpanel.iranianembassy.gov.lb"
cpanel.jadra.gov.lb,gov.lb,"Could not resolve host: cpanel.jadra.gov.lb"
cpanel.jaleldibbkenaya.gov.lb,gov.lb,"Could not resolve host: cpanel.jaleldibbkenaya.gov.lb"
cpanel.jdeidetmarjeyoun.gov.lb,gov.lb,"Could not resolve host: cpanel.jdeidetmarjeyoun.gov.lb"
cpanel.jieh.gov.lb,gov.lb,"Could not resolve host: cpanel.jieh.gov.lb"
cpanel.jo.pcm.gov.lb,gov.lb,"Could not resolve host: cpanel.jo.pcm.gov.lb"
cpanel.joureteltermos.gov.lb,gov.lb,"Could not resolve host: cpanel.joureteltermos.gov.lb"
cpanel.justice.gov.lb,gov.lb,"526"
cpanel.kafarmatta.gov.lb,gov.lb,"Could not resolve host: cpanel.kafarmatta.gov.lb"
cpanel.kahale.gov.lb,gov.lb,"Could not resolve host: cpanel.kahale.gov.lb"
cpanel.keserwanftouhfederation.gov.lb,gov.lb,"200"
cpanel.kfarchima.gov.lb,gov.lb,"Could not resolve host: cpanel.kfarchima.gov.lb"
cpanel.khencharajouar.gov.lb,gov.lb,"Could not resolve host: cpanel.khencharajouar.gov.lb"
cpanel.lassa.gov.lb,gov.lb,"Could not resolve host: cpanel.lassa.gov.lb"
cpanel.ministryinfo.gov.lb,gov.lb,"Could not resolve host: cpanel.ministryinfo.gov.lb"
cpanel.mouwahidoundruze.gov.lb,gov.lb,"303"
