subdomain,parent_domain,http_status,mx
akstur.althingi.is,althingi.is,302,
al-ems-server-01.althingi.is,althingi.is,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
althingi.is,althingi.is,301,0 althingi-is.mail.protection.outlook.com.
askur.althingi.is,althingi.is,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
autodiscover.umb.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
av.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
beta.althingi.is,althingi.is,301,
bigbluebutton.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
disco.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
domstolasyslan.is,domstolasyslan.is,301,0 domstolasyslan-is.mail.protection.outlook.com.
ff01.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
fjarfundur.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
fjarfundur02.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
fjarfundur03.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
frigg.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
frosti.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
fsa.althingi.is,althingi.is,200,
fundur.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
government.is,government.is,200,20 neisti.stjr.is.; 10 funi.stjr.is.
innri.althingi.is,althingi.is,401,
lyncdiscover.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
meet.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
netbox.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
omd-monitor.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
rna.althingi.is,althingi.is,200,
sbc01.government.is,government.is,Connection timed out after 3002 milliseconds,none
sic.althingi.is,althingi.is,302,
simi1.government.is,government.is,Connection timed out after 3002 milliseconds,none
simi2.government.is,government.is,Connection timed out after 3001 milliseconds,none
sip.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
sip.government.is,government.is,Connection timed out after 3002 milliseconds,none
skypepool.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
stjornarradid.is,stjornarradid.is,301,10 neisti.stjr.is.; 10 funi.stjr.is.
sysmon-1.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
umb.althingi.is,althingi.is,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
utsending.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
virvir.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
vod.althingi.is,althingi.is,200,
webcon.government.is,government.is,Connection timed out after 3002 milliseconds,none
webconf.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
www.althingi.is,althingi.is,200,none
www.domstolasyslan.is,domstolasyslan.is,301,0 domstolasyslan-is.mail.protection.outlook.com.
www.frosti.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
www.stjornarradid.is,stjornarradid.is,200,none
www3.althingi.is,althingi.is,ConnectException > UnresolvedAddressException,
xrd.government.is,government.is,Could not resolve host: xrd.government.is,none
