hostname,score,sources,label,level
aprc.sd,4,wikidata,Animal Production Research Center,
meteosudan.sd,4,wikidata,Sudan Meteorological Authority,
sudapost.sd,4,wikidata,SudaPost,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Sudan,
khartoum.mae.ro,3,wikidata,embassy of Romania in Sudan,central
khartum.diplo.de,3,wikidata,"Embassy of Germany, Khartoum",central
norway.no,3,wikidata,"Embassy of Norway, Khartoum",central
sd.ambafrance.org,3,wikidata,"Embassy of France, Khartoum",central
sudan.mid.ru,3,wikidata,embassy of Russia in Sudan,central
swedenabroad.se,3,wikidata,"Embassy of Sweden, Khartoum",central
