hostname,score,sources,label,level
ambafrance-au.org,3,wikidata,Consulate-General of France in  Sydney,
ambasadat.net,3,wikidata,"Embassy of Kosovo, Canberra",central
au.ambafrance.org,3,wikidata,"embassy of France, Canberra",central
au.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Canberra",central
au.mfa.lt,3,wikidata,embassy of Lithuania in Australia,central
au.mvep.hr,3,wikidata,embassy of Croatia in Australia,central
australia.mid.ru,3,wikidata,"Embassy of Russia, Canberra",central
australien.um.dk,3,wikidata,embassy of Denmark in Australia,central
bhcanberra.com,3,wikidata,"High Commission of Bangladesh, Canberra",central
bihembassy.org,3,wikidata,"Embassy of Bosnia and Herzegovina, Canberra",central
canberra.embassy.qa,3,wikidata,embassy of Qatar in Australia,central
canberra.embassy.si,3,wikidata,"Embassy of Slovenia, Canberra",central
canberra.mae.ro,3,wikidata,embassy of Romania in Australia,central
canberra.mfa.af,3,wikidata,"Embassy of Afghanistan, Canberra",central
canberra.mfa.ee,3,wikidata,Embassy of Estonia in Canberra,central
canberra.thaiembassy.org,3,wikidata,embassy of Thailand in Australia,central
cgiperth.org,3,wikidata,"Consulate General of India, Perth",
eeas.europa.eu,3,wikidata,Delegation of the European Union to Australia,
emblaustralia.org,3,wikidata,EMBL Australia,
en.sudanicanberra.com,3,wikidata,embassy of Sudan in Australia,central
ethiopianembassy.net,3,wikidata,embassy of Ethiopia in Australia,central
finlandabroad.fi,3,wikidata,Embassy of Finland to Australia,central
kuwaitemb-australia.com,3,wikidata,embassy of Kuwait in Australia,central
laosembassy.net,3,wikidata,embassy of Laos in Australia,central
mfa.bg,3,wikidata,embassy of Bulgaria in Australia,central
mfa.gr,3,wikidata,"Embassy of Greece, Canberra",central
mzv.cz,3,wikidata,embassy of the Czech Republic in Australia,central
mzv.sk,3,wikidata,embassy of Slovakia in Australia,central
norway.no,3,wikidata,"Embassy of Norway, Canberra",central
palestine-australia.com,3,wikidata,"General Delegation of Palestine to Australia, Aotearoa New Zealand and the Pacific",central
pngcanberra.org,3,wikidata,high commission of Papua New Guinea in Australia,central
portofmelbourne.com,3,wikidata,Port of Melbourne Corporation,
portugalperth.com,3,wikidata,Honorary Consulate of Portugal in Perth,
qantas.com,3,wikidata,Qantas Airways,
rv.racing.com,3,wikidata,Racing Victoria Limited,
saconsulwa.com,3,wikidata,"Honorary Consulate of South Africa, Perth",
sarinarusso.com,3,wikidata,Sarina Russo Job Access,
sea.museum,3,wikidata,Australian National Maritime Museum,
slhcaust.org,3,wikidata,high commission of Sri Lanka in Australia,central
statetransit.info,3,wikidata,State Transit Authority of New South Wales,
swedenabroad.se,3,wikidata,Swedish embassy in Canberra,central
tiwilandcouncil.com,3,wikidata,Tiwi Land Council,
ugandahighcommissionaustralia.org,3,wikidata,high commission of Uganda in Australia,central
who.int,3,wikidata,World Health Organization (Australia),
au.usembassy.gov,2,wikidata;wikidata;wikidata;wikidata,"Embassy of the United States, Canberra | Consulate General of the United States, Perth | Consulate General of the United States in Sydney | Consulate General of the United States, Melbourne",central
csiro.au,2,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,CSIRO Manufacturing | Plant Industry | CSIRO Environment | Division of Entomology | CSIRO Mineral Resources | Commonwealth Scientific and Industrial Research Organisation | CSIRO Oceans and Atmosphere | CSIRO Scientific Computing,
australien.diplo.de,1,wikidata;wikidata;wikidata;wikidata,"German Honorary Consulate, Perth | Embassy of Germany, Canberra | Consulate General of Germany, Sydney",central
roc-taiwan.org,1,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,"Taipei Economic and Cultural Office, Sydney | Taipei Economic and Cultural Office in Australia | Taipei Economic and Cultural Office, Melbourne | Q109344646 | Taipei Economic and Cultural Office, Brisbane",
