hostname,score,sources,label,level
kultura.by,7,wikidata;wikidata,Ministry of Culture of the Republic of Belarus,central
mas.by,7,wikidata;wikidata,Ministry of Architecture and Construction of the Republic of Belarus,central
mil.by,7,wikidata;wikidata,Ministry of Defence of the Republic of Belarus,central
mlh.by,7,wikidata;wikidata,Ministry of Forestry of the Republic of Belarus,central
nbrb.by,7,wikidata;wikidata,National Bank of the Republic of Belarus,
pijarzy.pl,6,wikidata;wikidata,Piarist province of Poland,
supcourt.by,6,wikidata,Supreme Court of Belarus,central
cci.by,4,wikidata,Belarusian Chamber of Commerce and Industry,
embavenez.by,4,wikidata,"Embassy of Venezuela, Minsk",central
fond.bas-net.by,4,wikidata,Belarusian Republican Foundation for Fundamental Research,
minszk.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Minsk",central
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Minsk",central
narb.by,4,wikidata,National Archives of Belarus,
nca.by,4,wikidata,Q137565559,
nlb.by,4,wikidata,National Library of Belarus,
nunciature.catholic.by,4,wikidata,Apostolic Nunciature to Belarus,central
pl.instpol.by,4,wikidata,Polish Institute in Minsk,
tajembassy.by,4,wikidata,embassy of Tajikistan in Belarus,central
belarus.mid.ru,3,wikidata,"Embassy of Russia, Minsk",central
belarusembassy.orderofmalta.int,3,wikidata,"Embassy of the Sovereign Military Order of Malta, Minsk",central
by.ambafrance.org,3,wikidata,"Embassy of France, Minsk",central
by.mfa.lt,3,wikidata,"Embassy of Lithuania, Minsk",central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Belarus,
finlandabroad.fi,3,wikidata,"Liaison Office of Finland, Minsk",
mfa.bg,3,wikidata,"Embassy of Bulgaria, Minsk",central
minsk.diplo.de,3,wikidata,"Embassy of Germany, Minsk",central
minsk.mae.ro,3,wikidata,"Embassy of Romania, Minsk",central
minsk.mfa.ee,3,wikidata,Embassy of Estonia in Minsk,central
mzv.cz,3,wikidata,"Embassy of Czech Republic, Minsk",central
mzv.sk,3,wikidata,embassy of Slovakia in Belarus,central
swedenabroad.com,3,wikidata,"Embassy of Sweden, Minsk",central
belriem.by,2,wikidata;wikidata;wikidata,Belarusian Research Institute for Epidemiology and Microbiology,
