qid,label
Q13160,Jalisco
Q1489,Mexico City
Q15282,Nuevo León
Q34110,Oaxaca
Q46422,Sonora
Q46475,Guanajuato
Q46508,Baja California Sur
Q53079,Coahuila
Q58731,Baja California
Q60123,Chiapas
Q60130,Veracruz
Q60158,Guerrero
Q60176,Yucatán
Q61309,Colima
Q655,Chihuahua
Q66117,Morelos
Q78980,San Luis Potosí
Q79754,Querétaro
Q79861,Michoacán
Q79918,Durango
Q79920,Nayarit
Q79923,Puebla
Q79952,Aguascalientes
Q80007,Tamaulipas
Q80245,Quintana Roo
Q80252,Sinaloa
Q80269,Zacatecas
Q80903,Hidalgo
Q80908,Campeche
Q80914,Tabasco
Q82112,State of Mexico
Q82681,Tlaxcala
