domain,http_status,mx
12333sh.gov.cn,ConnectException,
ah.gov.cn,ConnectException,
ahga.gov.cn,ConnectException,
ahnw.gov.cn,ConnectException,
ahwjw.gov.cn,ConnectException,
ahzwfw.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
baic.gov.cn,ConnectException,
beijing.gov.cn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
bjcg.gov.cn,ConnectException,
bjchfp.gov.cn,ConnectException,
bjcourt.gov.cn,ConnectException,
bjdfz.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
bjedu.gov.cn,ConnectException,
bjeit.gov.cn,ConnectException,
bjfao.gov.cn,ConnectException,
bjggzyfw.gov.cn,ConnectException,
bjgjj.gov.cn,ConnectException,
bjgzw.gov.cn,ConnectException,
bjipo.gov.cn,ConnectException,
bjjtgl.gov.cn,ConnectException,
bjjtw.gov.cn,ConnectException,
bjkw.gov.cn,ConnectException,
bjld.gov.cn,ConnectException,
bjlsj.gov.cn,ConnectException,
bjmzj.gov.cn,ConnectException,
bjpta.gov.cn,ConnectException,
bjrbj.gov.cn,ConnectException,
bjrd.gov.cn,ConnectException,
bjrs.gov.cn,ConnectException,
bjsports.gov.cn,ConnectException,
bjwh.gov.cn,ConnectException,
bjwmb.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
cq-l-tax.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
cq.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
cqdx.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
cqga.gov.cn,ConnectException,
cqhrss.gov.cn,ConnectException,
cqjcy.gov.cn,ConnectException,
cqwater.gov.cn,ConnectException,
fj.gov.cn,200,
fj12345.gov.cn,ConnectException,
fjdrc.gov.cn,ConnectException,
fjhfpc.gov.cn,ConnectException,
fjrs.gov.cn,ConnectException,
fjsf.gov.cn,ConnectException,
fjxf.gov.cn,ConnectException,
fjylbz.gov.cn,ConnectException,
fujian.gov.cn,200,
gansu.gov.cn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
gd.gov.cn,ConnectException,
gdczt.gov.cn,ConnectException,
gdda.gov.cn,ConnectException,
gdei.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
gdep.gov.cn,ConnectException,
gdepb.gov.cn,ConnectException,
gdfda.gov.cn,ConnectException,
gdga.gov.cn,ConnectException,
gdgpo.gov.cn,ConnectException,
gdqts.gov.cn,ConnectException,
gdsf.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
gdta.gov.cn,ConnectException,
gdwst.gov.cn,ConnectException,
gs12333.gov.cn,ConnectException,
guizhou.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
gxaudit.gov.cn,ConnectException,
gxdlr.gov.cn,ConnectException,
gxdx.gov.cn,ConnectException,
gxfgjj.gov.cn,ConnectException,
gxhrss.gov.cn,ConnectException,
gxi.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
gxrd.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
gxst.gov.cn,ConnectException,
gxwater.gov.cn,ConnectException,
gxxf.gov.cn,302,
gxzf.gov.cn,ConnectException,
ha-l-tax.gov.cn,ConnectException,
haagri.gov.cn,ConnectException,
hahrss.gov.cn,ConnectException,
hainan.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
heao.gov.cn,ConnectException,
hebei.gov.cn,ConnectException,
henan.gov.cn,403,
henanga.gov.cn,502,
hitax.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
hlj.gov.cn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
hljcredit.gov.cn,ConnectException,
hljedu.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
hljga.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
hljggzyjyw.gov.cn,ConnectException,
hljwht.gov.cn,ConnectException,
hnzwfw.gov.cn,200,
hubei.gov.cn,412,
hunan.gov.cn,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,
hunanjs.gov.cn,HttpConnectTimeoutException: HTTP connect timed out,
investbeijing.gov.cn,ConnectException,
