hostname,http_status,mx
academy.ac.il,200,0 plannet.cyfox.com.
ambaco-isr.org,301,none
ambasadat.net,200,20 mx2.emailsrvr.com.; 10 mx1.emailsrvr.com.
antiquities.org.il,301,10 mx1.improvmx.com.; 20 mx2.improvmx.com.
arabicac.com,200,5 alt2.aspmx.l.google.com.; 40 aspmx2.googlemail.com.; 10 alt3.aspmx.l.google.com.; 10 aspmx.l.google.com.; 50 aspmx3.googlemail.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
autoridadnasionala.wixsite.com,404,none
begincenter.org.il,301,0 begincenter-org-il.mail.protection.outlook.com.
beitdin.org.il,200,none
besor.org.il,302,0 besor-org-il.mail.protection.outlook.com.
bgh.org.il,200,0 bgh-org-il.mail.protection.outlook.com.
boi.org.il,302,5 Mail05.boi.org.il.; 33 mail33.boi.org.il.; 15 mail15.boi.org.il.
che.org.il,200,0 che-org-il.mail.protection.outlook.com.
custodia.org,301,0 custodia-org.mail.protection.outlook.com.
dsda.org.il,404,0 dsda-org-il.mail.protection.outlook.com.
eastgalil.org.il,200,0 eastgalil-org-il.mail.protection.outlook.com.
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
ehondurasisrael.net,200,0 ehondurasisrael-net.mail.protection.outlook.com.
eilat.muni.il,403,0 eilat-muni-il.mail.protection.outlook.com.
envihaifa.org.il,301,0 envihaifa-org-il.mail.protection.outlook.com.
finlandabroad.fi,301,10 mail.valtori.fi.
harav-eliyahu.co.il,200,none
hebrew-academy.org.il,403,0 hebrewacademy-org-il01e.mail.protection.outlook.com.
i-core.org.il,200,none
idf.il,ConnectException,0 idf-il.mail.protection.outlook.com.
igudan.org.il,301,100 mx.bezeqint.net.; 10 mail.igudan.org.il.
il.ambafrance.org,301,none
il.china-embassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching il.china-embassy.org found.,none
il.mfa.lt,403,none
il.mvep.hr,ConnectException,none
innovationisrael.org.il,200,5 innovationisrael-org-il.mail.protection.outlook.com.
instytutpolski.pl,IOException: Received RST_STREAM: Internal error,10 mx1.instytutpolski.pl.
iscc.co.il,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.iscc.co.il.
iserd.org.il,301,20 mx2-eu1.ppe-hosted.com.; 30 _dc-mx.0452eee4d464.iserd.org.il.; 10 mx1-eu1.ppe-hosted.com.; 5 iserd-org-il.mail.protection.outlook.com.
israel.mfa.am,301,none
israel.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
israel.um.dk,301,none
israelbar.org.il,302,10 israelbar.cyfox.com.
israelchamber.org,302,0 mail.civenty.com.
israelhpr.org.il,301,none
israelpost.co.il,403,10 israelpost-co-il.mail.protection.outlook.com.
israports.org.il,HttpConnectTimeoutException: HTTP connect timed out,5 sweeper.israports.co.il.; 20 sweeper3.israports.co.il.; 10 RAA-sweeper2.israports.co.il.
jerusalem.consulfrance.org,301,none
kan.org.il,301,0 kan-org-il.mail.protection.outlook.com.
karnit.co.il,403,10 mailmx.karnit.co.il.; 50 mx.bezeqint.net.; 5 inbound-smtp.eu-west-1.amazonaws.com.
kenyaembassyisrael.com,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,50 mx156.hostedmxserver.com.
kineret.org.il,403,0 kineret-org-il.mail.protection.outlook.com.
makan.org.il,403,0 makan-org-il.mail.protection.outlook.com.
meta.org.il,HttpConnectTimeoutException: HTTP connect timed out,none
metelaviv.org,200,0 _dc-mx.02140da53cf7.metelaviv.org.
mfa.bg,302,0 mfa-bg.mail.protection.outlook.com.
mfa.gr,403,10 mailhost.mfa.gr.
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,20 smartmail2.fednet.gov.ae.; 10 smartmail1.fednet.gov.ae.
mzv.cz,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,301,10 mail.gov.sk.
nanoisrael.org,301,none
netherlandsandyou.nl,301,0 .
netherlandsworldwide.nl,301,0 .
nigerianembassy.co.il,301,0 _dc-mx.6ba2b97289c2.nigerianembassy.co.il.
nikuzarava.co.il,HttpConnectTimeoutException: HTTP connect timed out,0 mail.nikuzarava.co.il.
nikuzcarmel.co.il,301,none
nli.org.il,403,0 nli-org-il.mail.protection.outlook.com.
norway.no,301,0 mx.domeneshop.no.
