qid,label
Q258405,Granada Department
Q260009,Managua Department
Q280973,Boaco Department
Q291279,South Caribbean Coast Autonomous Region
Q461133,Carazo Department
Q498443,Chontales Department
Q498452,North Caribbean Coast Autonomous Region
Q570358,Masaya Department
Q586818,León Department
Q644024,Chinandega Department
Q728015,Estelí Department
Q728022,Nueva Segovia Department
Q728056,Madriz Department
Q728099,Matagalpa Department
Q728120,Jinotega Department
Q728127,Rivas Department
Q728155,Río San Juan Department
