qid,label
Q1023041,Akmenė District Municipality
Q118903,Vilnius District Municipality
Q1351722,Kaunas District Municipality
Q1351747,Varėna District Municipality
Q1351758,Panevėžys District Municipality
Q1351768,Jonava District Municipality
Q1387044,Kelmė District Municipality
Q141132,Klaipėda District Municipality
Q1417346,Šiauliai District Municipality
Q1461920,Pasvalys District Municipality
Q1461972,Kazlų Rūda Municipality
Q1461987,Kalvarija Municipality
Q156560,Kretinga Municipality
Q16456513,Klaipeda City Municipality
Q1657116,Pakruojis District Municipality
Q1755961,Radviliškis District Municipality
Q1799182,Šalčininkai District Municipality
Q1813849,Švenčionys District Municipality
Q1931377,Marijampolė Municipality
Q1987743,Trakai District Municipality
Q2015893,Birštonas Municipality
Q2021307,Šakiai District Municipality
Q2021318,Vilkaviškis District Municipality
Q2069320,Kaišiadorys District Municipality
Q2069330,Ignalina District Municipality
Q2069342,Lazdijai District Municipality
Q2069355,Raseiniai District Municipality
Q2071640,Tauragė District Municipality
Q2089772,Anykščiai District Municipality
Q2089777,Elektrėnai Municipality
Q2089785,Molėtai District Municipality
Q2089791,Kupiškis District Municipality
Q2089798,Utena District Municipality
Q2089815,Jurbarkas District Municipality
Q219115,Skuodas District Municipality
Q2283574,Pagėgiai Municipality
Q2558824,Visaginas Municipality
Q282098,Šilutė District Municipality
Q313132,Mažeikiai District Municipality
Q3685407,Alytus City Municipality
Q3685410,Palanga City Municipality
Q3685412,Panevėžys City Municipality
Q404943,Plungė District Municipality
Q46786,Kėdainiai District Municipality
Q47090,Prienai District Municipality
Q4993831,Šiauliai City Municipality
Q58882,Širvintos District Municipality
Q588916,Telšiai District Municipality
Q610133,Joniškis District Municipality
Q664415,Zarasai District Municipality
Q669649,Druskininkai municipality
Q677400,Šilalė District Municipality
Q68929,Ukmergė District Municipality
Q712011,Rietavas Municipality
Q763504,Biržai District Municipality
Q766969,Rokiškis District Municipality
Q769940,Alytus District Municipality
Q923117,Vilnius City Municipality
Q928938,Kaunas City Municipality
