qid,label
Q12750430,Zeta Municipality
Q12750439,Tuzi Municipality
Q13365880,Šavnik Municipality
Q15630696,Petnjica Municipality
Q16085370,Gusinje Municipality
Q2384773,Andrijevica Municipality
Q2604068,Bar Municipality
Q3296677,Rožaje Municipality
Q3299782,Mojkovac Municipality
Q3299950,Pljevlja Municipality
Q3303233,Kolašin Municipality
Q3304454,Žabljak Municipality
Q3305075,Old Royal Capital Cetinje
Q3305169,Ulcinj Municipality
Q3305250,Podgorica Capital City
Q3317366,Herceg Novi Municipality
Q3738564,Tivat Municipality
Q3739214,Budva Municipality
Q3741507,Danilovgrad Municipality
Q4086488,Bijelo Polje Municipality
Q4853794,Berane Municipality
Q4856305,Kotor Municipality
Q4859821,Plav Municipality
Q4864476,Plužine Municipality
Q4865016,Nikšić Municipality
