subdomain,http_status
app.msf.gov.sg,"Could not resolve host: app.msf.gov.sg"
app-stg1.nea.gov.sg,"Could not resolve host: app-stg1.nea.gov.sg"
app.helpdesk.agd.gov.sg,"403"
app.mcys-volunteers.gov.sg,"Could not resolve host: app.mcys-volunteers.gov.sg"
app.mcds.gov.sg,"Could not resolve host: app.mcds.gov.sg"
app.asc.gov.sg,"Could not resolve host: app.asc.gov.sg"
adfs.mccy.gov.sg,"Could not resolve host: adfs.mccy.gov.sg"
app.customs.gov.sg,"Could not resolve host: app.customs.gov.sg"
app-stg2.sgdi.gov.sg,"Could not resolve host: app-stg2.sgdi.gov.sg"
admin.stb.gov.sg,"Could not resolve host: admin.stb.gov.sg"
app-stg.syariahcourt.gov.sg,"Could not resolve host: app-stg.syariahcourt.gov.sg"
app.cpib.gov.sg,"Could not resolve host: app.cpib.gov.sg"
apisandbox.iras.gov.sg,"301"
app.policychallenge.gov.sg,"Could not resolve host: app.policychallenge.gov.sg"
app.psc-cms.gov.sg,"Could not resolve host: app.psc-cms.gov.sg"
app.poevents.gov.sg,"Could not resolve host: app.poevents.gov.sg"
app.pmoevents.gov.sg,"Could not resolve host: app.pmoevents.gov.sg"
alternate-stg.ica.gov.sg,"Could not resolve host: alternate-stg.ica.gov.sg"
app.reqsys.agd.gov.sg,"Could not resolve host: app.reqsys.agd.gov.sg"
app.enotifywpe.mom.gov.sg,"Could not resolve host: app.enotifywpe.mom.gov.sg"
alternate.ica.gov.sg,"Could not resolve host: alternate.ica.gov.sg"
ams-stg.mfa.gov.sg,"Could not resolve host: ams-stg.mfa.gov.sg"
app.romm.gov.sg,"Could not resolve host: app.romm.gov.sg"
app.rahs.gov.sg,"Could not resolve host: app.rahs.gov.sg"
app.reach.gov.sg,"Could not resolve host: app.reach.gov.sg"
app.rom.gov.sg,"Could not resolve host: app.rom.gov.sg"
app.gov.sg,"Could not resolve host: app.gov.sg"
aem.moe.gov.sg,"Could not resolve host: aem.moe.gov.sg"
app.scp.gov.sg,"Could not resolve host: app.scp.gov.sg"
app.scdffiresafety.gov.sg,"Could not resolve host: app.scdffiresafety.gov.sg"
app.sgdi.gov.sg,"Could not resolve host: app.sgdi.gov.sg"
app.ros.gov.sg,"Could not resolve host: app.ros.gov.sg"
app.feedback.gov.sg,"SSL: no alternative certificate subject name matches target hostname 'app.feedback.gov.sg'"
app.sdusds.gov.sg,"Could not resolve host: app.sdusds.gov.sg"
app.sims.gov.sg,"Could not resolve host: app.sims.gov.sg"
app.score.gov.sg,"Could not resolve host: app.score.gov.sg"
app.mavis.ica.gov.sg,"Could not resolve host: app.mavis.ica.gov.sg"
