org,group
Digital-Israel,Israel
MohGovIL,Israel
MostIL,Israel
AgID,Italy
ComuneBologna,Italy
Formez,Italy
pcm-dpc,Italy
PloneGov-IT,Italy
RegioneER,Italy
TeamDigitale,Italy
city-of-kobe,Japan
codefornamie,Japan
gsi-cyberjapan,Japan
nhohq,Japan
nims-dpfc,Japan
statesofjersey,Jersey
map-ashi,Kosovo
CSBLatvia,Latvia
AplinkosMinisterija,Lithuania
govlt,Lithuania
ivpk,Lithuania
KeliaukLietuvoje,Lithuania
Nacionaline-sporto-agentura,Lithuania
viesujupirkimutarnyba,Lithuania
vilnius,Lithuania
VMVT-DevHub,Lithuania
circl,Luxemburg
Geoportail-Luxembourg,Luxemburg
natliblux,Luxemburg
opendatalu,Luxemburg
pmo2,Malaysia
MUnosecc,Mauritius
CSB-IG,Mexico
DDT-INMEGEN,Mexico
IDEA-GTO,Mexico
inmegen,Mexico
LabLeon,Mexico
mxabierto,Mexico
PJECZ,Mexico
profeco,Mexico
redoaxacadetodos,Mexico
Amsterdam,Netherlands
dataoverheid,Netherlands
GemeenteAlmelo,Netherlands
GemeenteEde,Netherlands
Geonovum,Netherlands
Haarlem,Netherlands
IenS-Velsen,Netherlands
KBNLresearch,Netherlands
Logius-standaarden,Netherlands
MinBZK,Netherlands
MinELenI,Netherlands
minvws,Netherlands
Pleio,Netherlands
politie,Netherlands
provinciegroningen,Netherlands
provincieNH,Netherlands
StichtingHergebruikOverheid,Netherlands
TweedeKamer,Netherlands
zaanstad,Netherlands
CanterburyRegionalCouncil,New Zealand
data-govt-nz,New Zealand
DigitalNZ,New Zealand
docgovtnz,New Zealand
ElectricityAuthority,New Zealand
GOVTNZ,New Zealand
linz,New Zealand
localgovernment,New Zealand
MfE-NZ,New Zealand
nz-social-investment-agency,New Zealand
opcnz,New Zealand
te-papa,New Zealand
altinn,Norway
bergenkommune,Norway
brreg,Norway
danskernesdigitalebibliotek,Norway
difi,Norway
digibib,Norway
DirektoratetForByggkvalitet,Norway
dsb-norge,Norway
dss-web,Norway
kartverket,Norway
knreise,Norway
KRD-KOMM-VL,Norway
metno,Norway
miljodir,Norway
nasjonalmuseet,Norway
navikt,Norway
nlbdev,Norway
Nordland-fylkeskommune,Norway
politiet,Norway
Riksrevisjonen,Norway
Rogaland,Norway
rutebanken,Norway
ruterno,Norway
Skatteetaten,Norway
StatensPensjonskasse,Norway
statisticsnorway,Norway
telemark,Norway
telemark-arkiv,Norway
Tolletaten,Norway
uninett,Norway
vegvesen,Norway
IFARHU,Panama
miambiente,Panama
mecpy,Paraguay
SENATICS,Paraguay
imarpe,Peru
corcueraromblon,Philippines
govph,Philippines
igovphil,Philippines
Laoag-City,Philippines
coi-gov-pl,Poland
Ministerstwo-Cyfryzacji,Poland
nationalmuseum,Poland
amagovpt,Portugal
molit-korea,Republic of Korea
govro,Romania
MinistryOfLabor,Romania
cikrf,Russia
ghalghai,Russia
kznru,Russia
moscow-technologies,Russia
SAS-NCDC,Saudi Arabia
dsaidgovsg,Singapore
govtechsg,Singapore
moexmen,Singapore
opengovsg,Singapore
slovak-egov,Slovakia
eddZA,South Africa
AjMalgrat,Spain
AjuntamentdeBarcelona,Spain
AjuntamentdeCalafell,Spain
AjuntamentdeCastello,Spain
AjuntamentDeGava,Spain
AjuntamentDeMataro,Spain
AjuntamentdeReus,Spain
AjuntamentdeSabadell,Spain
AjuntamentdeSantCugat,Spain
AjuntamentdeTerrassa,Spain
AyuntamientoMadrid,Spain
ctt-gob-es,Spain
ErabakiPamplona,Spain
gencat,Spain
GobiernoLaRioja,Spain
HospitaletDeLlobregat,Spain
icane,Spain
lliurex,Spain
projectestac,Spain
vilanovailageltru,Spain
Alingsas-Kommun,Sweden
arbetsformedlingen,Sweden
domstol,Sweden
dotse,Sweden
elegnamnden,Sweden
Forsakringskassan,Sweden
gbif-sweden,Sweden
Helsingborg,Sweden
helsingborg-stad,Sweden
ISOF-ITD,Sweden
jobtechswe,Sweden
kungbib,Sweden
Lantmateriet,Sweden
libris,Sweden
lldd,Sweden
lshSWE,Sweden
malmostad,Sweden
mtmse,Sweden
NationalmuseumSWE,Sweden
NordicMuseum,Sweden
regionhalland,Sweden
regionostergotland,Sweden
riksantikvarieambetet,Sweden
riksarkivet,Sweden
rinfo,Sweden
sambruk,Sweden
SciLifeLab,Sweden
SICS,Sweden
skolverket,Sweden
smhi,Sweden
SodertornHB,Sweden
statens-maritima-museer,Sweden
statisticssweden,Sweden
Sundsvallskommun,Sweden
Sunet,Sweden
sverigesradio,Sweden
SVT,Sweden
SwedenConnect,Sweden
swedish-council-for-higher-education,Sweden
swedishpensionsagency,Sweden
The-Municipality-of-Staffanstorp,Sweden
umea-kommun,Sweden
Vastra-Gotalandsregionen,Sweden
vasttrafik,Sweden
admin-ch,Switzerland
alv-ch,Switzerland
BFS-SHS-MSAS,Switzerland
dsi-vd,Switzerland
FNSKtZH,Switzerland
geoadmin,Switzerland
gisktzh,Switzerland
kanton-aargau,Switzerland
kanton-bern,Switzerland
metas-ch,Switzerland
ogdch,Switzerland
ogdtg,Switzerland
opendatabs,Switzerland
opendatazurich,Switzerland
openZH,Switzerland
SFOE,Switzerland
sitn,Switzerland
statistikstadtzuerich,Switzerland
statistikZH,Switzerland
VerkehrsbetriebeZuerich,Switzerland
moda-gov-tw,Taiwan
pdis,Taiwan
taipei-doit,Taiwan
taipeicity,Taiwan
DGA-Thailand,Thailand
111online,U.K. Central
acteng,U.K. Central
alphagov,U.K. Central
BEACmodel,U.K. Central
britishlibrary,U.K. Central
cabinetoffice,U.K. Central
CDPS-Wales,U.K. Central
CJSCommonPlatform,U.K. Central
co-cddo,U.K. Central
communitiesuk,U.K. Central
companieshouse,U.K. Central
CPS-Innovation,U.K. Central
datagovuk,U.K. Central
datasciencecampus,U.K. Central
decc,U.K. Central
defra,U.K. Central
DFE-Digital,U.K. Central
dfid,U.K. Central
digital-preservation,U.K. Central
directgov-innovate,U.K. Central
dstl,U.K. Central
dvla,U.K. Central
dvsa,U.K. Central
dwp,U.K. Central
GCHQ,U.K. Central
gds-dead,U.K. Central
gds-operations,U.K. Central
govuk-one-login,U.K. Central
guidance-guarantee-programme,U.K. Central
hmcts,U.K. Central
HMPO,U.K. Central
hmrc,U.K. Central
HO-CTO,U.K. Central
houseofcommonslibrary,U.K. Central
i-dot-ai,U.K. Central
informatics-lab,U.K. Central
insolvencyservice,U.K. Central
intellectual-property-office,U.K. Central
IQuOD,U.K. Central
jncc,U.K. Central
JNCC-UK,U.K. Central
jules-lsm,U.K. Central
LandRegistry,U.K. Central
landregistry-ops,U.K. Central
lgss,U.K. Central
LocalGovDigital,U.K. Central
MarineScotlandScience,U.K. Central
MetOffice,U.K. Central
MetOfficeSpaceApps,U.K. Central
metomi,U.K. Central
MHRA,U.K. Central
ministryofjustice,U.K. Central
moj-analytical-services,U.K. Central
naouk,U.K. Central
nationalarchives,U.K. Central
NationalCrimeAgency,U.K. Central
NationalLibraryOfScotland,U.K. Central
nhsconnect,U.K. Central
nhsdigital,U.K. Central
nhsengland,U.K. Central
nhsuk,U.K. Central
NHSX,U.K. Central
nice-digital,U.K. Central
nihp-public,U.K. Central
OfqualGovUK,U.K. Central
ONSdigital,U.K. Central
openregister,U.K. Central
OrdnanceSurvey,U.K. Central
osgeouk,U.K. Central
scottishgovernment,U.K. Central
SkillsFundingAgency,U.K. Central
tanc-ahrc,U.K. Central
ukforeignoffice,U.K. Central
ukgovdatascience,U.K. Central
UKGovernmentBEIS,U.K. Central
UKHomeOffice,U.K. Central
UKHomeOfficeForms,U.K. Central
UKLocation,U.K. Central
ukncsc,U.K. Central
ukparliament,U.K. Central
uktrade,U.K. Central
ukwa,U.K. Central
BathnesDevelopment,U.K. Councils
BracknellForestCouncil,U.K. Councils
brighton-hove-gov-uk,U.K. Councils
BristolCityCouncil,U.K. Councils
CamdenCouncil,U.K. Councils
cityofyork,U.K. Councils
devoncc,U.K. Councils
DevonCountyCouncil,U.K. Councils
Dorset-Council-UK,U.K. Councils
DundeeCityCouncil,U.K. Councils
east-sussex-county-council,U.K. Councils
edinburghcouncil,U.K. Councils
essexcountycouncil,U.K. Councils
gmfrs,U.K. Councils
GuildfordBC,U.K. Councils
HfdsCouncil,U.K. Councils
kentcc,U.K. Councils
LambethCouncil,U.K. Councils
lichfield-district-council,U.K. Councils
LondonBoroughSutton,U.K. Councils
LutonCouncil,U.K. Councils
openglasgow,U.K. Councils
RoyalBoroughKingston,U.K. Councils
smbc-digital,U.K. Councils
surreydigitalservices,U.K. Councils
thehighlandcouncil,U.K. Councils
TraffordCouncil,U.K. Councils
warwickshire,U.K. Councils
wealden,U.K. Councils
west-berkshire-council,U.K. Councils
wmfs,U.K. Councils
austincodeit,U.S. City
Baltimore-City-EGIS,U.S. City
berkeleypubliclibrary,U.S. City
BostonRedevelop,U.S. City
cambridgedata,U.S. City
cambridgegis,U.S. City
chicago,U.S. City
city-of-bellingham,U.S. City
city-of-bloomington,U.S. City
cityofasheville,U.S. City
CityOfAuburnAL,U.S. City
cityofaustin,U.S. City
cityofboise,U.S. City
CityOfBoston,U.S. City
cityofboulder,U.S. City
cityofburlington,U.S. City
cityofchattanooga,U.S. City
CityOfDetroit,U.S. City
CityOfLosAngeles,U.S. City
cityofnewyork,U.S. City
CityOfPhiladelphia,U.S. City
CityofPittsburgh,U.S. City
cityofportland,U.S. City
CityofReno,U.S. City
CityofSanFrancisco,U.S. City
CityofSantaMonica,U.S. City
cityofsomerville,U.S. City
cityofvernonia,U.S. City
CityOfVirginiaBeach,U.S. City
cityofwestsacramento,U.S. City
CityofYakima,U.S. City
cno-opa,U.S. City
CORaleigh,U.S. City
CUMTD,U.S. City
DCCouncil,U.S. City
DCgov,U.S. City
DenverDev,U.S. City
digitalinclusion,U.S. City
egovpdx,U.S. City
Honolulu,U.S. City
kcmo,U.S. City
lfucg,U.S. City
longbeachinnovationteam,U.S. City
LouisvilleMetro,U.S. City
louisvillemetro-innovation,U.S. City
mnhrc,U.S. City
mnylc,U.S. City
moda-nyc,U.S. City
monum,U.S. City
NewYorkCityCouncil,U.S. City
NYCComptroller,U.S. City
nycdot,U.S. City
NYCPlanning,U.S. City
onc-healthit,U.S. City
OpenGovDC,U.S. City
p2g,U.S. City
pdxgis,U.S. City
PierceCountyWA,U.S. City
ProBonoDC,U.S. City
ridertd,U.S. City
SantaClarita,U.S. City
sfbart,U.S. City
SiloamSprings,U.S. City
southbendin,U.S. City
TownOfBrookline,U.S. City
tucsonaz,U.S. City
anoka-script-team,U.S. County
ArlingtonCounty,U.S. County
baltimorecounty,U.S. County
BayAreaMetro,U.S. County
bouldercounty,U.S. County
Canyon-County,U.S. County
CarverCounty,U.S. County
donaanacounty,U.S. County
fairfieldcountyit,U.S. County
fpdcc,U.S. County
HarrisCountyFOA,U.S. County
HennepinCountyPublicDefender,U.S. County
LACMTA,U.S. County
MCLD,U.S. County
pottcountyit,U.S. County
saccounty,U.S. County
sfcta,U.S. County
slugis,U.S. County
18f,U.S. Federal
adl-aicc,U.S. Federal
adlnet,U.S. Federal
afrl,U.S. Federal
arcticlcc,U.S. Federal
BBGInnovate,U.S. Federal
bfelob,U.S. Federal
blue-button,U.S. Federal
businessusa,U.S. Federal
CA-CST-Library,U.S. Federal
CA-CST-SII,U.S. Federal
ccmc,U.S. Federal
CDCgov,U.S. Federal
cfpb,U.S. Federal
cigiegov,U.S. Federal
cisagov,U.S. Federal
cloud-gov,U.S. Federal
cmsgov,U.S. Federal
Code-dot-mil,U.S. Federal
commercedataservice,U.S. Federal
commercegov,U.S. Federal
demand-driven-open-data,U.S. Federal
department-of-veterans-affairs,U.S. Federal
dhs-gov,U.S. Federal
didsr,U.S. Federal
digital-analytics-program,U.S. Federal
dodcio,U.S. Federal
doecode,U.S. Federal
doi-open-data,U.S. Federal
EEOC,U.S. Federal
energyapps,U.S. Federal
erdc,U.S. Federal
eregs,U.S. Federal
FAA-Aviation-Data-Portal,U.S. Federal
fcc,U.S. Federal
fda,U.S. Federal
fecgov,U.S. Federal
Federal-Aviation-Administration,U.S. Federal
federal-courts-software-factory,U.S. Federal
federaltradecommission,U.S. Federal
fedramp,U.S. Federal
fedspendingtransparency,U.S. Federal
fema,U.S. Federal
firelab,U.S. Federal
globegit,U.S. Federal
gopleader,U.S. Federal
government-services,U.S. Federal
GrainGenes,U.S. Federal
gsa,U.S. Federal
gsa-oes,U.S. Federal
gsa-tts,U.S. Federal
hhs,U.S. Federal
HHS-AHRQ,U.S. Federal
HHSDigitalMediaAPIPlatform,U.S. Federal
HHSIDEAlab,U.S. Federal
historyatstate,U.S. Federal
IIP-Design,U.S. Federal
IMDProjects,U.S. Federal
imls,U.S. Federal
informaticslab,U.S. Federal
Innovation-Toolkit,U.S. Federal
internationaltradeadministration,U.S. Federal
ioos,U.S. Federal
IRSgov,U.S. Federal
keplergo,U.S. Federal
libraryofcongress,U.S. Federal
M-O-S-E-S,U.S. Federal
mcc-gov,U.S. Federal
missioncommand,U.S. Federal
nasa,U.S. Federal
nasa-develop,U.S. Federal
nasa-gibs,U.S. Federal
NASA-rdt,U.S. Federal
nasa-tournament-lab,U.S. Federal
nasaworldwind,U.S. Federal
NationalGuard,U.S. Federal
nationalparkservice,U.S. Federal
navadmc,U.S. Federal
NCI-Agency,U.S. Federal
NCRN,U.S. Federal
NeoGeographyToolkit,U.S. Federal
nesii,U.S. Federal
ngds,U.S. Federal
nhanes,U.S. Federal
nidcd,U.S. Federal
NIEM,U.S. Federal
NMB-Dev,U.S. Federal
NMML,U.S. Federal
NOAA-EPIC,U.S. Federal
noaa-gfdl,U.S. Federal
NOAA-ORR-ERD,U.S. Federal
noaa-pmel,U.S. Federal
ntia,U.S. Federal
NUWCDIVNPT,U.S. Federal
ombegov,U.S. Federal
Open-Sat,U.S. Federal
opengovplatform,U.S. Federal
ozoneplatform,U.S. Federal
peacecorps,U.S. Federal
petsc,U.S. Federal
presidential-innovation-fellows,U.S. Federal
project-open-data,U.S. Federal
radiofreeasia,U.S. Federal
redhawksdr,U.S. Federal
regulationsgov,U.S. Federal
sbstusa,U.S. Federal
SelectUSA,U.S. Federal
SERVIR,U.S. Federal
SSAgov,U.S. Federal
state-hiu,U.S. Federal
sunpy,U.S. Federal
us-bea,U.S. Federal
US-CBP,U.S. Federal
US-Department-of-the-Treasury,U.S. Federal
usagov,U.S. Federal
usaid,U.S. Federal
usasearch,U.S. Federal
usbr,U.S. Federal
uscensusbureau,U.S. Federal
uscis,U.S. Federal
usda,U.S. Federal
usda-ars-agil,U.S. Federal
usda-ars-gbru,U.S. Federal
usda-ars-ltar,U.S. Federal
usda-ars-nwrc,U.S. Federal
usda-ars-wmsru,U.S. Federal
USDA-ERS,U.S. Federal
USDA-FSA,U.S. Federal
usda-nifa-b-team,U.S. Federal
usda-vs,U.S. Federal
usdaForestService,U.S. Federal
usdepartmentoflabor,U.S. Federal
usdoj,U.S. Federal
usdot-fhwa-stol,U.S. Federal
usdot-jpo-ode,U.S. Federal
usds,U.S. Federal
useda,U.S. Federal
usepa,U.S. Federal
USFWS,U.S. Federal
usg-scope,U.S. Federal
USGCRP,U.S. Federal
usgpo,U.S. Federal
usgs,U.S. Federal
USGS-Astrogeology,U.S. Federal
usgs-cmg,U.S. Federal
usgs-eros,U.S. Federal
USGS-OWI,U.S. Federal
USGS-R,U.S. Federal
USGS-WiM,U.S. Federal
usnationalarchives,U.S. Federal
usopm,U.S. Federal
USPS,U.S. Federal
USPTO,U.S. Federal
USSBA,U.S. Federal
usstatedept,U.S. Federal
ustaxcourt,U.S. Federal
uswds,U.S. Federal
VHAINNOVATIONS,U.S. Federal
virtual-world-framework,U.S. Federal
visionworkbench,U.S. Federal
weather-gov,U.S. Federal
WFMRDA,U.S. Federal
whitehouse,U.S. Federal
XDgov,U.S. Federal
SanDiegoCountySheriff,U.S. Local Law Enforcement
afseo,U.S. Military and Intelligence
CRREL,U.S. Military and Intelligence
deptofdefense,U.S. Military and Intelligence
dod-cyber-crime-center,U.S. Military and Intelligence
erdc-itl,U.S. Military and Intelligence
iadgov,U.S. Military and Intelligence
info-sharing-environment,U.S. Military and Intelligence
NationalSecurityAgency,U.S. Military and Intelligence
ngageoint,U.S. Military and Intelligence
nsacyber,U.S. Military and Intelligence
project-interoperability,U.S. Military and Intelligence
psns-imf,U.S. Military and Intelligence
shareandprotect,U.S. Military and Intelligence
SIMP,U.S. Military and Intelligence
transcom,U.S. Military and Intelligence
usarmyresearchlab,U.S. Military and Intelligence
USNavalResearchLaboratory,U.S. Military and Intelligence
atlregional,U.S. Special District
AZMAG,U.S. Special District
baaqmd,U.S. Special District
cleveland-metroparks,U.S. Special District
CMAP-REPOS,U.S. Special District
commonwealth-of-puerto-rico,U.S. Special District
MAPC,U.S. Special District
Metropolitan-Council,U.S. Special District
portofsandiego,U.S. Special District
psrc,U.S. Special District
agrc,U.S. States
akhealth,U.S. States
azgs,U.S. States
cagov,U.S. States
CAWaterBoardDataCenter,U.S. States
ccap,U.S. States
CentralValleyModeling,U.S. States
coloradodemography,U.S. States
CTOpenData,U.S. States
DCGovWeb,U.S. States
eHawaii,U.S. States
FGS-FloridaGeologicalSurvey,U.S. States
gaepdit,U.S. States
gocodecolorado,U.S. States
IDAHO-DOC-NCOMS,U.S. States
idahofishgame,U.S. States
judicialcouncilcalifornia,U.S. States
la-ots,U.S. States
LADCO,U.S. States
LibraryofVA,U.S. States
massgov,U.S. States
MESMD,U.S. States
MFWP-GIS,U.S. States
nebraskamap,U.S. States
nelegislature,U.S. States
NJOGIS,U.S. States
njstatelibrary,U.S. States
ny,U.S. States
nys-its,U.S. States
nysenate,U.S. States
oimt,U.S. States
okcareertech,U.S. States
oregonopendata,U.S. States
ORMetro,U.S. States
scgeology,U.S. States
SLNC-DIMP,U.S. States
State-of-Arizona,U.S. States
StateOfCalifornia,U.S. States
swibwi,U.S. States
tndidd,U.S. States
TNRIS,U.S. States
twdb,U.S. States
TxDOT,U.S. States
UtahForestryFireStateLands,U.S. States
VDGIF,U.S. States
Virginia-Department-of-Health,U.S. States
Virginia-House-of-Delegates,U.S. States
vtrans,U.S. States
vtrans-rail,U.S. States
WA-Department-of-Agriculture,U.S. States
wsdot,U.S. States
WSDOT-GIS,U.S. States
coquille-indian-tribe,U.S. Tribal Nations
MSBandofChoctawIndians,U.S. Tribal Nations
osage-nation,U.S. Tribal Nations
openprocurement,Ukraine
GFDRR,United Nations
OCHA-DAP,United Nations
UN-ICC,United Nations
UN-OCHA,United Nations
uncefact,United Nations
undp,United Nations
unesco,United Nations
UNGlobalPlatform,United Nations
unicef,United Nations
unido,United Nations
UNStats,United Nations
worldbank,United Nations
WorldBank-Transport,United Nations
WorldHealthOrganization,United Nations
CanaimaGNULinux,Venezuela
suscerte,Venezuela
