org,group
argob,Argentina
cifasis,Argentina
gcba,Argentina
inti-cmnb,Argentina
municipalidad-de-vicente-lopez,Argentina
municipioriogrande,Argentina
actesa,Australia
actgov,Australia
agnsw,Australia
AtlasOfLivingAustralia,Australia
ausdto,Australia
australianantarcticdatacentre,Australia
AustralianAntarcticDivision,Australia
berowrarfb,Australia
bom-radar,Australia
city-of-melbourne,Australia
commerce-wa-ols,Australia
consumerdataright,Australia
data61,Australia
datagovau,Australia
dbca-wa,Australia
dpc-sdp,Australia
dpipwe,Australia
dssgovaus,Australia
envris,Australia
Fire-and-Rescue-NSW,Australia
gccgisteam,Australia
GeoscienceAustralia,Australia
govau,Australia
govcms,Australia
gs-dawr,Australia
healthgovau,Australia
Healthway,Australia
hiscom,Australia
innovationgovau,Australia
IPAustralia,Australia
Landgate,Australia
nla,Australia
NSW-eTendering,Australia
NSWPlanning,Australia
pmcau,Australia
PublicRecordOfficeVictoria,Australia
qld-gov-au,Australia
srnsw,Australia
SunshineCoastCouncil,Australia
treasury-aus,Australia
victoriangovernment,Australia
wagov,Australia
wamuseum,Australia
datagvat,Austria
belgianpolice,Belgium
CIRB,Belgium
Fedict,Belgium
inbo,Belgium
NationalBankBelgium,Belgium
onroerenderfgoed,Belgium
StadGent,Belgium
adsib,Bolivia
geobolivia,Bolivia
bacendeinf,Brazil
camaradosdeputadosoficial,Brazil
cenima-ibama,Brazil
cislgov,Brazil
culturagovbr,Brazil
dadosgovbr,Brazil
dataprev,Brazil
EscolaDeSaudePublica,Brazil
fablablivresp,Brazil
fateczonaleste,Brazil
gabinetedigital,Brazil
govbr,Brazil
GovBrasil,Brazil
imagov,Brazil
InstitutoBenjaminConstant,Brazil
interlegis,Brazil
justicagovbr,Brazil
labhackercd,Brazil
lexml,Brazil
MP-ES,Brazil
MP-RJ,Brazil
pensandoodireito,Brazil
plonegovbr,Brazil
pr-snas,Brazil
prefeitura-rio,Brazil
prefeiturasp,Brazil
PROCERGS,Brazil
prodest,Brazil
secom-tocantins,Brazil
secultce,Brazil
sepinf-inc,Brazil
servicosgovbr,Brazil
smcti,Brazil
tcers,Brazil
tisorocaba,Brazil
tre-pa,Brazil
wpgovbr,Brazil
govbg,Bulgaria
governmentbg,Bulgaria
e-Government-Cambodia,Cambodia
AAFC-BICoE,Canada
abgov,Canada
asc-csa,Canada
bac-lac,Canada
BCGov,Canada
canada-ca,Canada
cds-snc,Canada
CityofEdmonton,Canada
cityofgreatersudbury,Canada
cityofottawa,Canada
CityOfSarnia,Canada
cityofsurrey,Canada
CityofToronto,Canada
cityssm,Canada
cngo,Canada
csbp-cpse,Canada
cse-cst,Canada
CSPS-EFPC-DAAN,Canada
CybercentreCanada,Canada
DTS-STN,Canada
ECCC-MSC,Canada
eodms-sgdot,Canada
esdc-devx,Canada
esdc-edsc,Canada
ExchangeBC,Canada
fgpv-vpgf,Canada
gc-proto,Canada
gcperformance,Canada
GCTC-NTGC,Canada
gctools-outilsgc,Canada
GeoCanViz,Canada
GNWT,Canada
GovAlta,Canada
infra-geo-ouverte,Canada
justicecanada,Canada
LMID-DIMT,Canada
MC-MBO-WebPublishingTeam,Canada
MetPX,Canada
nrc-cnrc,Canada
NRCan,Canada
nsgov,Canada
ongov,Canada
open-data,Canada
phac-aspc,Canada
phac-nml,Canada
PHACDataHub,Canada
pspc-spac,Canada
PSPC-SPAC-buyandsell,Canada
RAMP-PCAR,Canada
RDOQ,Canada
ServiceCanada,Canada
StatCan,Canada
TBS-EACPD,Canada
tc-ca,Canada
veteransaffairscanada,Canada
VilledeMontreal,Canada
wet-boew,Canada
ytgov,Canada
e-gob,Chile
CPPUer,China
PPSUCers,China
AltaConsejeriaTIC,Colombia
evaluon,Colombia
idu-bogota,Colombia
MinistryOfJusticeCZ,Czech Republic
NLCR,Czech Republic
opendata-mvcr,Czech Republic
kb-dk,Denmark
Kortforsyningen,Denmark
NationalMuseumofDenmark,Denmark
Notalib,Denmark
skat,Denmark
ssi-dk,Denmark
StatensMuseumforKunst,Denmark
inamhi,Ecuador
innovacionsnap,Ecuador
senescyt,Ecuador
informationtechnologyinstitute,Egypt
e-gov,Estonia
kinnisvara,Estonia
MKM-ITAO,Estonia
open-eid,Estonia
opendata-ee,Estonia
ethiopian,Ethiopia
digital-services-act,European Union
ec-europa,European Union
eea,European Union
eu-digital-green-certificates,European Union
eu-digital-identity-wallet,European Union
europarl,European Union
european-central-bank,European Union
europeana,European Union
openeuropa,European Union
6Aika,Finland
City-of-Helsinki,Finland
City-of-Turku,Finland
CSC-IT-Center-for-Science,Finland
espoon-voltti,Finland
finnishtransportagency,Finland
Helsingin-kaupungin-tietokeskus,Finland
helsinki-city-library,Finland
HSLdevcom,Finland
Lounaispaikka,Finland
lukefi,Finland
NatLibFi,Finland
nlsfi,Finland
opetushallitus,Finland
sykefi,Finland
vrk-kpa,Finland
afimb,France
AlsaceDigitale,France
AmbaNum,France
ansforge,France
ANSSI-FR,France
ApieFrance,France
atih,France
betagouv,France
BRGM,France
cea-hpc,France
cea-leti,France
cea-list,France
cea-sec,France
clipos,France
clipos-archive,France
communaute-cimi,France
culturecommunication,France
cw-leia,France
DGFiP,France
diplomatiegouvfr,France
disic,France
DREAL-NA,France
entrepreneur-interet-general,France
erasme,France
etalab,France
Inist-CNRS,France
InseeFr,France
lutece-secteur-public,France
MINAGRI-INITIAL,France
MinistereSupRecherche,France
MTES-MCT,France
nanterre,France
nantesmetropole,France
opencti-platform,France
PnCevennes,France
PnEcrins,France
PnX-SI,France
polewebmaedi,France
ProgrammeVitam,France
region-bretagne,France
sgmap-agd,France
SocialGouv,France
SocieteNumerique,France
strasbourg,France
wookey-project,France
sipf,French Polynesia
Basisvisualisierung,Germany
BSI-Bund,Germany
buehl,Germany
CERT-Bund,Germany
corona-warn-app,Germany
dbmdz,Germany
Digitaler-Impfnachweis,Germany
digitalservicebund,Germany
gbv,Germany
GovDataOfficial,Germany
hbz,Germany
isyfact,Germany
it-at-m,Germany
kdn-nrw,Germany
kreis-viersen,Germany
lobid,Germany
Oberverwaltungsgericht-Rheinland-Pfalz,Germany
OpenBfS,Germany
OpenNRW,Germany
regional-digital,Germany
robert-koch-institut,Germany
rostock,Germany
stadt-bielefeld,Germany
stadt-karlsruhe,Germany
StadtBruchsal,Germany
stadtulm,Germany
minfingt,Guatemala
datagovhk,Hong Kong
fphgov,Hungary
DataPortalIndia,India
ISRO,India
itschool,India
npci,India
bolsel,Indonesia
jabardigitalservice,Indonesia
pemkab-rembang,Indonesia
EL-BID,International
IATI,International
ogpl,International
HSEIreland,Ireland
ogcio,Ireland
Isle-Of-Man-Government,Isle of Man
CIOIL,Israel
