country_dir,un_id,un_name
AFG_afghanistan,1,Afghanistan
AUT_austria,10,Austria
LUX_luxembourg,100,Luxembourg
MDG_madagascar,101,Madagascar
MWI_malawi,102,Malawi
MYS_malaysia,103,Malaysia
MDV_maldives,104,Maldives
MLI_mali,105,Mali
MLT_malta,106,Malta
MHL_marshall_islands,107,Marshall-Islands
MRT_mauritania,108,Mauritania
MUS_mauritius,109,Mauritius
AZE_azerbaijan,11,Azerbaijan
MEX_mexico,110,Mexico
MCO_monaco,112,Monaco
MNG_mongolia,113,Mongolia
MNE_montenegro,114,Montenegro
MAR_morocco,115,Morocco
MOZ_mozambique,116,Mozambique
MMR_myanmar,117,Myanmar
NAM_namibia,118,Namibia
NRU_nauru,119,Nauru
BHS_bahamas,12,Bahamas
NPL_nepal,120,Nepal
NLD_netherlands,121,Netherlands
NZL_new_zealand,122,New-Zealand
NIC_nicaragua,123,Nicaragua
NER_niger,124,Niger
NGA_nigeria,125,Nigeria
NOR_norway,126,Norway
OMN_oman,127,Oman
PAK_pakistan,128,Pakistan
PLW_palau,129,Palau
BHR_bahrain,13,Bahrain
PAN_panama,130,Panama
PNG_papua_new_guinea,131,Papua-New-Guinea
PRY_paraguay,132,Paraguay
PER_peru,133,Peru
PHL_philippines,134,Philippines
POL_poland,135,Poland
PRT_portugal,136,Portugal
QAT_qatar,137,Qatar
BGD_bangladesh,14,Bangladesh
ROU_romania,140,Romania
RWA_rwanda,142,Rwanda
KNA_saint_kitts_and_nevis,143,Saint-Kitts-and-Nevis
LCA_saint_lucia,144,Saint-Lucia
VCT_saint_vincent_and_the_grenadines,145,Saint-Vincent-and-the-Grenadines
WSM_samoa,146,Samoa
SMR_san_marino,147,San-Marino
STP_sao_tome_and_principe,148,Sao-Tome-and-Principe
SAU_saudi_arabia,149,Saudi-Arabia
BRB_barbados,15,Barbados
SEN_senegal,150,Senegal
SRB_serbia,151,Serbia
SYC_seychelles,152,Seychelles
SLE_sierra_leone,153,Sierra-Leone
SGP_singapore,154,Singapore
SVK_slovakia,155,Slovakia
SVN_slovenia,156,Slovenia
SLB_solomon_islands,157,Solomon-Islands
SOM_somalia,158,Somalia
ZAF_south_africa,159,South-Africa
BLR_belarus,16,Belarus
ESP_spain,160,Spain
LKA_sri_lanka,161,Sri-Lanka
SDN_sudan,162,Sudan
SUR_suriname,163,Suriname
SWZ_eswatini,164,Eswatini
SWE_sweden,165,Sweden
CHE_switzerland,166,Switzerland
TJK_tajikistan,168,Tajikistan
THA_thailand,169,Thailand
BEL_belgium,17,Belgium
MKD_north_macedonia,170,North-Macedonia
TLS_timor_leste,171,Timor-Leste
TGO_togo,172,Togo
TON_tonga,173,Tonga
TTO_trinidad_and_tobago,174,Trinidad-and-Tobago
TUN_tunisia,175,Tunisia
TKM_turkmenistan,177,Turkmenistan
TUV_tuvalu,178,Tuvalu
UGA_uganda,179,Uganda
BLZ_belize,18,Belize
UKR_ukraine,180,Ukraine
ARE_united_arab_emirates,181,United-Arab-Emirates
URY_uruguay,185,Uruguay
UZB_uzbekistan,186,Uzbekistan
VUT_vanuatu,187,Vanuatu
VEN_venezuela,188,Venezuela
VNM_vietnam,189,Viet-Nam
