country_dir,gec,region
BHS_bahamas,bf,central-america-n-caribbean
COD_democratic_republic_of_the_congo,cg,africa
COG_republic_of_the_congo,cf,africa
CZE_czechia,ez,europe
GMB_gambia,ga,africa
MKD_north_macedonia,mk,europe
MMR_myanmar,bm,east-n-southeast-asia
PSE_palestine,we,middle-east
SWZ_eswatini,wz,africa
VAT_holy_see,vt,europe
