hostname,country,http_status
gitlab.cetechihuahua.gob.mx,MEX_mexico,Failed to connect to gitlab.cetechihuahua.gob.mx port 443 after 20 ms: Could not connect to server
git.itc.gov.mn,MNG_mongolia,SSL: no alternative certificate subject name matches target hostname 'git.itc.gov.mn'
gitlab.khidmaty.gov.mr,MRT_mauritania,Connection timed out after 3001 milliseconds
git.digital.gov.my,MYS_malaysia,Could not resolve host: git.digital.gov.my
git.i.gov.ph,PHL_philippines,Connection timed out after 3001 milliseconds
code.ach.gov.ru,RUS_russia,302
gitlab.rpn.gov.ru,RUS_russia,403
oss.economy.gov.ru,RUS_russia,Could not resolve host: oss.economy.gov.ru
oss.ema.gov.sg,SGP_singapore,200
gitlab.dsti.gov.sl,SLE_sierra_leone,Connection timed out after 3002 milliseconds
git.pm.gov.sy,SYR_syria,curl: (35) TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name
gitlab.casi.gov.sy,SYR_syria,Could not resolve host: gitlab.casi.gov.sy
codes.trl.gov.tm,TKM_turkmenistan,200
gitlab.tic.gov.tl,TLS_timor_leste,302
git.audit.gov.to,TON_tonga,SSL: no alternative certificate subject name matches target hostname 'git.audit.gov.to'
git.eba.gov.tr,TUR_turkey,Could not resolve host: git.eba.gov.tr
gitlab.dergipark.gov.tr,TUR_turkey,SSL: no alternative certificate subject name matches target hostname 'gitlab.dergipark.gov.tr'
gitlab.rpb.gov.tw,TWN_taiwan,Resolving timed out after 3000 milliseconds
gitlab.mk.gov.ua,UKR_ukraine,200
git.snia.gub.uy,URY_uruguay,Could not resolve host: git.snia.gub.uy
gitlab.hisobot.gov.uz,UZB_uzbekistan,302
gitlab.mppp.gob.ve,VEN_venezuela,Connection timed out after 3002 milliseconds
