domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
bidenlibrary.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bidenwhitehouse.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bihar.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Bihar,,registry,
biharcommercialtax.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Commercial Taxes Department (Bihar),,registry,
biharpolice.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Bihar Police,,registry,
biharregd.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Registration Department (Bihar),,registry,
billetes.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bioethics.gov,USA_united_states,central,member,Americas,English,84534,,,,40 alt3.us.etp.fireeyegov.com.; 20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.
biomassboard.gov,USA_united_states,central,member,Americas,English,84534,,,,none
biometriccoe.gov,USA_united_states,central,member,Americas,English,84534,,,,none
biometrics.gov,USA_united_states,central,member,Americas,English,84534,,,,none
biopreferred.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bioteknologiradet.no,NOR_norway,central,member,Europe,Norwegian Nynorsk; Norwegian Bokmål; Sami,94594,,,,
birthcontrol.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bis.gov,USA_united_states,central,member,Americas,English,84534,,,,0 bis-gov.mail.protection.office365.us.
bjcg.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Urban Management Law Enforcement Bureau,,registry,
bjchfp.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Health and Family Planning Commission,,registry,
bjcourt.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Courts,,registry,
bjdfz.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Local Chronicles Office,,registry,
bjedu.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Education Commission,,registry,
bjeit.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Economy and Information Technology Commission,,registry,
bjfao.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Foreign Affairs Office,,registry,
bjggzyfw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Public Resources Trading Service,,registry,
bjgjj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Housing Provident Fund,,registry,
bjgzw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing SASAC,,registry,
bjipo.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Intellectual Property Office,,registry,
bjjtgl.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Traffic Management Bureau,,registry,
bjjtw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Commission of Transport,,registry,
bjkw.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Science and Technology Commission,,registry,
bjld.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Labor and Social Security Bureau,,registry,
bjlsj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Grain Bureau,,registry,
bjmzj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Civil Affairs Bureau,,registry,
bjpta.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Personnel Testing Authority,,registry,
bjrbj.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Human Resources and Social Security Bureau,,registry,
bjrd.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Municipal People's Congress,,registry,
bjrs.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Personnel Bureau,,registry,
bjs.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bjsports.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Sports Bureau,,registry,
bjwh.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Beijing Culture Bureau,,registry,
bjwmb.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Capital Civilization Office (Beijing),,registry,
blackhistorymonth.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bldrdoc.gov,USA_united_states,central,member,Americas,English,84534,,,,none
blm.gov,USA_united_states,central,member,Americas,English,84534,,,,0 blm-gov.mail.protection.outlook.com.
bls.gov,USA_united_states,central,member,Americas,English,84534,,,,10 bls-gov.mail.protection.outlook.com.
bluecampaign.gov,USA_united_states,central,member,Americas,English,84534,,,,none
blueroof.gov,USA_united_states,central,member,Americas,English,84534,,,,none
bm.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.
bmas.de,DEU_germany,central,member,Europe,German,60496,,,,none
bmbf.de,DEU_germany,central,member,Europe,German,60496,,,,10 mx2.bund.de.; 10 mx1.bund.de.
