domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
cncs.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cncs-gov.mail.protection.outlook.com.
cned.fr,FRA_france,central,member,Europe,French,48986,,,,10 smtp.cned.fr.
cnes.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx10.cnes.fr.; 10 mx20.cnes.fr.
cnmss.fr,FRA_france,central,member,Europe,French,48986,,,,10 prolix.cnmss.fr.; 20 prolix-2.cnmss.fr.
cns.gov,USA_united_states,central,member,Americas,English,84534,,,,10 cns-gov.mail.protection.outlook.com.
cnss.gov,USA_united_states,central,member,Americas,English,84534,,,,none
coahuila.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Coahuila de Zaragoza (estado),,registry,
code.gov,USA_united_states,central,member,Americas,English,84534,,,,none
coesvidgo.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comisión Estatal de Vivienda de Durango,,registry,
coffa.gov,USA_united_states,central,member,Americas,English,84534,,,,none
coflein.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Coflein (RCAHMW database),,registry,
coil.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-00026101.gslb.gpphosted.com.; 10 mxa-00026101.gslb.gpphosted.com.
