domain,kind,country,level
12333sh.gov.cn,exact,CHN_china,central-1
12333zjg.gov.cn,exclude,CHN_china,local
147pilar.gob.ar,exclude,ARG_argentina,local
18f.gov,subtree,USA_united_states,central
250.gov,subtree,USA_united_states,central
400yaahc.gov,subtree,USA_united_states,central
9-11commission.gov,subtree,USA_united_states,central
911.gov,subtree,USA_united_states,central
911commission.gov,subtree,USA_united_states,central
988.gov,subtree,USA_united_states,central
aanhpiheritage.gov,subtree,USA_united_states,central
aarogyasri.gov.in,exact,IND_india,central-1
abana-bld.gov.tr,exclude,TUR_turkey,local
abbasandtemplecombe-pc.gov.uk,exclude,GBR_united_kingdom,local
abbertonandlangenhoeparish.gov.uk,exclude,GBR_united_kingdom,local
abbeydoreandbactongroup-pc.gov.uk,exclude,GBR_united_kingdom,local
abbeyhillparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
abbotskerswell-pc.gov.uk,exclude,GBR_united_kingdom,local
abbotslangley-pc.gov.uk,exclude,GBR_united_kingdom,local
abbotsleighparish.gov.uk,exclude,GBR_united_kingdom,local
abbotsleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
abbotsmorton-pc.gov.uk,exclude,GBR_united_kingdom,local
abbotsripton-pc.gov.uk,exclude,GBR_united_kingdom,local
abbottsann-pc.gov.uk,exclude,GBR_united_kingdom,local
abbr-pc.gov.uk,exclude,GBR_united_kingdom,local
abc.gob.ar,exact,ARG_argentina,central-1
abd.gov,subtree,USA_united_states,central
abdonandheathparish.gov.uk,exclude,GBR_united_kingdom,local
abenburycommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
aberdeencity.gov.uk,exclude,GBR_united_kingdom,local
aberdeenshire.gov.uk,exclude,GBR_united_kingdom,local
aberford-pc.gov.uk,exclude,GBR_united_kingdom,local
abergavennytowncouncil.gov.uk,exclude,GBR_united_kingdom,local
abermulellandyssil-cc.gov.uk,exclude,GBR_united_kingdom,local
aberporthcommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
abertawe.gov.uk,exclude,GBR_united_kingdom,local
abertilleryandllanhilleth-wcc.gov.uk,exclude,GBR_united_kingdom,local
aberystwyth.gov.uk,exclude,GBR_united_kingdom,local
abiastate.gov.ng,exact,NGA_nigeria,central-1
abilityone.gov,subtree,USA_united_states,central
abingdon.gov.uk,exclude,GBR_united_kingdom,local
abinger-pc.gov.uk,exclude,GBR_united_kingdom,local
abington-pc.gov.uk,exclude,GBR_united_kingdom,local
abmc.gov,subtree,USA_united_states,central
abthorpeparish.gov.uk,exclude,GBR_united_kingdom,local
ac.gov.br,exact,BRA_brazil,central-1
acambaro.gob.mx,exclude,MEX_mexico,local
acapulco.gob.mx,exclude,MEX_mexico,local
acastermalbis-pc.gov.uk,exclude,GBR_united_kingdom,local
accedeainternet.gov,subtree,USA_united_states,central
access-board.gov,subtree,USA_united_states,central
accessni.gov.uk,exact,GBR_united_kingdom,central-1
accountni.gov.uk,exact,GBR_united_kingdom,central-1
accounts-commission.gov.uk,exact,GBR_united_kingdom,central-1
accountsgoa.gov.in,exact,IND_india,central-1
acf.gov,subtree,USA_united_states,central
achp.gov,subtree,USA_united_states,central
acklington-pc.gov.uk,exclude,GBR_united_kingdom,local
ackworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
acl.gov,subtree,USA_united_states,central
acleparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
acol-pc.gov.uk,exclude,GBR_united_kingdom,local
acombparish.gov.uk,exclude,GBR_united_kingdom,local
acquisition.gov,subtree,USA_united_states,central
acquisitiongateway.gov,subtree,USA_united_states,central
act.gov.au,exact,AUS_australia,central-1
actonbridge-pc.gov.uk,exclude,GBR_united_kingdom,local
actonburnell-pc.gov.uk,exclude,GBR_united_kingdom,local
