domain,kind,country,level
actoncommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
actonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
actontrussellbednall-pc.gov.uk,exclude,GBR_united_kingdom,local
actonturville-pc.gov.uk,exclude,GBR_united_kingdom,local
acus.gov,subtree,USA_united_states,central
acwi.gov,subtree,USA_united_states,central
ada.gov,subtree,USA_united_states,central
adamawastate.gov.ng,exact,NGA_nigeria,central-1
adams.gov,subtree,USA_united_states,central
adderburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
adderstonewithluckerparish.gov.uk,exclude,GBR_united_kingdom,local
addingham-pc.gov.uk,exclude,GBR_united_kingdom,local
addington-pc.gov.uk,exclude,GBR_united_kingdom,local
addlethorpeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
adf.gov,subtree,USA_united_states,central
adibasikalyan.gov.in,exact,IND_india,central-1
adisham-pc.gov.uk,exclude,GBR_united_kingdom,local
adlington-pc.gov.uk,exclude,GBR_united_kingdom,local
adlingtontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
adlnet.gov,subtree,USA_united_states,central
admin.ch,subtree,CHE_switzerland,central
admingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
adr.gov,subtree,USA_united_states,central
adstockparish.gov.uk,exclude,GBR_united_kingdom,local
adur-worthing.gov.uk,exclude,GBR_united_kingdom,local
adur.gov.uk,exclude,GBR_united_kingdom,local
adurdc.gov.uk,exclude,GBR_united_kingdom,local
aeldremin.dk,subtree,DNK_denmark,central
afadvantage.gov,subtree,USA_united_states,central
afbini.gov.uk,exact,GBR_united_kingdom,central-1
aff.gov,subtree,USA_united_states,central
afrh.gov,subtree,USA_united_states,central
africanamericanhistorymonth.gov,subtree,USA_united_states,central
aftac.gov,subtree,USA_united_states,central
ag.gov,subtree,USA_united_states,central
agcba.gob.ar,exact,ARG_argentina,central-1
agence-adoption.fr,subtree,FRA_france,central
agence-biomedecine.fr,subtree,FRA_france,central
aging.gov,subtree,USA_united_states,central
agingstats.gov,subtree,USA_united_states,central
agip.gob.ar,exact,ARG_argentina,central-1
agma.gov.uk,exclude,GBR_united_kingdom,local
agri.ee,subtree,EST_estonia,central
aguadehermosillo.gob.mx,exclude,MEX_mexico,local
aguascalientes.gob.mx,exact,MEX_mexico,central-1
aguaxalapa.gob.mx,exclude,MEX_mexico,local
ah.gov.cn,exact,CHN_china,central-1
aha.gov,subtree,USA_united_states,central
ahcpr.gov,subtree,USA_united_states,central
ahga.gov.cn,exact,CHN_china,central-1
ahjinzhai.gov.cn,exclude,CHN_china,local
ahnw.gov.cn,exact,CHN_china,central-1
ahrq.gov,subtree,USA_united_states,central
ahsz.gov.cn,exclude,CHN_china,local
ahus.no,subtree,NOR_norway,central
ahwjw.gov.cn,exact,CHN_china,central-1
ahzwfw.gov.cn,exact,CHN_china,central-1
ai.gov,subtree,USA_united_states,central
aicenter.gov,subtree,USA_united_states,central
aids.gov,subtree,USA_united_states,central
aiexports.gov,subtree,USA_united_states,central
aightonbaileyandchaigley-pc.gov.uk,exclude,GBR_united_kingdom,local
aihami.gov.cn,exclude,CHN_china,local
ailsworth-pc.gov.uk,exclude,GBR_united_kingdom,local
ainstable-pc.gov.uk,exclude,GBR_united_kingdom,local
aintreevillageparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
airknowledge.gov,subtree,USA_united_states,central
airnow.gov,subtree,USA_united_states,central
aiskewleemingbar-pc.gov.uk,exclude,GBR_united_kingdom,local
aislabyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aiworkforcehub.gov,subtree,USA_united_states,central
akeleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
akkreditert.no,subtree,NOR_norway,central
akwaibomstate.gov.ng,exact,NGA_nigeria,central-1
al.gov.br,exact,BRA_brazil,central-1
alamotemapache.gob.mx,exclude,MEX_mexico,local
alberburywithcardestonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
albourne-pc.gov.uk,exclude,GBR_united_kingdom,local
albrightondonington-pc.gov.uk,exclude,GBR_united_kingdom,local
albrightonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alburgh-pc.gov.uk,exclude,GBR_united_kingdom,local
alburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alcester-tc.gov.uk,exclude,GBR_united_kingdom,local
alconburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alconburyweston-pc.gov.uk,exclude,GBR_united_kingdom,local
alcshropshire.gov.uk,exclude,GBR_united_kingdom,local
aldboroughandthurgarton-pc.gov.uk,exclude,GBR_united_kingdom,local
aldbourne-pc.gov.uk,exclude,GBR_united_kingdom,local
aldbroughstjohnparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldeburghtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
aldebyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldenham-pc.gov.uk,exclude,GBR_united_kingdom,local
alderburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alderholtparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alderleyedge-pc.gov.uk,exclude,GBR_united_kingdom,local
aldermaston-pc.gov.uk,exclude,GBR_united_kingdom,local
alderminster-pc.gov.uk,exclude,GBR_united_kingdom,local
aldertonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldertonsuffolk-pc.gov.uk,exclude,GBR_united_kingdom,local
alderwasleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldfordandsaighton-pc.gov.uk,exclude,GBR_united_kingdom,local
aldhamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldhamsuffolk-pc.gov.uk,exclude,GBR_united_kingdom,local
aldingbourne-pc.gov.uk,exclude,GBR_united_kingdom,local
aldinghamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldingtonandbonnington-pc.gov.uk,exclude,GBR_united_kingdom,local
aldsworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldwickparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldwincleparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aldworth-pc.gov.uk,exclude,GBR_united_kingdom,local
alertaenlinea.gov,subtree,USA_united_states,central
alfoldparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alfordtowncouncil.gov.uk,exclude,GBR_united_kingdom,local
alfretontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
alg.gov.uk,exclude,GBR_united_kingdom,local
algarkirkparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alien.gov,subtree,USA_united_states,central
aliens.gov,subtree,USA_united_states,central
alkboroughwalcotparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alkingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allbrook-pc.gov.uk,exclude,GBR_united_kingdom,local
allcannings-pc.gov.uk,exclude,GBR_united_kingdom,local
allendaleparish.gov.uk,exclude,GBR_united_kingdom,local
allerdale.gov.uk,exclude,GBR_united_kingdom,local
allerparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allerthorpeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allertonbywaterparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allesleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allhallows-pc.gov.uk,exclude,GBR_united_kingdom,local
allhallowskent-pc.gov.uk,exclude,GBR_united_kingdom,local
allingtonboscombewilts-pc.gov.uk,exclude,GBR_united_kingdom,local
allithwaiteandcartmel-pc.gov.uk,exclude,GBR_united_kingdom,local
allostockparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
allsaints-pc.gov.uk,exclude,GBR_united_kingdom,local
allstrettonsmethcottwoolstaston-pc.gov.uk,exclude,GBR_united_kingdom,local
almeleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
almondsburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alnwick-tc.gov.uk,exclude,GBR_united_kingdom,local
alpacorral.gob.ar,exclude,ARG_argentina,local
alphetonparish.gov.uk,exclude,GBR_united_kingdom,local
alpingtonwithyelverton-pc.gov.uk,exclude,GBR_united_kingdom,local
alresfordparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alrewasparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alsagertowncouncil.gov.uk,exclude,GBR_united_kingdom,local
alstonmoorparish.gov.uk,exclude,GBR_united_kingdom,local
altarnunparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
altham-pc.gov.uk,exclude,GBR_united_kingdom,local
althingi.is,subtree,ISL_iceland,central
althorneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alton.gov.uk,exclude,GBR_united_kingdom,local
altonsandhoneystreet-pc.gov.uk,exclude,GBR_united_kingdom,local
altusandc.gov,subtree,USA_united_states,central
alumine.gob.ar,exclude,ARG_argentina,local
alvechurch.gov.uk,exclude,GBR_united_kingdom,local
alveleyandromsley-pc.gov.uk,exclude,GBR_united_kingdom,local
alvescotparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alveston-pc.gov.uk,exclude,GBR_united_kingdom,local
alvingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alwingtonparish.gov.uk,exclude,GBR_united_kingdom,local
alwintonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alwoodleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
alzheimers.gov,subtree,USA_united_states,central
am.gov.br,exact,BRA_brazil,central-1
ama.gov,subtree,USA_united_states,central
amberalert.gov,subtree,USA_united_states,central
amberhill-pc.gov.uk,exclude,GBR_united_kingdom,local
amberhillparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ambervalley.gov.uk,exclude,GBR_united_kingdom,local
amble.gov.uk,exclude,GBR_united_kingdom,local
ambleston-cc.gov.uk,exclude,GBR_united_kingdom,local
america.gov,subtree,USA_united_states,central
america250.gov,subtree,USA_united_states,central
americabydesign.gov,subtree,USA_united_states,central
americanmemory.gov,subtree,USA_united_states,central
americaslibrary.gov,subtree,USA_united_states,central
americorps.gov,subtree,USA_united_states,central
americorpsoig.gov,subtree,USA_united_states,central
amersham-tc.gov.uk,exclude,GBR_united_kingdom,local
amesburytowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ameslab.gov,subtree,USA_united_states,central
ammanford-tc.gov.uk,exclude,GBR_united_kingdom,local
amotherby-pc.gov.uk,exclude,GBR_united_kingdom,local
ampfieldparish.gov.uk,exclude,GBR_united_kingdom,local
ampleforth-pc.gov.uk,exclude,GBR_united_kingdom,local
ampneycrucis-pc.gov.uk,exclude,GBR_united_kingdom,local
amporthantsparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ampthill-tc.gov.uk,exclude,GBR_united_kingdom,local
amtrakoig.gov,subtree,USA_united_states,central
anagrasarkalyan.gov.in,exact,IND_india,central-1
anambrastate.gov.ng,exact,NGA_nigeria,central-1
ancaster-pc.gov.uk,exclude,GBR_united_kingdom,local
anchorit.gov,subtree,USA_united_states,central
ancroftparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
andaman.gov.in,exact,IND_india,central-1
anderdalennasjonalpark.no,subtree,NOR_norway,central
anderton-with-marbury-pc.gov.uk,exclude,GBR_united_kingdom,local
andover-tc.gov.uk,exclude,GBR_united_kingdom,local
andoversfordparish.gov.uk,exclude,GBR_united_kingdom,local
anglecommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
anglesey.gov.uk,exclude,GBR_united_kingdom,local
angleseystaffs-pc.gov.uk,exclude,GBR_united_kingdom,local
angliarevenues.gov.uk,exclude,GBR_united_kingdom,local
angmering-pc.gov.uk,exclude,GBR_united_kingdom,local
anl.gov,subtree,USA_united_states,central
anlaby-common-pc.gov.uk,exclude,GBR_united_kingdom,local
annesleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
anr.fr,subtree,FRA_france,central
ansdellandfairhaven-pc.gov.uk,exclude,GBR_united_kingdom,local
ansford-pc.gov.uk,exclude,GBR_united_kingdom,local
anshantiyu.gov.cn,exclude,CHN_china,local
ansleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
anstaskforce.gov,subtree,USA_united_states,central
anston.gov.uk,exclude,GBR_united_kingdom,local
anstystaplefield-pc.gov.uk,exclude,GBR_united_kingdom,local
anstywiltsparish.gov.uk,exclude,GBR_united_kingdom,local
antinghamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
antony-pc.gov.uk,exclude,GBR_united_kingdom,local
antrim.gov.uk,exclude,GBR_united_kingdom,local
antrimandnewtownabbey.gov.uk,exclude,GBR_united_kingdom,local
antrobus-pc.gov.uk,exclude,GBR_united_kingdom,local
anwick-pc.gov.uk,exclude,GBR_united_kingdom,local
aoa.gov,subtree,USA_united_states,central
aoc.gov,subtree,USA_united_states,central
aocoig.gov,subtree,USA_united_states,central
ap.gov,subtree,USA_united_states,central
ap.gov.br,exact,BRA_brazil,central-1
ap.gov.in,exact,IND_india,central-1
apcommercialtaxes.gov.in,exact,IND_india,central-1
apct.gov.in,exact,IND_india,central-1
apdcl.gov.in,exact,IND_india,central-1
apfinance.gov.in,exact,IND_india,central-1
apgenco.gov.in,exact,IND_india,central-1
apindustries.gov.in,exact,IND_india,central-1
aponline.gov.in,exact,IND_india,central-1
apos.gob.ar,exact,ARG_argentina,central-1
appealserviceni.gov.uk,exact,GBR_united_kingdom,central-1
appleby-pc.gov.uk,exclude,GBR_united_kingdom,local
applebytown.gov.uk,exclude,GBR_united_kingdom,local
appledoreparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
appleford-pc.gov.uk,exclude,GBR_united_kingdom,local
appleton-eaton-pc.gov.uk,exclude,GBR_united_kingdom,local
appletonparish.gov.uk,exclude,GBR_united_kingdom,local
appletonroebuckandacasterselby-pc.gov.uk,exclude,GBR_united_kingdom,local
appletonwiske-pc.gov.uk,exclude,GBR_united_kingdom,local
appletreewick-pc.gov.uk,exclude,GBR_united_kingdom,local
applicationmanager.gov,subtree,USA_united_states,central
apprenticeship.gov,subtree,USA_united_states,central
apprenticeships.gov,subtree,USA_united_states,central
apspsc.gov.in,exact,IND_india,central-1
apsrtc.gov.in,exact,IND_india,central-1
aptransco.gov.in,exact,IND_india,central-1
apuldramparish.gov.uk,exclude,GBR_united_kingdom,local
aqtyj.gov.cn,exclude,CHN_china,local
arbeidstilsynet.no,subtree,NOR_norway,central
arborfieldparish.gov.uk,exclude,GBR_united_kingdom,local
arc.gov,subtree,USA_united_states,central
arcade.gov,subtree,USA_united_states,central
arcades.gov,subtree,USA_united_states,central
arcep.fr,subtree,FRA_france,central
archifaugwent.gov.uk,exclude,GBR_united_kingdom,local
archifaumorgannwg.gov.uk,exclude,GBR_united_kingdom,local
archives.gov,subtree,USA_united_states,central
arclidparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
arctic.gov,subtree,USA_united_states,central
ardeleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ardingtonandlockinge-pc.gov.uk,exclude,GBR_united_kingdom,local
ardleigh-pc.gov.uk,exclude,GBR_united_kingdom,local
ardleywf-pc.gov.uk,exclude,GBR_united_kingdom,local
ardsandnorthdown.gov.uk,exclude,GBR_united_kingdom,local
argoedcommunitycouncil.gov.uk,exclude,GBR_united_kingdom,local
argyll-bute.gov.uk,exclude,GBR_united_kingdom,local
arkholmewithcawood-pc.gov.uk,exclude,GBR_united_kingdom,local
arlesey-tc.gov.uk,exclude,GBR_united_kingdom,local
arlingham-pc.gov.uk,exclude,GBR_united_kingdom,local
arlington-pc.gov.uk,exclude,GBR_united_kingdom,local
arm.gov,subtree,USA_united_states,central
armaghbanbridgecraigavon.gov.uk,exclude,GBR_united_kingdom,local
armitagewithhandsacre-pc.gov.uk,exclude,GBR_united_kingdom,local
armstrong.gob.ar,exclude,ARG_argentina,local
armthorpeparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
arneparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
arnsideparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
arpa-h.gov,subtree,USA_united_states,central
arpah.gov,subtree,USA_united_states,central
arreton-pc.gov.uk,exclude,GBR_united_kingdom,local
arringtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ars-grin.gov,subtree,USA_united_states,central
arsusda.gov,subtree,USA_united_states,central
arthingtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
arthingworth-pc.gov.uk,exclude,GBR_united_kingdom,local
arthuretparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
artington-pc.gov.uk,exclude,GBR_united_kingdom,local
arts.gov,subtree,USA_united_states,central
artsdatabanken.no,subtree,NOR_norway,central
arun.gov.uk,exclude,GBR_united_kingdom,local
arunachalpradesh.gov.in,exact,IND_india,central-1
arunachaltenders.gov.in,exact,IND_india,central-1
arundeltowncouncil.gov.uk,exclude,GBR_united_kingdom,local
asap.gov,subtree,USA_united_states,central
asc.gov,subtree,USA_united_states,central
ase-sinaloa.gob.mx,exact,MEX_mexico,central-1
aseh.gob.mx,exact,MEX_mexico,central-1
asenbyparish.gov.uk,exclude,GBR_united_kingdom,local
asenl.gob.mx,exact,MEX_mexico,central-1
aseoaxaca.gob.mx,exact,MEX_mexico,central-1
aseqroo.gob.mx,exact,MEX_mexico,central-1
aseslp.gob.mx,exact,MEX_mexico,central-1
asfordbyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ash-somerset-pc.gov.uk,exclude,GBR_united_kingdom,local
ashbournetowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ashburtontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ashburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashbymagnaparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashbyparvaparish.gov.uk,exclude,GBR_united_kingdom,local
ashbystmaryparish.gov.uk,exclude,GBR_united_kingdom,local
ashbytowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ashbywouldstowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ashchurchrural-pc.gov.uk,exclude,GBR_united_kingdom,local
ashcottparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashcumridley-pc.gov.uk,exclude,GBR_united_kingdom,local
ashdonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashendon-pc.gov.uk,exclude,GBR_united_kingdom,local
ashfield-dc.gov.uk,exclude,GBR_united_kingdom,local
ashfield.gov.uk,exclude,GBR_united_kingdom,local
ashfieldcumthorpe-pc.gov.uk,exclude,GBR_united_kingdom,local
ashford-in-the-water-pc.gov.uk,exclude,GBR_united_kingdom,local
ashford.gov.uk,exclude,GBR_united_kingdom,local
ashfordcarbonellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashfordporthealth.gov.uk,exclude,GBR_united_kingdom,local
ashingdonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashingtontowncouncil.gov.uk,exclude,GBR_united_kingdom,local
ashleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashmanhaughparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashover-pc.gov.uk,exclude,GBR_united_kingdom,local
ashparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashpcsurrey.gov.uk,exclude,GBR_united_kingdom,local
ashperton-pc.gov.uk,exclude,GBR_united_kingdom,local
ashreigneyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashton-pc.gov.uk,exclude,GBR_united_kingdom,local
ashtonhayesparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashurstandcolbury-pc.gov.uk,exclude,GBR_united_kingdom,local
ashurstparish.gov.uk,exclude,GBR_united_kingdom,local
ashurstwood-vc.gov.uk,exclude,GBR_united_kingdom,local
ashwell.gov.uk,exclude,GBR_united_kingdom,local
ashwellparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ashwellthorpeandfundenhall-pc.gov.uk,exclude,GBR_united_kingdom,local
asianpacificheritage.gov,subtree,USA_united_states,central
asip.gob.ar,exact,ARG_argentina,central-1
askamandirelethparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
askderbyshire.gov.uk,exclude,GBR_united_kingdom,local
askerntowncouncil.gov.uk,exclude,GBR_united_kingdom,local
askhamandhelton-pc.gov.uk,exclude,GBR_united_kingdom,local
askhamparishmeeting.gov.uk,exclude,GBR_united_kingdom,local
askhamrichard-pc.gov.uk,exclude,GBR_united_kingdom,local
askriggandlowabbotside-pc.gov.uk,exclude,GBR_united_kingdom,local
aslactonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
asntscotland.gov.uk,exact,GBR_united_kingdom,central-1
aspatria-tc.gov.uk,exclude,GBR_united_kingdom,local
aspleyguiseparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aspr.gov,subtree,USA_united_states,central
assam.gov.in,exact,IND_india,central-1
assamtenders.gov.in,exact,IND_india,central-1
asselbyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
assembly-ni.gov.uk,exact,GBR_united_kingdom,central-1
assemblyni.gov.uk,exact,GBR_united_kingdom,central-1
assington-pc.gov.uk,exclude,GBR_united_kingdom,local
assistantdemocraticleader.gov,subtree,USA_united_states,central
astbury-moreton-pc.gov.uk,exclude,GBR_united_kingdom,local
asterbygoulceby-pc.gov.uk,exclude,GBR_united_kingdom,local
asthalparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
astleyanddunley-pc.gov.uk,exclude,GBR_united_kingdom,local
astleyshropshireparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aston-pc.gov.uk,exclude,GBR_united_kingdom,local
astonabbotts-pc.gov.uk,exclude,GBR_united_kingdom,local
astoncantlowparish.gov.uk,exclude,GBR_united_kingdom,local
astonclinton-pc.gov.uk,exclude,GBR_united_kingdom,local
astoningham-pc.gov.uk,exclude,GBR_united_kingdom,local
astonlewallsparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
astonontrentparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
astonoxon-pc.gov.uk,exclude,GBR_united_kingdom,local
astonrowantparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
astonsandfordparishmeeting.gov.uk,exclude,GBR_united_kingdom,local
astwoodandhardmead-pc.gov.uk,exclude,GBR_united_kingdom,local
ata.gov,subtree,USA_united_states,central
atalivaroca.gob.ar,exclude,ARG_argentina,local
atchamparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
ater.gob.ar,exact,ARG_argentina,central-1
atf.gov,subtree,USA_united_states,central
atheringtonparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
atherstone-tc.gov.uk,exclude,GBR_united_kingdom,local
atizapan.gob.mx,exclude,MEX_mexico,local
atm.gob.ar,exact,ARG_argentina,central-1
attorneygeneralni.gov.uk,exact,GBR_united_kingdom,central-1
atvsafety.gov,subtree,USA_united_states,central
atworthparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
atzompa.gob.mx,exclude,MEX_mexico,local
aubournwithhaddington-pc.gov.uk,exclude,GBR_united_kingdom,local
auchterarderdistrict-cc.gov.uk,exclude,GBR_united_kingdom,local
auckleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
audit-scotland.gov.uk,exact,GBR_united_kingdom,central-1
auditoriachihuahua.gob.mx,exact,MEX_mexico,central-1
audlemparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
audleyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aulthucknallparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
aurland-fjellstyre.no,subtree,NOR_norway,central
austerfield-pc.gov.uk,exclude,GBR_united_kingdom,local
austparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
auswaertiges-amt.de,subtree,DEU_germany,central
aveburyparishcouncil.gov.uk,exclude,GBR_united_kingdom,local
