hostname,country,label,website
unso.edu.ar,ARG_argentina,Q39081350,https://www.unso.edu.ar/es/
unt.edu.ar,ARG_argentina,National University of Tucumán,https://www.unt.edu.ar/
untdf.edu.ar,ARG_argentina,National University of Tierra del Fuego,https://www.untdf.edu.ar/
untref.edu.ar,ARG_argentina,National University of Tres de Febrero,https://www.untref.edu.ar/
unvime.edu.ar,ARG_argentina,National University of Villa Mercedes,https://www.unvime.edu.ar/
unvm.edu.ar,ARG_argentina,National University of Villa María,https://www.unvm.edu.ar/
upc.edu.ar,ARG_argentina,Provincial University of Cordoba,https://upc.edu.ar/
uplab.edu.ar,ARG_argentina,Q135490323,https://uplab.edu.ar/
upso.edu.ar,ARG_argentina,Q20019056,https://www.upso.edu.ar/
utn.edu.ar,ARG_argentina,National Technological University,https://www.utn.edu.ar/
web.upe.edu.ar,ARG_argentina,Q128601838,https://web.upe.edu.ar/
aspu.am,ARM_armenia,Armenian State Pedagogical University,https://aspu.am
polytech.am,ARM_armenia,National Polytechnic University of Armenia,https://polytech.am
ysu.am,ARM_armenia,Yerevan State University,https://ysu.am
anu.edu.au,AUS_australia,Australian National University,https://www.anu.edu.au/
canberra.edu.au,AUS_australia,University of Canberra,https://www.canberra.edu.au/
cdu.edu.au,AUS_australia,Charles Darwin University,http://www.cdu.edu.au/
cqu.edu.au,AUS_australia,Central Queensland University,https://www.cqu.edu.au/
csu.edu.au,AUS_australia,Charles Sturt University,http://csu.edu.au/
curtin.edu.au,AUS_australia,Curtin University,https://www.curtin.edu.au/
deakin.edu.au,AUS_australia,Deakin University,http://www.deakin.edu.au/
ecu.edu.au,AUS_australia,Edith Cowan University,https://www.ecu.edu.au/
federation.edu.au,AUS_australia,Federation University Australia,https://federation.edu.au/
flinders.edu.au,AUS_australia,Flinders University,https://www.flinders.edu.au/
griffith.edu.au,AUS_australia,Griffith University,http://www.griffith.edu.au/
jcu.edu.au,AUS_australia,James Cook University,http://www.jcu.edu.au/
latrobe.edu.au,AUS_australia,La Trobe University,https://www.latrobe.edu.au
monash.edu,AUS_australia,Monash University,https://www.monash.edu/
monashuniversity.cn,AUS_australia,Monash University,https://www.monashuniversity.cn
mq.edu.au,AUS_australia,Macquarie University,https://www.mq.edu.au/
murdoch.edu.au,AUS_australia,Murdoch University,https://www.murdoch.edu.au/
newcastle.edu.au,AUS_australia,University of Newcastle,http://www.newcastle.edu.au/
qut.edu.au,AUS_australia,Queensland University of Technology,https://www.qut.edu.au/
rmit.edu.au,AUS_australia,RMIT University,https://www.rmit.edu.au/
scu.edu.au,AUS_australia,Southern Cross University,http://www.scu.edu.au/
swinburne.edu.au,AUS_australia,Swinburne University of Technology,https://www.swinburne.edu.au
sydney.edu.au,AUS_australia,University of Sydney,https://www.sydney.edu.au/
une.edu.au,AUS_australia,University of New England,https://www.une.edu.au/
unimelb.edu.au,AUS_australia,University of Melbourne,https://www.unimelb.edu.au/
unsw.edu.au,AUS_australia,University of New South Wales,https://www.unsw.edu.au/
uow.edu.au,AUS_australia,University of Wollongong,https://uow.edu.au
uowaustralia.com,AUS_australia,University of Wollongong,https://www.uowaustralia.com
uq.edu.au,AUS_australia,University of Queensland,https://www.uq.edu.au
usc.edu.au,AUS_australia,University of the Sunshine Coast,http://www.usc.edu.au/
usq.edu.au,AUS_australia,University of Southern Queensland,http://www.usq.edu.au/
utas.edu.au,AUS_australia,University of Tasmania,https://www.utas.edu.au/
uts.edu.au,AUS_australia,University of Technology Sydney,https://www.uts.edu.au/
vu.edu.au,AUS_australia,Victoria University,https://www.vu.edu.au/
westernsydney.edu.au,AUS_australia,Western Sydney University,https://www.westernsydney.edu.au/
akbild.ac.at,AUT_austria,Academy of Fine Arts Vienna,https://www.akbild.ac.at/
boku.ac.at,AUT_austria,"University of Natural Resources and Life Sciences, Vienna",https://www.boku.ac.at/
dieangewandte.at,AUT_austria,University of Applied Arts Vienna,https://www.dieangewandte.at/
mdw.ac.at,AUT_austria,University of Music and Performing Arts Vienna,https://www.mdw.ac.at/
meduniwien.ac.at,AUT_austria,Medical University of Vienna,https://www.meduniwien.ac.at/
tuwien.at,AUT_austria,TU Wien,https://www.tuwien.at/
uibk.ac.at,AUT_austria,University of Innsbruck,https://www.uibk.ac.at
wu.ac.at,AUT_austria,Vienna University of Economics and Business,https://www.wu.ac.at/
amu.edu.az,AZE_azerbaijan,Azerbaijan Medical University,http://amu.edu.az/
beu.edu.az,AZE_azerbaijan,Baku Engineering University,https://beu.edu.az
mmu.edu.az,AZE_azerbaijan,Azerbaijan National Defense University,https://www.mmu.edu.az/
unec.edu.az,AZE_azerbaijan,Azerbaijan State University of Economics,https://unec.edu.az
ub.edu.bi,BDI_burundi,Université du Burundi,https://www.ub.edu.bi/
ecolesaintetrinitecardinalmercier1.be,BEL_belgium,Institut Sainte Trinité,https://ecolesaintetrinitecardinalmercier1.be/
ugent.be,BEL_belgium,Ghent University,https://www.ugent.be/
uhasselt.be,BEL_belgium,Hasselt University,http://www.uhasselt.be/
uliege.be,BEL_belgium,University of Liège,https://www.uliege.be/
uac.bj,BEN_benin,University of Abomey-Calavi,https://uac.bj/
uakbenin.org,BEN_benin,Université d'Agriculture de Kétou,http://www.uakbenin.org/
una.bj,BEN_benin,Université d'Agriculture de Kétou,http://www.una.bj/
uts.bf,BFA_burkina_faso,Université Ouaga II,https://www.uts.bf/
