target,country,kind,label
ecosystem.code.gouv.fr,FRA_france,catalog,code.gouv.fr ecosystem
developers.italia.it,ITA_italy,catalog,Developers Italia
developer.overheid.nl,NLD_netherlands,catalog,developer.overheid.nl
dsacms.github.io/code-gov,USA_united_states,catalog,Per-agency code.json inventories (SHARE IT Act)
code.open.canada.ca,CAN_canada,catalog,Open Resource Exchange
opensource.admin.ch,CHE_switzerland,catalog,Federal OSS Catalogue
offentligkod.se,SWE_sweden,catalog,Offentligkod
uk-x-gov-software-community.github.io,GBR_united_kingdom,catalog,X-Gov Open Source Repo Leaderboard
opensource.diia.gov.ua,UKR_ukraine,catalog,Diia Open Source
data.public.lu,LUX_luxembourg,catalog,Public-sector OSS dataset
softwarepublico.gob.pe,PER_peru,catalog,Portal de Software Público Peruano
argentina.gob.ar,ARG_argentina,catalog,Catálogo de Software Público (ONTI)
softwarepublico.gob.ec,ECU_ecuador,catalog,Software Público Ecuatoriano
code.ca.gov,USA_united_states,catalog,code.ca.gov (California)
code.gov.tw,TWN_taiwan,catalog,code.gov.tw
opensource.un.org,UN_united_nations,catalog,Open Source United
opensource.worldbank.org,WBG_world_bank,catalog,Open Source Code Catalog
code.iadb.org,IDB_inter_american_development_bank,catalog,Código para el Desarrollo
avoinkoodi.fi,FIN_finland,catalog,Avoinkoodi
interoperable-europe.ec.europa.eu/eu-oss-catalogue,EU_european_union,catalog,EU OSS Catalogue
administracionelectronica.gob.es/ctt,ESP_spain,catalog,Centro de Transferencia de Tecnología (CTT)
www.gub.uy,URY_uruguay,catalog,Software Público Uruguayo (AGESIC)
