qid,label
Q121233,Boyacá Department
Q123304,Antioquia
Q13984,Casanare Department
Q13985,Caquetá Department
Q13990,Valle del Cauca Department
Q13993,Risaralda Department
Q13995,Quindío Department
Q199910,Magdalena Department
Q230217,Nariño Department
Q230223,Arauca Department
Q230584,Chocó Department
Q230597,Bolívar Department
Q230602,Cauca Department
Q230607,Caldas Department
Q230882,Atlántico Department
Q232564,Cundinamarca Department
Q232953,Putumayo Department
Q233058,Norte de Santander Department
Q234501,Tolima Department
Q234505,Vaupés Department
Q234912,Córdoba Department
Q234916,Cesar Department
Q234920,Huila Department
Q235166,Santander Department
Q235188,Sucre Department
Q238629,Meta Department
Q238645,Guainía Department
Q26855,"Archipelago of San Andrés, Providencia and Santa Catalina"
Q268729,Vichada Department
Q272747,La Guajira Department
Q272885,Guaviare Department
Q2841,Bogotá
Q44724,Amazonas Department
