subdomain,http_status,mx
cpanel.gsop.gov.gh,Could not resolve host: cpanel.gsop.gov.gh,none
cpanel.judicial.gov.gh,Could not resolve host: cpanel.judicial.gov.gh,none
cpanel.kbth.gov.gh,500,none
cpanel.lgcsp.gov.gh,Could not resolve host: cpanel.lgcsp.gov.gh,none
cpanel.mbs.gov.gh,200,none
cpanel.mdf.gov.gh,Could not resolve host: cpanel.mdf.gov.gh,none
cpanel.meteo.gov.gh,Resolving timed out after 3000 milliseconds,none
cpanel.mint.gov.gh,Could not resolve host: cpanel.mint.gov.gh,none
cpanel.moys.gov.gh,Resolving timed out after 3000 milliseconds,none
cpanel.mpsr.gov.gh,Resolving timed out after 3000 milliseconds,none
cpanel.nadmo.gov.gh,Could not resolve host: cpanel.nadmo.gov.gh,none
cpanel.nanumbasouthdistrict.gov.gh,Resolving timed out after 3002 milliseconds,none
cpanel.nnri.gov.gh,Could not resolve host: cpanel.nnri.gov.gh,none
cpanel.npra.gov.gh,Resolving timed out after 3001 milliseconds,dig error
cpanel.nya.gov.gh,500,none
cpanel.pmmc.gov.gh,Could not resolve host: cpanel.pmmc.gov.gh,none
cpanel.portal.ppa.gov.gh,Could not resolve host: cpanel.portal.ppa.gov.gh,none
cpanel.ppa.gov.gh,Resolving timed out after 3000 milliseconds,none
cpanel.presidency.gov.gh,Could not resolve host: cpanel.presidency.gov.gh,none
cpanel.psc.gov.gh,Could not resolve host: cpanel.psc.gov.gh,none
cpanel.secghana.gov.gh,Could not resolve host: cpanel.secghana.gov.gh,none
cpanel.sltf.gov.gh,Could not resolve host: cpanel.sltf.gov.gh,none
cpanel.spacecentre.gov.gh,Resolving timed out after 3001 milliseconds,none
cpanel.sridagricstat.gov.gh,Could not resolve host: cpanel.sridagricstat.gov.gh,none
cpanel.staging.nss.gov.gh,Could not resolve host: cpanel.staging.nss.gov.gh,none
cpanel.yea.gov.gh,Could not resolve host: cpanel.yea.gov.gh,none
cpd.ntc.gov.gh,SSL certificate problem: certificate has expired,none
cpublicinterest.judicial.gov.gh,Could not resolve host: cpublicinterest.judicial.gov.gh,none
cts.police.gov.gh,Operation timed out after 3002 milliseconds with 0 bytes received,none
cybersecurity.gov.gh,Connection timed out after 3002 milliseconds,none
data.gheiti.gov.gh,200,none
data.gov.gh,200,none
dc.nita.gov.gh,Connection timed out after 3002 milliseconds,none
demo.epa.gov.gh,Could not resolve host: demo.epa.gov.gh,none
deployment.nss.gov.gh,Could not resolve host: deployment.nss.gov.gh,none
dev.cybersecurity.gov.gh,Could not resolve host: dev.cybersecurity.gov.gh,none
dev.data.gov.gh,Could not resolve host: dev.data.gov.gh,none
dev.eservices.gov.gh,Could not resolve host: dev.eservices.gov.gh,none
dev.gra.gov.gh,Could not resolve host: dev.gra.gov.gh,none
dfr.gov.gh,Could not resolve host: dfr.gov.gh,none
dialin.mofep.gov.gh,Could not resolve host: dialin.mofep.gov.gh,none
dialing.mofep.gov.gh,Could not resolve host: dialing.mofep.gov.gh,none
diasporaaffairs.gov.gh,200,none
dispatch.presidentsecretariat.gov.gh,Could not resolve host: dispatch.presidentsecretariat.gov.gh,none
dms.secghana.gov.gh,Could not resolve host: dms.secghana.gov.gh,none
documents.secghana.gov.gh,Could not resolve host: documents.secghana.gov.gh,none
dsw.gov.gh,Connection timed out after 3002 milliseconds,none
dvla.gov.gh,Could not resolve host: dvla.gov.gh,none
dvlaghana.gov.gh,Could not resolve host: dvlaghana.gov.gh,none
e-agriculture.gov.gh,SSL certificate problem: self-signed certificate,none
ebiblio.epa.gov.gh,Connection timed out after 3000 milliseconds,none
ebpms.gov.gh,Connection timed out after 3002 milliseconds,none
ec.gov.gh,Could not resolve host: ec.gov.gh,none
