qid,label
Q1002229,Municipality of Vipava
Q1002247,Municipality of Podlehnik
Q1002371,Municipality of Majšperk
Q1002863,municipality of Videm
Q1003969,Municipality of Dornava
Q1003984,Municipality of Juršinci
Q1005165,Municipality of Miklavž na Dravskem Polju
Q1005185,Municipality of Horjul
Q1005208,Municipality of Dobrova–Polhov Gradec
Q1005224,Municipality of Gorenja Vas-Poljane
Q1005364,Municipality of Radlje ob Dravi
Q1008048,Municipality of Ivančna Gorica
Q1008079,Municipality of Sodražica
Q1008086,Municipality of Veržej
Q1008095,Municipality of Markovci
Q1008102,Municipality of Hoče-Slivnica
Q1008144,Municipality of Sveti Jurij v Slovenskih Goricah
Q1008179,Municipality of Dobje
Q1009409,Municipality of Dobrepolje
Q1009413,Municipality of Ribnica na Pohorju
Q1009421,Municipality of Kozje
Q1012761,Municipality of Moravče
Q1016698,Municipality of Prebold
Q1016800,Municipality of Podvelka
Q1016805,Mirna Peč Municipality
Q1016812,Municipality of Šentjernej
Q1016820,Municipality of Sveta Trojica v Slovenskih Goricah
Q1016826,Municipality of Starše
Q1016831,Municipality of Sveti Tomaž
Q1016840,Municipality of Dolenjske Toplice
Q1019067,Municipality of Grad
Q1027062,Municipality of Gorje
Q1027078,Mokronog-Trebelno Municipality
Q1027089,Municipality of Log–Dragomer
Q1027245,Municipality of Rogatec
Q1034410,Municipality of Braslovče
Q11211457,Municipality of Slovenska Bistrica
Q11214302,Sevnica Municipality
Q12042075,Ankaran Municipality
Q12042076,Municipality of Izola
Q12062190,Municipality of Kostanjevica na Krki
Q1252438,Municipality of Cerkvenjak
Q1276793,Municipality of Tišina
Q13107298,Municipality of Cerknica
Q1313614,Solčava Municipality
Q13220435,municipality of Cerkno
Q13365883,Municipality of Lenart
Q13365892,Municipality of Dobrovnik
Q13365904,Municipality of Hodoš
Q13370246,Municipality of Cirkulane
Q13377731,Municipality of Bistrica ob Sotli
Q13377747,Municipality of Borovnica
Q13377751,Municipality of Cankova
Q13377763,Municipality of Domžale
Q13377778,Municipality of Grosuplje
Q13377780,Hrastnik Municipality
Q13377784,Municipality of Ilirska Bistrica
Q13377798,Municipality of Žužemberk
Q13377986,Radeče Municipality
Q13378051,Municipality of Ravne na Koroškem
Q13378058,Municipality of Rečica ob Savinji
Q13378155,Slovenske Konjice Municipality
Q13378243,Trebnje Municipality
