subdomain,http_status,mx
paskyed11wv.riksdagen.se,ConnectException > UnresolvedAddressException,
paskyed12wv.riksdagen.se,ConnectException > UnresolvedAddressException,
pasmtpmgmt01wv.riksdagen.se,ConnectException > UnresolvedAddressException,
rdn.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
rdnm.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
rdnmvpn.riksdagen.se,ConnectException > UnresolvedAddressException,
rdntest.riksdagen.se,ConnectException > UnresolvedAddressException,
rdnvpn.riksdagen.se,ConnectException > UnresolvedAddressException,
redigera-bilder.riksdagen.se,ConnectException > UnresolvedAddressException,
redigera-parleu2023.riksdagen.se,ConnectException > UnresolvedAddressException,
redigera.riksdagen.se,ConnectException > UnresolvedAddressException,
registerkontroll.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
reserv.riksdagen.se,ConnectException > UnresolvedAddressException,
riksdagen.se,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 mailgw2.riksdagen.se.; 5 mailgw.riksdagen.se.; 5 mailgw3.riksdagen.se.
rubin.spapp.riksdagen.se,ConnectException > UnresolvedAddressException,
samarbete.riksdagen.se,ConnectException > UnresolvedAddressException,
scapa.riksdagen.se,ConnectException > UnresolvedAddressException,
sharepoint-main.riksdagen.se,ConnectException > UnresolvedAddressException,
signering.riksdagen.se,ConnectException > UnresolvedAddressException,
sip.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
sipexternal.riksdagen.se,ConnectException > UnresolvedAddressException,
skypeav.riksdagen.se,SSLHandshakeException > SocketException: Connection reset,
skypesip.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
skypewebcon.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
slinganedit.riksdagen.se,ConnectException > UnresolvedAddressException,
smtpproxy.riksdagen.se,ConnectException > UnresolvedAddressException,
socket.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
srp.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
storning.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
test2021.riksdagen.se,ConnectException > UnresolvedAddressException,
upplev.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
utskick.riksdagen.se,ConnectException > UnresolvedAddressException,
vidar.riksdagen.se,ConnectException > UnresolvedAddressException,
webbanalys.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
webcon.riksdagen.se,SSLHandshakeException > ValidatorException > SunCertPathBuilderException: unable to find valid certification path to requested target,
www.riksdagen.se,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
www2.riksdagen.se,HttpConnectTimeoutException > ConnectException: HTTP connect timed out,
