subdomain,http_status
cpcontacts.aias.gov.mz,"Could not resolve host: cpcontacts.aias.gov.mz"
cpcontacts.embamoc-lisboa.gov.mz,"Could not resolve host: cpcontacts.embamoc-lisboa.gov.mz"
cpcalendars.fe.gov.mz,"Could not resolve host: cpcalendars.fe.gov.mz"
cpcontacts.limpopopn.gov.mz,"Could not resolve host: cpcontacts.limpopopn.gov.mz"
cpcalendars.investnacala.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'cpcalendars.investnacala.gov.mz'"
cpanel.idepa.gov.mz,"200"
cpanel.ined.gov.mz,"200"
cpcontacts.icm.gov.mz,"Could not resolve host: cpcontacts.icm.gov.mz"
cpanel.cmchimoio.gov.mz,"Could not resolve host: cpanel.cmchimoio.gov.mz"
autodiscover.ined.gov.mz,"400"
dev.pde.gov.mz,"Could not resolve host: dev.pde.gov.mz"
cpcontacts.inac.gov.mz,"Could not resolve host: cpcontacts.inac.gov.mz"
cpanel.prosavana.gov.mz,"Could not resolve host: cpanel.prosavana.gov.mz"
correio.gov.mz,"200"
cpcontacts.growingblueconference.gov.mz,"Could not resolve host: cpcontacts.growingblueconference.gov.mz"
cpanel.inip.gov.mz,"200"
cpcontacts.maefp.gov.mz,"Could not resolve host: cpcontacts.maefp.gov.mz"
cpcontacts.gcpcd.gov.mz,"Could not resolve host: cpcontacts.gcpcd.gov.mz"
cpcalendars.inepmc.gov.mz,"Could not resolve host: cpcalendars.inepmc.gov.mz"
cpanel.ara-centronorte.gov.mz,"SSL certificate problem: certificate has expired"
cpcalendars.idepa.gov.mz,"401"
cpcalendars.embamoc-lisboa.gov.mz,"Could not resolve host: cpcalendars.embamoc-lisboa.gov.mz"
dcicmcn2019.cmnampula.gov.mz,"Could not resolve host: dcicmcn2019.cmnampula.gov.mz"
ead.cfjj.gov.mz,"Could not resolve host: ead.cfjj.gov.mz"
autodiscover.ta.gov.mz,"302"
at.gov.mz,"302"
autodiscover.gov.mz,"Could not resolve host: autodiscover.gov.mz"
boane.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'boane.gov.mz'"
demotest.cgcmc.gov.mz,"Could not resolve host: demotest.cgcmc.gov.mz"
aviation.inam.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
cncs.gov.mz,"200"
cpanel.fe.gov.mz,"200"
elearning.ciob.gov.mz,"Could not resolve host: elearning.ciob.gov.mz"
collect.pde.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'collect.pde.gov.mz'"
autodiscover.pgr.gov.mz,"302"
cpcontacts.idepa.gov.mz,"401"
cpcontacts.sina.gov.mz,"Could not resolve host: cpcontacts.sina.gov.mz"
balcaovirtual.incm.gov.mz,"200"
autodiscover.anac.gov.mz,"404"
