subdomain,mx
mail.webmail.moj.gov.sd,none
mail.westdarfur.gov.sd,none
mail.wki.gov.sd,none
mail.www.moj.gov.sd,none
mail.www.sji.gov.sd,none
mail.zakat-chamber.gov.sd,none
mail.zakatalgadarif.gov.sd,none
mail.zakatcompanies.gov.sd,none
mail.zakatkassala.gov.sd,none
mail01.moj.gov.sd,none
mail1.sji.gov.sd,none
mail2.moj.gov.sd,none
mail3.moj.gov.sd,none
mail3.sji.gov.sd,none
mail4.moj.gov.sd,none
mail9.moj.gov.sd,none
mailbox.moj.gov.sd,none
mailer.moj.gov.sd,none
mailgate.sji.gov.sd,none
mailout.moj.gov.sd,none
mailrelay.moj.gov.sd,none
mailx.moj.gov.sd,none
mailx.sji.gov.sd,none
maps.pttracking.gov.sd,none
mcit.gov.sd,none
medanilocality.gov.sd,dig error
meet.smsb.gov.sd,none
mepd.gov.sd,none
merowedam.gov.sd,none
mga.gov.sd,none
mgsd-krt.gov.sd,none
moc.gov.sd,dig error
mocmtns.gov.sd,dig error
mod-api.mod.gov.sd,none
mod.gov.sd,10 mail.mod.gov.sd.
moendarfur.gov.sd,none
mofa.gov.sd,none
moj.gov.sd,10 mail.moj.gov.sd.
motrb.gov.sd,dig error
ms.moj.gov.sd,none
mx0.moj.gov.sd,none
mx0.sji.gov.sd,none
mx01.moj.gov.sd,none
mx10.moj.gov.sd,none
mx2.sji.gov.sd,none
my.tpra.gov.sd,none
napo.gov.sd,dig error
ncca.gov.sd,none
nccd.gov.sd,none
ncgld.gov.sd,none
ncmhp.gov.sd,none
ncpd.gov.sd,none
nct.gov.sd,none
ndcc.gov.sd,none
ngc.gov.sd,dig error
nicsudan.gov.sd,dig error
nileabohamed.gov.sd,none
nileadminreform.gov.sd,none
nilealshaheed.gov.sd,none
nileatbara.gov.sd,none
nilebohaira.gov.sd,none
nilebrbr.gov.sd,none
nilegate.gov.sd,none
nilegrievances.gov.sd,dig error
nilehealth.gov.sd,0 nilehealth.gov.sd.
nileislamic.gov.sd,none
nilekhiar.gov.sd,none
nilelocalgov.gov.sd,none
nilequality.gov.sd,dig error
nileselectcommity.gov.sd,none
nilewater.gov.sd,dig error
nilewatnia.gov.sd,none
nilewomenunion.gov.sd,dig error
nkordofan.gov.sd,none
nmpb.gov.sd,none
nmsf.gov.sd,none
npc.gov.sd,none
ns1.sji.gov.sd,none
ns2.moj.gov.sd,none
ntcvc.ntc.gov.sd,none
ocewc.gov.sd,none
ogs.gov.sd,0 ogs.gov.sd.
openpgpkey.moj.gov.sd,none
out.moj.gov.sd,none
owa.moj.gov.sd,none
owa.sji.gov.sd,none
owa.tpra.gov.sd,none
owas.smsb.gov.sd,none
phpmyadmin.smsb.gov.sd,none
po.moj.gov.sd,none
poczta.moj.gov.sd,none
poczta.sji.gov.sd,none
policetraining.gov.sd,none
pop.sji.gov.sd,none
pop3.moj.gov.sd,none
postmaster.sji.gov.sd,none
presidency.gov.sd,10 mail.presidency.gov.sd.
pro.nmpb.gov.sd,none
pttracking.gov.sd,0 pttracking.gov.sd.
qa-afaq.mofa.gov.sd,none
redseaaffairs.gov.sd,dig error
redseagovernment.gov.sd,0 redseagovernment.gov.sd.
redseahealth.gov.sd,dig error
redseainvestment.gov.sd,none
redseaplan.gov.sd,dig error
redseaportsudan.gov.sd,dig error
redseasawakin.gov.sd,none
redseaselcoom.gov.sd,none
redseasinkat.gov.sd,none
redseatourism.gov.sd,none
reg.smsb.gov.sd,none
regi.smsb.gov.sd,none
relay.moj.gov.sd,none
relay.sji.gov.sd,none
relay1.moj.gov.sd,none
remote.moj.gov.sd,none
roseiresdam.gov.sd,none
rsf.gov.sd,0 rsf.gov.sd.
rssa.gov.sd,none
rwh.diu.gov.sd,none
said.gov.sd,none
sbga.smsb.gov.sd,none
scaa.gov.sd,0 mail.scaa.gov.sd.
sdpp.gov.sd,dig error
secure.sji.gov.sd,none
sennarstate.gov.sd,none
server.moj.gov.sd,none
server.sji.gov.sd,none
server2.moj.gov.sd,none
service.edf.gov.sd,none
sgcrtvt.gov.sd,25 mail.sgcrtvt.gov.sd.
simc.smsb.gov.sd,none
sip.smsb.gov.sd,none
sji.gov.sd,none
smsb.gov.sd,0 smsb.gov.sd.
smtp.moj.gov.sd,none
smtp01.moj.gov.sd,none
smtp1.moj.gov.sd,none
smtp1.sji.gov.sd,none
