qid,label
Q107397,County Leitrim
Q131438,Munster
Q159736,Leinster
Q162475,County Cork
Q164421,Connacht
Q169923,County Galway
Q173332,County Kildare
Q173500,County Dublin
Q178283,County Limerick
Q178626,County Mayo
Q179325,County Sligo
Q179424,County Donegal
Q179437,County Roscommon
Q180231,County Kilkenny
Q181862,County Clare
Q181882,County Carlow
Q182591,County Wicklow
Q182633,County Westmeath
Q183539,County Louth
Q183544,County Meath
Q184445,County Offaly
Q184469,County Kerry
Q184594,County Waterford
Q184599,County Wexford
Q184618,County Tipperary
Q184760,County Monaghan
Q186220,County Longford
Q187402,County Cavan
Q55299,County Laois
Q93195,Ulster
