field,text
country_name,"Independent State of Papua New Guinea"
government_type,"parliamentary democracy under a constitutional monarchy; a Commonwealth realm"
capital,"Port Moresby"
chief_of_state,"King CHARLES III (since 8 September 2022); represented by Governor General Grand Chief Sir Bob DADAE (since 28 February 2017)"
head_of_government,"Prime Minister James MARAPE (since 30 May 2019)"
judicial_highest_courts,"Supreme Court (consists of the chief justice, deputy chief justice, 35 justices, and 5 acting justices); National Courts (consists of 13 courts located in the provincial capitals, with a total of 19 resident judges)"
constitution_history,"adopted 15 August 1975, effective at independence 16 September 1975"
