hostname,score,sources,label,level,http_status,mx
arc.agric.za,7,wikidata;wikidata,"Institute for Deciduous Fruit, Vines and Wine | Agricultural Research Council of South Africa",,302,20 za-smtp-inbound-2.mimecast.co.za.; 10 za-smtp-inbound-1.mimecast.co.za.; 40 arc-agric-za.mail.protection.outlook.com.
gpwonline.co.za,7,wikidata;wikidata,Government Printing Works,,200,none
mhs.mil.za,7,wikidata;wikidata,South African Military Health Service,,ConnectException,none
concourt.org.za,6,wikidata,Constitutional Court of South Africa,central,301,10 za-smtp-inbound-1.mimecast.co.za.; 20 za-smtp-inbound-2.mimecast.co.za.
roc-taiwan.org,6,wikidata;wikidata,Taipei Liaison Office in Cape Town | Taipei Liaison Office in the Republic of South Africa,,302,none
affaires-etrangeres.gouv.ga,4,wikidata,embassy of Gabon in South Africa,central,HttpConnectTimeoutException: HTTP connect timed out,10 mx.affaires-etrangeres.gouv.ga.
agsa.co.za,4,wikidata,Auditor-General,central,ConnectException: Host is unreachable,10 za-smtp-inbound-2.mimecast.co.za.; 10 za-smtp-inbound-1.mimecast.co.za.; 20 mail.agsa.co.za.
arb.org.za,4,wikidata,Advertising Regulatory Board,,301,0 arb-org-za.mail.protection.outlook.com.
caa.co.za,4,wikidata,South African Civil Aviation Authority,,301,10 za-smtp-inbound-1.mimecast.co.za.; 10 za-smtp-inbound-2.mimecast.co.za.
camhicom.co.za,4,wikidata,high commission of Cameroon in South Africa,central,403,none
capenature.org.za,4,wikidata,CapeNature,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching capenature.org.za found.,0 capenature-org-za.mail.protection.outlook.com.
cge.org.za,4,wikidata,Commission for Gender Equality,,200,0 cge-org-za.mail.protection.outlook.com.
chadembassy.co.za,4,wikidata,embassy of Chad in South Africa,central,200,20 mail.from.co.za.; 10 chadembassy.co.za.
che.ac.za,4,wikidata,Council on Higher Education,,200,10 za-smtp-inbound-1.mimecast.co.za.; 10 za-smtp-inbound-2.mimecast.co.za.
cipc.co.za,4,wikidata,South Africa's Companies and Intellectual Property Commission,,ConnectException,10 za-smtp-inbound-2.mimecast.co.za.; 10 za-smtp-inbound-1.mimecast.co.za.
compcom.co.za,4,wikidata,Competition Commission,,301,0 compcom-co-za.mail.protection.outlook.com.; 10 mail.compcom.co.za.
elrc.org.za,4,wikidata,Education Labour Relations Council,,200,0 za-smtp-inbound-2.mimecast.co.za.; 0 za-smtp-inbound-1.mimecast.co.za.
embaixadaportugal.org.za,4,wikidata,embassy of Portugal in South Africa,central,ConnectException,none
embassyofcongo.co.za,4,wikidata,embassy of the Republic of Congo in South Africa,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching embassyofcongo.co.za found.,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
embbeninsa.org.za,4,wikidata,embassy of Benin in South Africa,central,ConnectException,none
ffc.co.za,4,wikidata,Financial and Fiscal Commission,,301,10 ffc-co-za.mail.protection.outlook.com.
fpb.org.za,4,wikidata,Film and Publication Board,,200,10 za-smtp-inbound-2.mimecast.co.za.; 10 za-smtp-inbound-1.mimecast.co.za.
gambiahighcommissionsa.co.za,4,wikidata,high commission of Gambia in South Africa,central,200,20 mail.from.co.za.; 10 gambiahighcommissionsa.co.za.
