qid,label
Q112810104,Highland Papua
Q115253263,Southwest Papua
Q12486766,Central Papua
Q1823,Aceh
Q1866,Bangka Belitung Islands
Q1890,Bengkulu
Q2051,Jambi
Q2110,Q2110
Q2140,North Sumatra
Q2175,Riau
Q2223,Riau Islands
Q2271,South Sumatra
Q2772,West Sumatra
Q3125978,Bali
Q3540,Banten
Q3557,Central Java
Q3586,East Java
Q3630,Jakarta
Q3724,West Java
Q3741,Yogyakarta
Q3891,Central Kalimantan
Q3899,East Kalimantan
Q3903,North Kalimantan
Q3906,South Kalimantan
Q3916,West Kalimantan
Q5061,East Nusa Tenggara
Q5062,West Nusa Tenggara
Q5065,Central Sulawesi
Q5067,Gorontalo
Q5068,North Sulawesi
Q5075,Southeast Sulawesi
Q5078,South Sulawesi
Q5082,West Sulawesi
Q5093,Maluku
Q5094,North Maluku
Q5095,Papua
Q5096,West Papua
Q61439296,South Papua
