domain,http_status,mx
johor.gov.my,301,
kedah.gov.my,301,
kelantan.gov.my,HttpConnectTimeoutException: HTTP connect timed out,
melaka.gov.my,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,
ns.gov.my,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,
pahang.gov.my,200,
penang.gov.my,HttpConnectTimeoutException: HTTP connect timed out,
perak.gov.my,ConnectException,
perlis.gov.my,HttpConnectTimeoutException: HTTP connect timed out,
sabah.gov.my,200,
sarawak.gov.my,302,
selangor.gov.my,ConnectException,
terengganu.gov.my,HttpConnectTimeoutException: HTTP connect timed out,
