hostname,http_status,mx
handelskammer-d-ch.ch,HttpConnectTimeoutException: HTTP connect timed out,0 handelskammerdch-ch03k.mail.protection.outlook.com.
ifa-swiss.ch,301,0 ifaswiss-ch0i.mail.protection.outlook.com.
ifpdt.ch,HttpConnectTimeoutException: HTTP connect timed out,none
ige.ch,HttpConnectTimeoutException: HTTP connect timed out,5 mail1.ipi.ch.
ihk-thurgau.ch,HttpConnectTimeoutException: HTTP connect timed out,10 ihk-thurgau.in.tmes.trendmicro.eu.
innosuisse.ch,301,none
invia.ch,301,0 invia-ch.mail.protection.outlook.com.
iom.cz,301,none
iom.int,HttpConnectTimeoutException: HTTP connect timed out,10 iom-int.mail.protection.outlook.com.
isdc.ch,301,40 mx4.hostfactory.swiss.; 20 mx2.hostfactory.swiss.; 30 mx3.hostfactory.ch.; 10 mx1.hostfactory.ch.
jesuiten.org,301,10 jesuiten-org.mail.protection.outlook.com.
jgk.be.ch,ConnectException,none
jsd.bs.ch,301,10 mail.swisscom.com.; 20 mail20.swisscom.com.; 20 mail10.swisscom.com.
jura.ch,301,none
justice.ge.ch,HttpConnectTimeoutException: HTTP connect timed out,10 gwsmtp.ge.ch.
kapo.gr.ch,302,none
kapo.sg.ch,301,none
kapo.zh.ch,IOException: EOF reached while reading,10 mta2.kapo.zh.ch.; 10 mta1.kapo.zh.ch.
kath-tg.ch,301,0 kathtg-ch01b.mail.protection.outlook.com.
kdk.ch,200,none
kmu.org,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,none
kultur.bkd.be.ch,302,none
kuwaitembassy.ch,"SSLException: Unrecognized SSL message, plaintext connection?",0 .
landsgemeinde.gl.ch,301,none
levagabond.ch,200,10 mail.levagabond.ch.
lu.ch,301,10 mx.lu.ch.
maldivesmission.ch,301,10 aspmx2.googlemail.com.; 10 aspmx3.googlemail.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
metas.ch,403,10 mailgate.metas.ch.
mfa.bg,302,none
mfa.gr,403,none
mfa.is,301,none
