hostname,indegree,indegree_tech
legifrance.gouv.fr,260,0
data.gouv.fr,230,1
info.gouv.fr,180,0
service-public.fr,165,0
service-public.gouv.fr,144,0
cnil.fr,44,0
franceconnect.gouv.fr,33,0
interieur.gouv.fr,33,1
numerique.gouv.fr,32,4
ecologie.gouv.fr,31,0
france.fr,29,0
economie.gouv.fr,28,0
beta.gouv.fr,25,3
culture.gouv.fr,22,0
education.gouv.fr,22,1
transformation.gouv.fr,22,0
developpement-durable.gouv.fr,20,19
ants.gouv.fr,19,0
etalab.gouv.fr,19,0
sante.gouv.fr,14,0
fonction-publique.gouv.fr,13,0
prefectures-regions.gouv.fr,13,0
travail-emploi.gouv.fr,13,0
caf.fr,12,0
francetravail.fr,12,0
payfip.gouv.fr,12,0
vie-publique.fr,12,0
vigieau.gouv.fr,12,0
ameli.fr,11,0
diplomatie.gouv.fr,11,0
insee.fr,11,0
agence-cohesion-territoires.gouv.fr,10,0
defense.gouv.fr,10,0
anct.gouv.fr,9,1
elysee.fr,9,0
europe-en-france.gouv.fr,9,0
france-services.gouv.fr,9,0
impots.gouv.fr,9,0
meteofrance.com,9,2
auvergnerhonealpes.fr,8,0
choisirleservicepublic.gouv.fr,8,0
ecologique-solidaire.gouv.fr,8,0
entreprises.gouv.fr,8,0
solidarites.gouv.fr,8,0
sports.gouv.fr,8,0
demande-logement-social.gouv.fr,7,0
enseignementsup-recherche.gouv.fr,7,0
france-renov.gouv.fr,7,0
meteofrance.fr,7,0
ofb.gouv.fr,7,0
rie.gouv.fr,7,0
vigicrues.gouv.fr,7,1
agriculture.gouv.fr,6,0
bison-fute.gouv.fr,6,1
budget.gouv.fr,6,0
cybermalveillance.gouv.fr,6,1
dreets.gouv.fr,6,0
emploi.gouv.fr,6,0
geoportail-urbanisme.gouv.fr,6,0
tchap.gouv.fr,6,0
1jeune1solution.gouv.fr,5,0
assemblee-nationale.fr,5,0
associations.gouv.fr,5,0
bercy.gouv.fr,5,0
cohesion-territoires.gouv.fr,5,0
culturecommunication.gouv.fr,5,0
cyber.gouv.fr,5,0
douane.gouv.fr,5,0
finances.gouv.fr,5,2
francearchives.gouv.fr,5,0
fse.gouv.fr,5,0
jeunes.gouv.fr,5,0
jeveuxaider.gouv.fr,5,0
mesdroitssociaux.gouv.fr,5,0
modernisation.gouv.fr,5,0
monparcourshandicap.gouv.fr,5,0
paris.fr,5,0
paysdelaloire.fr,5,0
premier-ministre.gouv.fr,5,0
senat.fr,5,0
social-sante.gouv.fr,5,0
api.gouv.fr,4,0
banque-france.fr,4,0
chorus-pro.gouv.fr,4,0
collectivites-locales.gouv.fr,4,0
grandest.fr,4,0
handicap.gouv.fr,4,0
iledefrance.fr,4,0
journal-officiel.gouv.fr,4,0
justice.gouv.fr,4,0
marches-publics.gouv.fr,4,0
mentor.gouv.fr,4,0
moncompteformation.gouv.fr,4,0
normandie.fr,4,0
observatoire-des-territoires.gouv.fr,4,0
pref.gouv.fr,4,0
proconnect.gouv.fr,4,0
securite-routiere.gouv.fr,4,0
solidarites-sante.gouv.fr,4,0
ssi.gouv.fr,4,0
vae.gouv.fr,4,1
allo119.gouv.fr,3,0
antai.gouv.fr,3,0
bourgognefranchecomte.fr,3,0
clermontmetropole.eu,3,0
covoiturage.gouv.fr,3,0
egalite-femmes-hommes.gouv.fr,3,0
etudiant.gouv.fr,3,0
france-identite.gouv.fr,3,0
guyane.gouv.fr,3,0
hautsdefrance.fr,3,0
herault.gouv.fr,3,0
internet-signalement.gouv.fr,3,0
logement.gouv.fr,3,0
mer.gouv.fr,3,0
pour-les-personnes-agees.gouv.fr,3,0
premar-manche.gouv.fr,3,0
service-civique.gouv.fr,3,0
snu.gouv.fr,3,0
urssaf.fr,3,0
ville.gouv.fr,3,0
agentconnect.gouv.fr,2,0
ain.fr,2,0
amendes.gouv.fr,2,0
biodiversite.gouv.fr,2,0
boamp.fr,2,0
bordeaux-metropole.fr,2,0
brexit.gouv.fr,2,0
cartes.gouv.fr,2,0
ccomptes.fr,2,0
certificat-air.gouv.fr,2,0
cnig.gouv.fr,2,0
code.gouv.fr,2,0
conseiller-numerique.gouv.fr,2,0
demarches-plaisance.gouv.fr,2,0
dieccte.gouv.fr,2,0
drieets.gouv.fr,2,0
drogues.gouv.fr,2,0
georisques.gouv.fr,2,0
haut-rhin.gouv.fr,2,0
inclusion.gouv.fr,2,0
info-financiere.gouv.fr,2,0
insp.gouv.fr,2,0
ira.gouv.fr,2,0
le-smv.gouv.fr,2,0
loire-atlantique.fr,2,0
loire.fr,2,0
maprocuration.gouv.fr,2,0
martinique.gouv.fr,2,0
metz.fr,2,0
monmaster.gouv.fr,2,0
montpellier.fr,2,0
moselle.fr,2,0
nantes.fr,2,0
nouvelle-aquitaine.fr,2,0
oise.gouv.fr,2,0
premar-atlantique.gouv.fr,2,0
premar-mediterranee.gouv.fr,2,0
qualite-tourisme.gouv.fr,2,0
reunion.gouv.fr,2,0
saint-etienne-metropole.fr,2,0
seinesaintdenis.fr,2,0
sgdsn.gouv.fr,2,0
sirene.gouv.fr,2,0
soltea.gouv.fr,2,0
territoires.gouv.fr,2,0
travail.gouv.fr,2,0
accueil-etrangers.gouv.fr,1,0
aefe.gouv.fr,1,0
aft.gouv.fr,1,0
agora.gouv.fr,1,0
ain.gouv.fr,1,0
aisne.gouv.fr,1,0
allier.fr,1,0
allier.gouv.fr,1,0
alsace.eu,1,0
ampmetropole.fr,1,0
angers.fr,1,0
anlci.gouv.fr,1,0
ardecge.gouv.fr,1,0
ardeche.fr,1,0
ardeche.gouv.fr,1,0
ardennes.gouv.fr,1,0
arretonslesviolences.gouv.fr,1,0
asp.gouv.fr,1,0
aube.gouv.fr,1,0
aveyron.fr,1,0
bloctel.gouv.fr,1,0
bordeaux.fr,1,0
boss.gouv.fr,1,0
bretagne.bzh,1,0
cadastre.gouv.fr,1,0
calvados.fr,1,0
cantal.fr,1,0
cc-clermontais.fr,1,0
cc-mdl.fr,1,0
cc-montsdulyonnais.fr,1,0
cc-pyreneeshautgaronnaises.fr,1,0
centre-valdeloire.fr,1,0
cg971.fr,1,0
chequeenergie.gouv.fr,1,0
conseil-etat.fr,1,0
conso.gouv.fr,1,0
cotes-darmor.gouv.fr,1,0
cotesdarmor.fr,1,0
courdecassation.fr,1,0
ctguyane.fr,1,0
