type,label,website,hostname
ministry,"Ministry of National Security","https://www.mns.gov.jm/",mns.gov.jm
ministry,"Ministry of Tourism","https://www.mot.gov.jm",mot.gov.jm
ministry,"Ministry of Culture, Gender, Entertainment and Sport","https://mcges.gov.jm/",mcges.gov.jm
ministry,"Ministry of Labour & Social Security","https://www.mlss.gov.jm/",mlss.gov.jm
ministry,"Ministry of Foreign Affairs and Foreign Trade","https://www.mfaft.gov.jm/",mfaft.gov.jm
ministry,"Ministry of Local Government and Rural Development","https://www.localgovjamaica.gov.jm",localgovjamaica.gov.jm
ministry,"Ministry of Industry, Commerce, Agriculture and Fisheries","http://www.micaf.gov.jm/",micaf.gov.jm
ministry,"Ministry of Economic Growth and Job Creation","https://megjc.gov.jm/",megjc.gov.jm
ministry,"Ministry of Agriculture, Fisheries and Mining","https://moa.gov.jm/",moa.gov.jm
ministry,"Office of the Prime Minister","https://opm.gov.jm/",opm.gov.jm
ministry,"Ministry of Education and Youth","https://moey.gov.jm/",moey.gov.jm
ministry,"Ministry of Finance and The Public Service","https://www.mof.gov.jm/",mof.gov.jm
ministry,"Ministry of Industry, Investment and Commerce","https://www.miic.gov.jm/",miic.gov.jm
ministry,"Ministry of Legal and Constitutional Affairs","https://mlca.gov.jm/",mlca.gov.jm
ministry,"Ministry of Science, Energy, Telecommunications and Transport","https://www.mset.gov.jm",mset.gov.jm
ministry,"Ministry of Justice","https://moj.gov.jm/",moj.gov.jm
ministry,"Ministry of Health and Wellness","https://www.moh.gov.jm/",moh.gov.jm
ministry,"Ministry of Health","http://moh.gov.jm/",moh.gov.jm
parliament,"Parliament of Jamaica","http://japarliament.gov.jm",japarliament.gov.jm
supreme_court,"Parliament of Jamaica","http://japarliament.gov.jm",japarliament.gov.jm
