hostname,score,sources,label,level
jesuitascam.org,6,wikidata;wikidata,Jesuit Province of Central America,
banconal.com.pa,4,wikidata,National Bank of Panama,
binal.ac.pa,4,wikidata,National Library of Panama,
mofaic.gov.ae,4,wikidata,"Embassy of the United Arab Emirates, Panama",central
pa.usembassy.gov,4,wikidata,embassy of the United States in Panama,central
eeas.europa.eu,3,wikidata,Delegation of the European Union to Panama,
embahn-panama.com,3,wikidata,embassy of Honduras in Panama,central
embajadabolpan.com,3,wikidata,embassy of Bolivia in Panama,central
embajadacostaricaenpanama.com,3,wikidata,embassy of Costa Rica in Panama,central
indianembassyinpanama.com,3,wikidata,"Embassy of India, Panama City",central
pa.ambafrance.org,3,wikidata,"Embassy of France, Panama City",central
pa.china-embassy.org,3,wikidata,"Embassy of the People's Republic of China, Panama City",central
panama-city.embassy.qa,3,wikidata,embassy of Qatar in Panama,central
panama.diplo.de,3,wikidata,"Embassy of Germany, Panama",central
panama.mid.ru,3,wikidata,embassy of Russia in Panama,central
pancanal.com,3,wikidata,Panama Canal Authority,
