subdomain,http_status
autodiscover.muniroatan.gob.hn,"400"
correo.sefin.gob.hn,"Could not resolve host: correo.sefin.gob.hn"
cvsp.salud.gob.hn,"Could not resolve host: cvsp.salud.gob.hn"
cpanel.plandenacion.gob.hn,"Could not resolve host: cpanel.plandenacion.gob.hn"
deienlinea.dei.gob.hn,"Could not resolve host: deienlinea.dei.gob.hn"
dei.gob.hn,"Could not resolve host: dei.gob.hn"
autodiscover.sep.gob.hn,"400"
cpanel.pgrd-copeco.gob.hn,"Could not resolve host: cpanel.pgrd-copeco.gob.hn"
correo.policianacional.gob.hn,"SSL certificate problem: unable to get local issuer certificate"
correo.pgrhonduras.gob.hn,"Could not resolve host: correo.pgrhonduras.gob.hn"
autodiscover.didadpol.gob.hn,"400"
dgrd.sag.gob.hn,"Could not resolve host: dgrd.sag.gob.hn"
dicta.sag.gob.hn,"Could not resolve host: dicta.sag.gob.hn"
digepesca.sag.gob.hn,"Could not resolve host: digepesca.sag.gob.hn"
cpanel.rnh.gob.hn,"Could not resolve host: cpanel.rnh.gob.hn"
activoseventuales.injupemp.gob.hn,"200"
cpanel.pgrhonduras.gob.hn,"Could not resolve host: cpanel.pgrhonduras.gob.hn"
cpanel.climaplus.gob.hn,"SSL: no alternative certificate subject name matches target hostname 'cpanel.climaplus.gob.hn'"
cpanel.dinis.gob.hn,"Could not resolve host: cpanel.dinis.gob.hn"
cpanel.inhgeomin.gob.hn,"Could not resolve host: cpanel.inhgeomin.gob.hn"
dgsc.sep.gob.hn,"Could not resolve host: dgsc.sep.gob.hn"
autodiscover.diref.gob.hn,"403"
dc-01.injupemp.gob.hn,"Could not resolve host: dc-01.injupemp.gob.hn"
ddel.registrodedescentralizacion.gob.hn,"Could not resolve host: ddel.registrodedescentralizacion.gob.hn"
descargas.registrodedescentralizacion.gob.hn,"Could not resolve host: descargas.registrodedescentralizacion.gob.hn"
dfggnl.registrodedescentralizacion.gob.hn,"Could not resolve host: dfggnl.registrodedescentralizacion.gob.hn"
bivi.cenet.gob.hn,"301"
cpanel.apoyopresidencial.gob.hn,"200"
cenet.gob.hn,"301"
cpanel.becashonduras2020.gob.hn,"Could not resolve host: cpanel.becashonduras2020.gob.hn"
autodiscover.parquesvidamejor.gob.hn,"Could not resolve host: autodiscover.parquesvidamejor.gob.hn"
centrex.senasa.gob.hn,"200"
cpanel.registrodedescentralizacion.gob.hn,"Could not resolve host: cpanel.registrodedescentralizacion.gob.hn"
consultasnif.icf.gob.hn,"200"
dmu0817.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu0817.registrodedescentralizacion.gob.hn"
dirsac.sgjd.gob.hn,"Could not resolve host: dirsac.sgjd.gob.hn"
dmu01.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu01.registrodedescentralizacion.gob.hn"
arrendamientos.oabi.gob.hn,"200"
apnfd.cnbs.gob.hn,"200"
dmu1007.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu1007.registrodedescentralizacion.gob.hn"
dmu0304.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu0304.registrodedescentralizacion.gob.hn"
dmu0315.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu0315.registrodedescentralizacion.gob.hn"
crt.registrodedescentralizacion.gob.hn,"Could not resolve host: crt.registrodedescentralizacion.gob.hn"
cpanel.inj.gob.hn,"SSL: no alternative certificate subject name matches target hostname 'cpanel.inj.gob.hn'"
cpanel.ahac.gob.hn,"404"
asociaciones.sgjd.gob.hn,"200"
cpanel.dinaf.gob.hn,"200"
cpanel.parquesvidamejor.gob.hn,"Could not resolve host: cpanel.parquesvidamejor.gob.hn"
cpanel.cenet.gob.hn,"500"
dmu0603.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu0603.registrodedescentralizacion.gob.hn"
dmu0611.registrodedescentralizacion.gob.hn,"Could not resolve host: dmu0611.registrodedescentralizacion.gob.hn"
dfgm.registrodedescentralizacion.gob.hn,"Could not resolve host: dfgm.registrodedescentralizacion.gob.hn"
